5011,συμμέτριος,a,aps---cn2-,συμμέτριος συμμέτριος συμμέτριον,,,,,0
94575,σ05319,σύμπλεξις,n,n-s---fn3v,συμπλεξέως,,,,,0
94576,σ05320,σύμπλεος,a,aps---cn2-,σύμπλεος σύμπλεος σύμπλεον,,,,,0
94578,σ05322,συμπλέω,v,----------,,,,,,0
94579,σ05323,συμπληγάς,n,n-s---fn3d,συμπληγάδος,,,,,0
94580,σ05324,συμπλήγδην,r,----------,,,,,,0
94581,σ05325,συμπληθύνω,v,----------,,,,,,0
94582,σ05326,συμπληθύω,v,----------,,,,,,0
94583,σ05327,συμπλημμελέω,v,----------,,,,,,0
94584,σ05328,σύμπληξις,n,n-s---fn3v,συμπληξέως,,,,,0
94586,σ05330,συμπληρόω,v,----------,,,,,,0
94587,σ05331,συμπλήρωμα,n,n-s---nn3t,συμπληρώματος,,,,,0
94588,σ05332,συμπληρωματικῶς,r,----------,,,,,,0
94590,σ05334,συμπληρωτικός,a,aps---mn1-,συμπληρωτικός συμπληρωτική συμπληρωτικόν,,,,,0
94591,σ05335,συμπλήσσομαι,v,----------,,,,,,0
94592,σ05336,συμπλοϊκός,a,aps---mn1-,συμπλοϊκός συμπλοϊκή συμπλοϊκόν,,,,,0
94593,σ05337,συμπλοκή,n,n-s---fn1e,συμπλοκῆς,,,,,0
94594,σ05338,σύμπλοκος,a,aps---cn2-,σύμπλοκος σύμπλοκος σύμπλοκον,,,,,0
94596,σ05340,σύμπνευσις,n,n-s---fn3v,συμπνευσέως,,,,,0
94597,σ05341,συμπνευσμός,n,----------,,,,,,0
94598,σ05342,συμπνέω,v,----------,,,,,,0
94599,σ05343,συμπνιγής,a,aps---cn5s,συμπνιγής συμπνιγής συμπνιγές,,,,,0
94600,σ05344,συμπνίγω,v,----------,,,,,,0
94601,σ05345,συμπνοή,n,n-s---fn1e,συμπνοῆς,,,,,0
94602,σ05346,σύμπνοια,n,n-s---fn1s,σύμπνοιας,,,,,0
94604,σ05348,συμποδηγετέω,v,----------,,,,,,0
94605,σ05349,συμποδηγέω,v,----------,,,,,,0
94606,σ05350,συμποδίζω,v,----------,,,,,,0
94607,σ05351,συμποδισμός,n,----------,,,,,,0
94608,σ05352,συμποιέω,v,----------,,,,,,0
94610,σ05354,συμποιμαίνω,v,----------,,,,,,0
94611,σ05355,συμπολεμέω,v,----------,,,,,,0
94612,σ05356,συμπολίζω,v,----------,,,,,,0
94613,σ05357,συμπολιορκέω,v,----------,,,,,,0
94614,σ05358,συμπολιτεία,n,n-s---fn1l,συμπολιτείας,,,,,0
94615,σ05359,συμπολίτευσις,n,----------,,,,,,0
94616,σ05360,συμπολιτεύω,v,----------,,,,,,0
94618,σ05362,συμπολλαπλασιάζω,v,----------,,,,,,0
94619,σ05363,σύμπολλοι,n,----------,,,,,,0
94620,σ05364,συμπομπεύω,v,----------,,,,,,0
94621,σ05365,συμπομπή,n,n-s---fn1e,συμπομπῆς,,,,,0
94622,σ05366,συμπονέω,v,----------,,,,,,0
94624,σ05368,συμπονία,n,n-s---fn1l,συμπονίας,,,,,0
94573,σ05317,σύμπλεκτος,a,aps---cn2-,σύμπλεκτος σύμπλεκτος σύμπλεκτον,,,,,0
94628,σ05372,συμπορθητής,n,n-s---mn1e,συμπορθητού,,,,,0
94629,σ05373,συμπορίζω,v,----------,,,,,,0
94630,σ05374,συμπορισμός,n,----------,,,,,,0
94631,σ05375,συμπορνεύω,v,----------,,,,,,0
94633,σ05377,συμπορπάομαι,v,----------,,,,,,0
94634,σ05378,συμπορσύνω,v,----------,,,,,,0
94636,σ05380,συμποσιάζω,v,----------,,,,,,0
94637,σ05382,συμποσιαῖος,a,aps---mn1-,συμποσιαῖος συμποσιαῖα συμποσιαῖον,,,,,0
94638,σ05381,συμποσιακός,a,aps---mn1-,συμποσιακός συμποσιακή συμποσιακόν,,,,,0
94639,σ05383,συμποσιαρχέω,v,----------,,,,,,0
94640,σ05384,συμποσιαρχία,n,n-s---fn1l,συμποσιαρχίας,,,,,0
94642,σ05386,συμπόσιον,n,n-s---nn2-,συμποσίου,,,/sym.pó.si.on/,,0
94643,σ05387,συμπόσιος,a,aps---mn1-,συμπόσιος συμπόσια συμπόσιον,,,,,0
94644,σ05388,συμποσόω,v,----------,,,,,,0
94645,σ05389,συμπότης,n,n-s---mn1e,συμπότου,,,/sym.pó.tɛːs/,,0
94646,σ05390,συμποτιγίνομαι,v,----------,,,,,,0
94648,σ05392,συμπότρια,n,----------,,,,,,0
94649,σ05393,σύμπους,n,----------,,,,,,0
94650,σ05394,συμπραγματεύομαι,v,----------,,,,,,0
94652,σ05396,συμπρακτορεύω,v,----------,,,,,,0
94653,σ05397,συμπράκτρια,n,n-s---fn1s,συμπράκτριας,,,,,0
94654,σ05398,συμπράκτωρ,n,n-s---mn3r,συμπράκτορος,,,,,0
94655,σ05399,συμπραξία,n,n-s---fn1l,συμπραξίας,,,,,0
94656,σ05400,σύμπραξις,n,n-s---fn3v,συμπραξέως,,,,,0
94657,σ05401,συμπράσσω,v,----------,,,,,,0
94658,σ05402,συμπράτης,n,n-s---mn1e,συμπράτου,,,,,0
94659,σ05403,συμπραύ̈νομαι,v,----------,,,,,,0
94660,σ05404,συμπρεπής,a,aps---cn5s,συμπρεπής συμπρεπής συμπρεπές,,,,,0
94661,σ05405,συμπρέπω,v,----------,,,,,,0
94663,σ05407,συμπρεσβεύω,v,----------,,,,,,0
94664,σ05408,σύμπρεσβυς,n,n-s---mn3c,συμπρέσβεως,,,,,0
94665,σ05409,συμπρεσβύτερος,n,n-s---mn2-,συμπρεσβυτέρου,,,,,0
94666,σ05410,συμπρήκτωρ,n,----------,,,,,,0
94667,σ05411,συμπρίασθαι,n,----------,,,,,,0
94668,σ05412,συμπροάγω,v,----------,,,,,,0
94669,σ05413,συμπροαύξομαι,v,----------,,,,,,0
94670,σ05414,συμπροβαίνω,v,----------,,,,,,0
94673,σ05417,συμπρογιγνώσκω,v,----------,,,,,,0
94674,σ05418,συμπροδίδωμι,v,----------,,,,,,0
94675,σ05419,συμπροδότης,n,n-s---mn1e,συμπροδότου,,,,,0
94676,σ05420,συμπρόεδρος,n,n-s---mn2-,συμπροέδρου,,,,,0
94677,σ05421,συμπρόειμι,v,----------,,,,,,0
94627,σ05371,συμπορθέω,v,----------,,,,,,0
94681,σ05425,συμπροικίζω,v,----------,,,,,,0
94682,σ05426,συμπροκόπτω,v,----------,,,,,,0
94684,σ05428,συμπρομνάμων,n,----------,,,,,,0
94685,σ05429,συμπρονοέω,v,----------,,,,,,0
94687,σ05431,συμπροξενέω,v,----------,,,,,,0
94688,σ05432,συμπροπέμπω,v,----------,,,,,,0
94689,σ05433,συμπροπίπτω,v,----------,,,,,,0
94690,σ05434,συμπροπορεύομαι,v,----------,,,,,,0
94691,σ05435,συμπροσάγω,v,----------,,,,,,0
94693,σ05437,συμπρόσειμι,v,----------,,,,,,0
94694,σ05438,συμπροσέρχομαι,v,----------,,,,,,0
94695,σ05439,συμπροσίσχομαι,v,----------,,,,,,0
94696,σ05440,συμπροσλαμβάνω,v,----------,,,,,,0
94697,σ05441,συμπροσμείγνυμι,v,----------,,,,,,0
94699,σ05443,συμπροσπλέκομαι,v,----------,,,,,,0
94700,σ05444,συμπροστάτης,n,n-s---mn1e,συμπροστάτου,,,,,0
94701,σ05445,συμπροστίθημι,v,----------,,,,,,0
94702,σ05446,συμπροτερέω,v,----------,,,,,,0
94703,σ05447,συμπροτίθημι,v,----------,,,,,,0
94704,σ05448,συμπροτρέπω,v,----------,,,,,,0
94706,σ05450,συμπροφαίνω,v,----------,,,,,,0
94707,σ05451,συμπροφέρω,v,----------,,,,,,0
94708,σ05452,συμπροφητεύω,v,----------,,,,,,0
94709,σ05453,συμπροχέω,v,----------,,,,,,0
94711,σ05455,συμπρυτανεύω,v,----------,,,,,,0
94713,σ05457,συμπτερόομαι,v,----------,,,,,,0
94714,σ05458,συμπτερύσσομαι,v,----------,,,,,,0
94715,σ05459,σύμπτυκτος,a,aps---cn2-,σύμπτυκτος σύμπτυκτος σύμπτυκτον,,,,,0
94716,σ05460,σύμπτυξις,n,n-s---fn3v,συμπτυξέως,,,,,0
94717,σ05461,συμπτύσσω,v,----------,,,,,,0
94719,σ05463,σύμπτωμα,n,n-s---nn3t,συμπτώματος,,,/sýmp.tɔː.ma/,,0
94721,σ05465,σύμπτωσις,n,n-s---fn3v,συμπτωσέως,,,,,0
94722,σ05466,συμπτωτός,a,aps---mn1-,συμπτωτός συμπτωτή συμπτωτόν,,,,,0
94723,σ05467,συμπυκάζω,v,----------,,,,,,0
