5011,συμμέτριος,a,aps---cn2-,συμμέτριος συμμέτριος συμμέτριον,,,,,0
97102,σ07835,συρμαί̈ζω,v,----------,,,,,,0
97103,σ07836,συρμαιοπώλης,n,n-s---mn1e,συρμαιοπώλου,,,,,0
97104,σ07837,συρμαϊσμός,n,----------,,,,,,0
97105,σ07838,συρμάς,n,n-s---fn3d,συρμάδος,,,,,0
97106,σ07839,συρματικὴ,n,----------,,,,,,0
97108,σ07841,συρματῖτις,n,----------,,,,,,0
97109,σ07842,συρμή,n,n-s---fn1e,συρμῆς,,,,,0
97110,σ07843,συρμιστήρ,n,n-s---mn3r,συρμιστῆρος,,,,,0
97111,σ07844,συρμός,n,----------,,,,,,0
97112,σ07845,σύρξ,n,----------,,,,,,0
97113,σ07846,σύρον,n,n-s---nn2-,σύρου,,,,,0
97115,σ07848,συρόποδες,n,----------,,,,,,0
97116,σ07849,συροποιός,n,----------,,,,,,0
97117,σ07850,σύρος,n,n-s---mn2-,σύρου,,,,,0
97118,,Σῦρος,n,n-s---mn2-,Σύρου,,,,,0
97120,,Συροφοῖνιξ,n,----------,,,,,,0
97121,σ07851,σύρρα,n,----------,,,,,,0
97122,σ07852,συρραγή,n,n-s---fn1e,συρραγῆς,,,,,0
97123,σ07853,σύρραγμα,n,n-s---nn3t,συρράγματος,,,,,0
97126,σ07855,συρραθαγέω,v,----------,,,,,,0
97127,σ07856,συρραί̈ζω,v,----------,,,,,,0
97128,σ07857,σύρραξις,n,n-s---fn3v,συρραξέως,,,,,0
97129,σ07858,συρραπτός,a,aps---cn2-,συρραπτός συρραπτός συρραπτόν,,,,,0
97130,σ07859,συρράπτω,v,----------,,,,,,0
97131,σ07860,συρράσσω,v,----------,,,,,,0
97132,σ07881,συρρᾳστωνέω,v,----------,,,,,,0
97134,σ07862,συρραφή,n,n-s---fn1e,συρραφῆς,,,,,0
97135,σ07863,συρραφής,a,aps---cn5s,συρραφής συρραφής συρραφές,,,,,0
97136,σ07865,συρρέζω,v,----------,,,,,,0
97137,σ07866,συρρέμβομαι,v,----------,,,,,,0
97138,σ07867,συρρέπω,v,----------,,,,,,0
97139,σ07868,σύρρευσις,n,n-s---fn3v,συρρευσέως,,,,,0
97140,σ07869,συρρέω,v,----------,,,,,,0
97141,σ07870,σύρρηγμα,n,n-s---nn3t,συρρήγματος,,,,,0
97143,σ07872,σύρρηξις,n,n-s---fn3v,συρρηξέως,,,,,0
97144,σ07873,συρρήσσω,v,----------,,,,,,0
97086,,Συρίζω,v,----------,,,,,,0
97148,σ07877,συρρίπτω,v,----------,,,,,,0
97149,σ07878,συρροή,n,n-s---fn1e,συρροῆς,,,,,0
97150,σ07879,σύρροος,a,----------,,,,,,0
97151,σ07880,σύρροπον,n,n-s---nn2-,συρρόπου,,,,,0
97152,σ07882,σύρρυσις,n,----------,,,,,,0
97153,σ07883,συρρώννυμαι,v,----------,,,,,,0
97154,σ07884,συρρώομαι,v,----------,,,,,,0
97156,σ07886,σύρτης,n,n-s---mn1e,σύρτου,,,,,0
97158,σ07889,συρτῖτις,n,n-s---fn3d,συρτίτιδος,,,,,0
97159,σ07887,συρτός,a,----------,,,,,,0
97160,σ07888,συρτός,n,n-s---mn2-,συρτού,,,,,0
97161,σ07890,σύρφαξ,n,n-s---mn3e,σύρφακος,,,,,0
97162,σ07891,συρφετός,n,----------,,,,,,0
97164,σ07893,σύρω,v,v1spia--1-,,,,,,0
97165,σ02817,σῦς,n,n-s---mn3v,συός,,,/sŷːs/,,0
97166,σ07894,συσβέννυμι,v,----------,,,,,,0
97167,σ07895,συσιναπιστέον,n,----------,,,,,,0
97168,σ07896,συσκανία,n,----------,,,,,,0
97169,σ07897,συσκάπτω,v,----------,,,,,,0
97170,σ07898,συσκεδάννυμι,v,----------,,,,,,0
97171,σ07899,συσκέλλω,v,----------,,,,,,0
97173,σ07901,συσκεπάζω,v,----------,,,,,,0
97174,σ07902,συσκεπτέον,n,----------,,,,,,0
97175,σ07903,συσκέπτομαι,v,----------,,,,,,0
97176,σ07904,συσκέπω,v,----------,,,,,,0
97178,σ07906,συσκευασία,n,n-s---fn1l,συσκευασίας,,,,,0
97179,σ07907,συσκευαστής,n,n-s---mn1e,συσκευαστού,,,,,0
97180,σ07908,συσκευή,n,n-s---fn1e,συσκευῆς,,,,,0
97181,σ07909,συσκευοφορέω,v,----------,,,,,,0
97182,σ07910,συσκευωρέομαι,v,----------,,,,,,0
97184,σ07912,σύσκεψις,n,n-s---fn3v,συσκεψέως,,,,,0
97185,σ07913,συσκηνέω,v,----------,,,,,,0
97186,σ07914,συσκηνήτρια,n,n-s---fn1s,συσκηνήτριας,,,,,0
97187,σ07916,συσκηνία,n,n-s---fn1l,συσκηνίας,,,,,0
97188,σ07915,συσκήνια,n,n-p---nn2-,συσκηνίων,,,,,0
97189,σ07917,συσκήνιος,n,----------,,,,,,0
97191,σ07521,σύνσκανοι,n,----------,,,,,,0
97192,σ07919,συσκηνόω,v,----------,,,,,,0
97194,σ07921,συσκιάζω,v,----------,,,,,,0
97195,σ07922,συσκίασις,n,n-s---fn3v,συσκιασέως,,,,,0
97196,σ07923,συσκίασμα,n,n-s---nn3t,συσκιάσματος,,,,,0
97197,σ07924,συσκιασμός,n,----------,,,,,,0
97198,σ07925,σύσκιος,a,aps---cn2-,σύσκιος σύσκιος σύσκιον,,,,,0
97199,σ07926,συσκιρόομαι,v,----------,,,,,,0
97200,σ07927,συσκιρτάω,v,----------,,,,,,0
97202,σ07929,συσκοπέω,v,----------,,,,,,0
97203,σ07930,συσκοτάζω,v,----------,,,,,,0
97146,σ07875,συρριζόομαι,v,----------,,,,,,0
97206,σ07933,συσκύλλομαι,v,----------,,,,,,0
97207,σ07934,συσμαραγέω,v,----------,,,,,,0
97208,σ07935,συσμηρίζω,v,----------,,,,,,0
97209,σ07936,συσμικρύνω,v,----------,,,,,,0
97210,σ07937,συσπαράσσω,v,----------,,,,,,0
97212,σ07939,σύσπαστος,a,----------,,,,,,0
97213,σ07940,συσπάω,v,----------,,,,,,0
97214,σ07941,συσπειράω,v,----------,,,,,,0
97215,σ07942,συσπειρόω,v,----------,,,,,,0
97216,σ07943,συσπείρω,v,----------,,,,,,0
97218,σ07945,συσπεύδω,v,----------,,,,,,0
97219,σ07946,συσπιλόω,v,----------,,,,,,0
97221,σ07948,συσποδόω,v,----------,,,,,,0
97222,σ07949,σύσπονδος,a,aps---cn2-,σύσπονδος σύσπονδος σύσπονδον,,,,,0
97223,σ07950,σύσπορος,a,aps---cn2-,σύσπορος σύσπορος σύσπορον,,,,,0
97224,σ07951,συσπουδάζω,v,----------,,,,,,0
97226,σ07953,συσσαίνομαι,v,----------,,,,,,0
97228,σ07955,συσσαρκόομαι,v,----------,,,,,,0
97229,σ07956,συσσάρκωσις,n,n-s---fn3v,συσσαρκωσέως,,,,,0
97230,σ07957,συσσαρκωτικός,a,aps---mn1-,συσσαρκωτικός συσσαρκωτική συσσαρκωτικόν,,,,,0
97231,σ07958,συσσάττω,v,----------,,,,,,0
97232,σ07959,συσσεισμός,n,----------,,,,,,0
97233,σ07960,συσσείω,v,----------,,,,,,0
97234,σ07961,συσσεύω,v,----------,,,,,,0
97235,σ07963,συσσημαίνω,v,----------,,,,,,0
97237,σ07965,συσσημειόομαι,v,----------,,,,,,0
97238,σ07966,σύσσημον,n,n-s---nn2-,συσσήμου,,,,,0
97239,σ07967,συσσήπω,v,----------,,,,,,0
97240,σ07968,σύσσηψις,n,n-s---fn3v,συσσηψέως,,,,,0
97241,σ07969,συσσιναπιστέον,n,----------,,,,,,0
97242,σ07970,συσσιτέω,v,----------,,,,,,0
97243,σ07971,συσσίτησις,n,n-s---fn3v,συσσιτησέως,,,,,0
97244,σ07972,συσσιτία,n,n-s---fn1l,συσσιτίας,,,,,0
97245,σ07973,συσσιτικός,a,aps---mn1-,συσσιτικός συσσιτική συσσιτικόν,,,,,0
97246,σ07974,συσσίτιον,n,n-s---nn2-,συσσιτίου,,,,,0
97247,σ07975,συσσιτοποιέω,v,----------,,,,,,0
97248,σ07976,σύσσιτος,n,n-s---mn2-,συσσίτου,,,,,0
97250,σ07978,συσσυκοφαντέω,v,----------,,,,,,0
97251,σ07979,συσσύρω,v,----------,,,,,,0
97252,σ07962,συσσῴζω,v,----------,,,,/sys.sɔːí̯z.dɔː/,,0
97253,σ07980,συσσωματοποιέω,v,----------,,,,,,0
97254,σ07981,συσσώματος,n,n-s---mn2-,συσσωμάτου,,,,,0
97256,σ07983,συσσωρεύω,v,----------,,,,,,0
97258,σ07985,συστάδην,r,----------,,,,,,0
97259,σ07986,συσταδόν,r,----------,,,,,,0
97205,σ07932,συσκυθρωπάζω,v,----------,,,,,,0
97263,σ07990,συστάθμισις,n,n-s---fn3v,συσταθμισέως,,,,,0
97264,σ07991,σύσταθμος,a,aps---cn2-,σύσταθμος σύσταθμος σύσταθμον,,,,,0
97265,σ07992,συσταλάσσω,v,----------,,,,,,0
97266,σ07993,συσταλτέον,n,----------,,,,,,0
97268,σ07995,σύσταμα,n,----------,,,,,,0
97269,σ07996,συσταμνίζω,v,----------,,,,,,0
97270,σ07997,συστάς,n,----------,,,,,,0
97271,σ07998,συστασία,n,n-s---fn1l,συστασίας,,,,,0
97272,σ07999,συστασιάζω,v,----------,,,,,,0
97273,σ08000,συστασιαστής,n,n-s---mn1e,συστασιαστού,,,,,0
97274,σ08001,σύστασις,n,n-s---fn3v,συστασέως,,,,,0
97275,σ08002,συστασιώτης,n,n-s---mn1e,συστασιώτου,,,,,0
97276,σ08003,συστατέω,v,----------,,,,,,0
97277,σ08004,συστάτης,n,n-s---mn1e,συστάτου,,,,,0
97280,σ08007,συσταυρόομαι,v,----------,,,,,,0
97281,σ08008,συστεγάζω,v,----------,,,,,,0
97282,σ08009,συστεγνόω,v,----------,,,,,,0
97283,σ08010,σύστειπτος,a,aps---cn2-,σύστειπτος σύστειπτος σύστειπτον,,,,,0
97284,σ08011,συστείχω,v,----------,,,,,,0
97285,σ08012,συστέλλω,v,----------,,,,,,0
97286,σ08013,σύστεμα,n,n-s---nn3t,συστέματος,,,,,0
97287,σ08014,συστενάζω,v,----------,,,,,,0
97289,σ08016,συστενοχωρέω,v,----------,,,,,,0
97290,σ08017,συστένω,v,----------,,,,,,0
97291,σ08018,συστερέομαι,v,----------,,,,,,0
97292,σ08019,συστεφανηφορέω,v,----------,,,,,,0
97293,σ08020,συστέφανος,n,n-s---mn2-,συστεφάνου,,,,,0
97294,σ08021,συστεφανόω,v,----------,,,,,,0
97295,,Φιλίππῳ,n,----------,,,,,,0
97297,σ08023,σύστημα,n,n-s---nn3t,συστήματος,,,/sýs.tɛː.ma/,,0
97299,σ08025,συστηρίζω,v,----------,,,,,,0
97300,σ08026,συστιχάομαι,v,----------,,,,,,0
97301,σ08027,συστοιβάζω,v,----------,,,,,,0
97302,σ08028,συστοιχέω,v,----------,,,,,,0
97304,σ08030,σύστοιχος,a,aps---cn2-,σύστοιχος σύστοιχος σύστοιχον,,,,,0
97305,σ08031,συστολή,n,n-s---fn1e,συστολῆς,,,/sys.to.lɛ̌ː/,,0
97306,σ08032,συστολίζω,v,----------,,,,,,0
97307,σ08033,συστομόομαι,v,----------,,,,,,0
97308,σ08034,σύστομος,a,aps---cn2-,σύστομος σύστομος σύστομον,,,,,0
97309,σ08035,συστοναχέω,v,----------,,,,,,0
97310,σ08036,συστορνύω,v,----------,,,,,,0
97312,σ08038,συστρατάομαι,v,----------,,,,,,0
97313,σ08039,συστρατεία,n,n-s---fn1l,συστρατείας,,,,,0
97314,σ08040,συστρατεύω,v,----------,,,,,,0
97315,σ08041,συστρατηγέω,v,----------,,,,,,0
97262,σ07989,συσταθμίζω,v,----------,,,,,,0
97318,σ08044,συστρατοπεδεύομαι,v,----------,,,,,,0
97319,σ08045,σύστρεμμα,n,n-s---nn3d,συστρέμματος,,,,,0
97321,σ08047,συστρεπτέον,n,----------,,,,,,0
97322,σ08048,συστρεπτικός,a,aps---mn1-,συστρεπτικός συστρεπτική συστρεπτικόν,,,,,0
97323,σ08049,συστρέφω,v,----------,,,,,,0
97324,σ08050,συστροβιλέω,v,----------,,,,,,0
97325,σ08051,συστρογγύλλω,v,----------,,,,,,0
97326,σ08052,συστροφή,n,n-s---fn1e,συστροφῆς,,,,,0
97327,σ08053,συστροφία,n,n-s---fn1l,συστροφίας,,,,,0
97329,σ08055,συστρόφως,r,----------,,,,,,0
97330,σ08056,σύστρωμα,n,n-s---nn3t,συστρώματος,,,,,0
97331,σ08057,συστρώννυμι,v,----------,,,,,,0
97332,σ08058,συστυγνάζω,v,----------,,,,,,0
97333,σ08059,σύστυλος,a,aps---cn2-,σύστυλος σύστυλος σύστυλον,,,,,0
97334,σ08060,συστύφω,v,----------,,,,,,0
97335,σ08061,συσφάζω,v,----------,,,,,,0
97337,σ08063,συσφαιριστής,n,n-s---mn1e,συσφαιριστού,,,,,0
97338,σ08064,συσφάλλομαι,v,----------,,,,,,0
97339,σ08065,συσφηκόω,v,----------,,,,,,0
97340,σ08066,συσφίγγω,v,----------,,,,,,0
97343,σ08069,σύσφιγμα,n,n-s---nn3d,συσφίγματος,,,,,0
97344,σ08070,συσφραγίζω,v,----------,,,,,,0
97345,σ08071,σύσχεσις,n,n-s---fn3v,συσχεσέως,,,,,0
97346,σ08072,συσχετήριον,n,n-s---nn2-,συσχετηρίου,,,,,0
97347,σ08073,συσχηματίζω,v,----------,,,,,,0
97348,σ08074,συσχημάτισις,n,n-s---fn3v,συσχηματισέως,,,,,0
97349,σ08075,συσχηματισμός,n,----------,,,,,,0
97350,σ08076,συσχίζω,v,----------,,,,,,0
97351,σ08077,συσχολάζω,v,----------,,,,,,0
97352,σ08078,συσχολαστής,n,n-s---mn1e,συσχολαστού,,,,,0
97353,σ08079,σύτο,n,----------,,,,,,0
97354,σ08080,σύφαξ,n,----------,,,,,,0
97355,σ08171,σῦφαρ,n,----------,,,,,,0
97357,σ08082,συφεών,n,n-s---mn3n,συφεῶνος,,,,,0
97358,σ08083,συφορβέω,v,----------,,,,,,0
97359,σ08084,συφόρβιον,n,n-s---nn2-,συφορβίου,,,,,0
97360,σ08085,συφορβός,n,----------,,,,,,0
97361,σ08086,συφός,n,----------,,,,,,0
97362,σ08087,συχνάζω,v,----------,,,,,,0
97365,σ08090,συχνεών,n,n-s---mn3n,συχνεῶνος,,,,,0
97366,σ08091,συχνός,a,aps---mn--,συχνός συχνή συχνόν,,,,,0
97368,σ08093,συψειρικόν,n,----------,,,,,,0
97369,σ08094,συψέλιον,n,----------,,,,,,0
97370,σ08095,συώδης,a,aps---cn3s,συώδης συώδης συώ͂δες,,,,,0
97371,σ08096,σφαγεῖον,n,n-s---nn2-,σφαγείου,,,,,0
97856,σ08561,σωπάω,v,----------,,,,,,0
97317,σ08043,συστρατιώτης,n,n-s---mn1e,συστρατιώτου,,,,,0
97374,σ08099,σφαγιάζομαι,v,----------,,,,,,0
97375,σ08100,σφαγιασμός,n,----------,,,,,,0
97376,σ08101,σφαγίδιον,n,n-s---nn2-,σφαγιδίου,,,,,0
97377,σ08102,σφάγιον,n,n-s---nn2-,σφαγίου,,,,,0
97379,σ08104,σφαγίς,n,n-s---fn3d,σφαγίδος,,,,,0
97380,σ08105,σφαγιστήριον,n,n-s---nn2-,σφαγιστηρίου,,,,,0
97381,σ08108,σφαγῖτις,n,n-s---fn3d,σφαγίτιδος,,,,,0
97382,σ08106,σφάγμα,n,n-s---nn3t,σφάγματος,,,,,0
97383,σ08107,σφάγνος,n,n-s---mn2-,σφάγνου,,,,,0
97384,σ08110,σφαδᾴζω,v,----------,,,,,,0
97385,σ08111,σφαδᾳσμός,n,----------,,,,,,0
97387,σ08112,σφάζω,v,----------,,,,,,0
97388,σ08172,σφαῖρα,n,n-s---fn1s,σφαῖρας,,,,,0
97389,σ08113,σφαιράρχης,n,n-s---mn1e,σφαιράρχου,,,,,0
97390,σ08114,σφαίρειος,a,aps---mn1-,σφαίρειος σφαίρεια σφαίρειον,,,,,0
97391,σ08115,σφαιρεύς,n,n-s---mn3v,σφαιρέως,,,,,0
97392,σ08116,σφαιρηδόν,r,----------,,,,,,0
97393,σ08117,σφαιρίζω,v,----------,,,,,,0
97395,σ08119,σφαιρίον,n,n-s---nn2-,σφαιρίου,,,,,0
97396,σ08120,σφαίρισις,n,n-s---fn3v,σφαιρισέως,,,,,0
97397,σ08121,σφαίρισμα,n,n-s---nn3d,σφαιρίσματος,,,,,0
97399,σ08123,σφαιριστής,n,n-s---mn1e,σφαιριστού,,,,,0
97400,σ08124,σφαιριστικός,a,aps---mn1-,σφαιριστικός σφαιριστική σφαιριστικόν,,,,,0
97401,σ08125,σφαιρίστρα,n,n-s---fn1l,σφαιρίστρας,,,,,0
97402,σ08140,σφαιρῖτις,n,----------,,,,,,0
97404,σ08127,σφαιροειδής,a,aps---cn5s,σφαιροειδής σφαιροειδής σφαιροειδές,,,,,0
97405,σ08128,σφαιροθεσία,n,n-s---fn1l,σφαιροθεσίας,,,,,0
97406,σ08129,σφαιροθήκη,n,n-s---fn1e,σφαιροθήκης,,,,,0
97407,σ08130,σφαιρομαχέω,v,----------,,,,,,0
97408,σ08131,σφαιρομαχία,n,n-s---fn1l,σφαιρομαχίας,,,,,0
97409,σ08132,σφαιρομάχος,n,n-s---mn2-,σφαιρομάχου,,,,,0
97411,σ08134,σφαιροπαίκτης,n,n-s---mn1e,σφαιροπαίκτου,,,,,0
97413,σ08136,σφαιροποιέω,v,----------,,,,,,0
97414,σ08137,σφαιροποιία,n,n-s---fn1l,σφαιροποιίας,,,,,0
97415,σ08138,σφαιροποιός,n,----------,,,,,,0
97416,σ08175,σφαῖρος,n,n-s---mn2-,σφαίρου,,,,,0
97417,σ08139,σφαιρόω,v,----------,,,,,,0
97418,σ08141,σφαίρωμα,n,n-s---nn3t,σφαιρώματος,,,,,0
97419,σ08142,σφαιρών,n,n-s---mn3n,σφαιρῶνος,,,,,0
97421,σ08144,σφαιρωτήρ,n,n-s---mn3r,σφαιρωτῆρος,,,,,0
97422,σ08145,σφαιρωτός,a,aps---mn1-,σφαιρωτός σφαιρωτή σφαιρωτόν,,,,,0
97423,σ08146,σφακελίζω,v,----------,,,,,,0
97424,σ08147,σφακελισμός,n,----------,,,,,,0
97425,σ08148,σφάκελος,n,n-s---mn2-,σφακέλου,,,,,0
97373,σ08098,σφαγή,n,n-s---fn1e,σφαγῆς,,,,,0
97428,σ08151,σφάκος,n,n-s---mn2-,σφάκου,,,,,0
97429,σ08152,σφάκτης,n,n-s---mn1e,σφάκτου,,,,,0
97430,σ08153,σφακτικός,a,aps---mn1-,σφακτικός σφακτική σφακτικόν,,,,,0
97431,σ08154,σφακτός,a,aps---mn1-,σφακτός σφακτή σφακτόν,,,,,0
97432,σ08155,σφάκτρια,n,----------,,,,,,0
97433,σ08156,σφάκτρον,n,n-s---nn2-,σφάκτρου,,,,,0
97436,σ08159,σφαλερός,a,aps---mn1-,σφαλερός σφαλερά σφαλερόν,,,,,0
97437,σ08160,σφαλίζω,v,----------,,,,,,0
97438,σ08161,σφαλλός,n,----------,,,,,,0
97439,σ08162,σφάλλω,v,----------,,,,/spʰál.lɔː/,,0
97440,σ08163,σφάλμα,n,n-s---nn3t,σφάλματος,,,,,0
97441,σ08164,σφαλμάω,v,----------,,,,,,0
97442,σ08165,σφαλμός,n,----------,,,,,,0
97443,σ08166,σφάλος,n,----------,,,,,,0
97444,σ08167,σφαλός,n,----------,,,,,,0
97445,σ08168,σφάλσις,n,n-s---fn3v,σφάλσεως,,,,,0
97447,σ08170,σφάξ,n,n-s---mn3v,,,,/spʰǎːks/,,0
97448,σ08173,σφαραγέομαι,v,----------,,,,,,0
97449,σ08174,σφαραγίζω,v,----------,,,,,,0
97450,σ08284,σφᾶς,n,----------,,,,,,0
97451,σ08176,σφεδανός,a,aps---mn1-,σφεδανός σφεδανή σφεδανόν,,,,,0
97452,σ08198,σφεῖς,n,----------,,,,,,0
97453,σ08177,σφεκλαράριος,n,----------,,,,,,0
97454,σ08178,σφέκλη,n,n-s---fn1e,σφέκλης,,,,,0
97456,σ08180,σφέλας,n,----------,,,,,,0
97457,σ08181,σφελίσκον,n,n-s---nn2-,σφελίσκου,,,,,0
97458,σ08182,σφέλμα,n,n-s---nn3t,σφέλματος,,,,,0
97460,σ08184,σφένδαμνος,n,----------,,,,,,0
97461,σ08185,σφενδικίζω,v,----------,,,,,,0
97462,σ08186,σφενδονάω,v,----------,,,,,,0
97463,σ08187,σφενδονέω,v,----------,,,,,,0
97465,σ08189,σφενδονηδόν,r,----------,,,,,,0
97466,σ08190,σφενδόνησις,n,n-s---fn3v,σφενδονησέως,,,,,0
97467,σ08191,σφενδονήτης,n,n-s---mn1e,σφενδονήτου,,,,,0
97469,σ08193,σφενδονίζω,v,----------,,,,,,0
97470,σ08194,σφενδονιστής,n,n-s---mn1e,σφενδονιστού,,,,,0
97471,σ08195,σφενδονοειδής,a,aps---cn5s,σφενδονοειδής σφενδονοειδής σφενδονοειδές,,,,,0
97472,σ08196,σφεός,n,----------,,,,,,0
97473,σ08197,σφερία,n,n-s---fn1l,σφερίας,,,,,0
97474,σ08199,σφετερίζω,v,----------,,,,,,0
97475,σ08200,σφετερισμός,n,----------,,,,,,0
97476,σ08201,σφετεριστής,n,n-s---mn1e,σφετεριστού,,,,,0
97477,σ08202,σφέτερος,a,aps---mn1-,σφέτερος σφέτερα σφέτερον,,,/spʰé.te.ros/,,0
97478,σ08203,σφέων,n,----------,,,,,,0
97479,σ08204,σφηκαλέων,n,n-s---mn3t,σφηκαλέοντος,,,,,0
97480,,Σφήκεια,n,n-s---fn1s,Σφήκειας,,,,,0
97857,,Σωπή,n,----------,,,,,,0
97427,σ08150,σφάκηλος,n,----------,,,,,,0
97483,σ08207,σφηκίας,n,n-s---mn1a,σφηκίου,,,,,0
97484,σ08208,σφηκικός,a,aps---mn1-,σφηκικός σφηκική σφηκικόν,,,,,0
97485,σ08209,σφηκίον,n,n-s---nn2-,σφηκίου,,,,,0
97486,σ08210,σφηκίσκος,n,n-s---mn2-,σφηκίσκου,,,,,0
97487,σ08211,σφηκισμός,n,----------,,,,,,0
97489,σ08213,σφηκός,a,aps---mn1-,σφηκός σφηκή σφηκόν,,,,,0
97490,σ08246,σφῆκος,n,n-s---nn3v,σφῆκεος,,,,,0
97491,σ08214,σφηκόω,v,----------,,,,,,0
97493,σ08216,σφήκωμα,n,n-s---nn3t,σφηκώματος,,,,,0
97494,σ08217,σφηκών,n,n-s---mn3n,σφηκῶνος,,,,,0
97495,σ08218,σφηκωνεύς,n,n-s---mn3v,σφηκωνέως,,,,,0
97496,σ08247,σφῆλαι,n,----------,,,,,,0
97497,σ08219,σφήν,n,n-s---mn3-,,,,/spʰɛ̌ːn/,,0
97498,σ08220,σφηνάριον,n,n-s---nn2-,σφηναρίου,,,,,0
97499,σ08221,σφηνεύς,n,n-s---mn3v,σφηνέως,,,,,0
97500,σ08222,σφηνίσκος,n,n-s---mn2-,σφηνίσκου,,,,,0
97502,σ08224,σφηνοκέφαλος,a,aps---cn2-,σφηνοκέφαλος σφηνοκέφαλος σφηνοκέφαλον,,,,,0
97503,σ08225,σφηνόπους,n,----------,,,,,,0
97504,σ08226,σφηνοπώγων,n,n-s---mn3n,σφηνοπώγωνος,,,,,0
97505,σ08227,σφηνόω,v,----------,,,,,,0
97506,σ08228,σφήνωσις,n,n-s---fn3v,σφηνωσέως,,,,,0
97507,σ08229,σφήξ,n,n-s---mn3-,σφηκός,,,/spʰɛ̌ːks/,,0
97508,σ08283,σφῆρος,n,n-s---mn2-,σφήρου,,,,,0
97509,,Σφηττός,n,----------,,,,,,0
97510,,Σ,n,----------,,,,,,0
97511,σ08230,σφι,n,----------,,,,,,0
97512,σ08232,σφιγγία,n,n-s---fn1l,σφιγγίας,,,,,0
97514,σ08234,σφιγγίον,n,n-s---nn2-,σφιγγίου,,,,,0
97516,σ08236,σφιγγόπους,n,----------,,,,,,0
97517,σ08237,σφίγγω,v,----------,,,,,,0
97518,σ08238,σφιγκτήρ,n,n-s---mn3r,σφιγκτῆρος,,,/spʰiŋk.tɛ̌ːr/,,0
97519,σ08239,σφίγκτης,n,n-s---mn1e,σφίγκτου,,,,,0
97520,σ08240,σφιγκτός,a,aps---mn1-,σφιγκτός σφιγκτή σφιγκτόν,,,/spʰiŋk.tós/,,0
97521,σ08241,σφίγκτωρ,n,n-s---mn3r,σφίγκτορος,,,,,0
97522,σ08242,σφίγμα,n,n-s---nn3t,σφίγματος,,,,,0
97523,,Σφίγξ,n,n-s---fn3-,Σφιγγός,,,/spʰíŋks/,,0
97524,σ08243,σφίγξις,n,n-s---fn3v,σφίγξεως,,,,,0
97525,σ08244,σφικάω,v,----------,,,,,,0
97526,σ08245,σφιν,n,----------,,,,,,0
97528,σ08250,σφόδρα,r,----------,,,,,,0
97529,σ08251,σφοδρόομαι,v,----------,,,,,,0
97530,σ08252,σφοδρός,a,aps---mn1-,,,,,,0
97531,σ08253,σφοδρότης,n,n-s---fn3t,σφοδρότητος,,,,,0
97532,σ08254,σφοδρύνω,v,----------,,,,,,0
97533,σ08255,σφονδύλη,n,n-s---fn1e,σφονδύλης,,,,,0
97536,σ08258,σφονδυλίων,n,----------,,,,,,0
97537,σ08259,σφονδυλοδίνητος,n,----------,,,,,,0
97482,σ08206,σφηκιά,n,n-s---fn1l,σφηκιᾶς,,,,,0
97540,σ08262,σφόνδυλος,n,n-s---mn2-,,,,/spʰón.dy.los/,,0
97541,σ08263,σφονδυλώδης,a,aps---cn3s,σφονδυλώδης σφονδυλώδης σφονδυλώ͂δες,,,,,0
97542,σ08264,σφός,n,----------,,,,,,0
97543,σ08266,σφραγίδιον,n,n-s---nn2-,σφραγιδίου,,,,,0
97546,σ08269,σφραγίζω,v,v1spia--1-,,,,,,0
97547,σ08270,σφραγίς,n,n-s---fn3d,,,,/spʰraː.ɡís/,,0
97548,σ08271,σφράγισμα,n,n-s---nn3t,σφραγίσματος,,,,,0
97549,σ08272,σφραγισμός,n,----------,,,,,,0
97550,σ08273,σφραγιστήρ,n,n-s---mn3r,σφραγιστῆρος,,,,,0
97551,σ08274,σφραγιστήριον,n,n-s---nn2-,σφραγιστηρίου,,,,,0
97552,σ08275,σφραγιστής,n,n-s---mn1e,σφραγιστού,,,,,0
97553,σ08276,σφραγιστός,a,aps---mn1-,σφραγιστός σφραγιστή σφραγιστόν,,,,,0
97554,σ08277,σφραγμός,n,----------,,,,,,0
97555,σ08278,σφρηγίζω,v,----------,,,,,,0
97557,σ08280,σφριγάω,v,----------,,,,,,0
97558,σ08281,σφρίγος,n,n-s---nn3v,σφρίγεος,,,,,0
97559,σ08282,σφριγώδης,a,aps---cn3s,σφριγώδης σφριγώδης σφριγώ͂δες,,,,,0
97560,σ08285,σφυγματώδης,a,aps---cn3s,σφυγματώδης σφυγματώδης σφυγματώ͂δες,,,,,0
97561,σ08286,σφυγμικός,a,aps---mn1-,σφυγμικός σφυγμική σφυγμικόν,,,/spʰyŋ.mi.kós/,,0
97562,σ08287,σφυγμολογέω,v,----------,,,,,,0
97563,σ08288,σφυγμός,n,n-s---mn2-,σφυγμοῦ,,,/spʰyŋ.mós/,,0
97564,σ08289,σφυγμώδης,a,aps---cn3s,σφυγμώδης σφυγμώδης σφυγμώ͂δες,,,,,0
97565,σ08290,σφυδόω,v,----------,,,,,,0
97566,σ08291,σφυδρόν,n,----------,,,,,,0
97567,σ08292,σφύζω,v,----------,,,,/spʰýz.dɔː/,,0
97568,σ08293,σφύξ,n,----------,,,,,,0
97569,σ08294,σφύξις,n,n-s---fn3v,σφύξεως,,,/spʰýk.sis/,,0
97570,σ08265,σφῦρα,n,----------,,,,,,0
