39
136929,\,11793,26121
136930,\,30109,26121
136931,\,95626,26121
136932,\,103029,26121
136933,\,103944,26121
136934,\,26215,26232
136935,\,1338,26381
136936,\,9298,26381
136937,\,23199,26381
136938,\,33352,26381
136939,\,37186,26381
136940,\,63397,26381
136941,\,74293,26381
136942,\,83293,26381
136943,\,85123,26381
136944,\,85383,26381
136945,\,95632,26381
136946,\,33371,26573
136947,\,36923,26573
136948,\,37202,26573
136949,\,51319,26573
136950,\,83308,26573
136951,\,9309,26722
136952,\,26666,26722
136953,\,26699,26722
136954,\,26711,26722
136955,\,37207,26722
136956,\,74312,26722
136957,\,95640,26722
136958,\,11023,29364
136959,\,103899,111925
136960,\,35058,29364
136961,\,35057,29364
136962,\,35180,29364
136963,\,36408,29364
136964,\,36407,29364
136965,\,38514,29364
136966,\,38979,29364
136967,\,39001,29364
136968,\,63811,29364
136969,\,63810,29364
136970,\,75566,29364
136971,\,75565,29364
136972,\,77615,29364
136973,\,77614,29364
136974,\,83541,29364
136975,\,83540,29364
136976,\,83357,29364
136977,\,83356,29364
136978,\,83486,29364
136979,\,85171,29364
136980,\,85170,29364
136981,\,86103,29364
136982,\,94412,29364
136983,\,94413,29364
136984,\,94693,29364
136985,\,29109,111949
136986,\,48770,111949
136987,\,112177,111949
136988,\,7579,29451
136989,\,24911,29451
136990,\,29419,29451
136991,\,33439,29451
136992,\,35065,29451
136993,\,89617,29451
136994,\,89628,29451
136995,\,95709,29451
136996,\,7579,29450
136997,\,24911,29450
136998,\,29419,29450
136999,\,33439,29450
137000,\,35065,29450
137001,\,89617,29450
137002,\,89628,29450
137003,\,95709,29450
137004,\,24911,29449
137005,\,29419,29449
137006,\,33439,29449
137007,\,35065,29449
137008,\,89617,29449
137009,\,89628,29449
137010,\,95709,29449
137011,\,47731,29365
137012,\,7574,29391
137013,\,8951,29391
137014,\,9803,29391
137015,\,11024,29391
137016,\,24904,29391
137017,\,35059,29391
137018,\,36413,29391
137019,\,53085,29391
137020,\,63812,29391
137021,\,82831,29391
137022,\,84859,29391
137023,\,85172,29391
137024,\,85344,29391
137025,\,95705,29391
137026,\,102666,29391
137027,\,7989,41816
137028,\,11303,41816
137029,\,25133,41816
137030,\,35196,41816
137031,\,36687,41816
137032,\,53216,41816
137033,\,63871,41816
137034,\,75842,41816
137035,\,85523,41816
137036,\,96291,41816
137037,\,8003,42741
137038,\,25149,42741
137039,\,53239,42741
137040,\,84820,42741
137041,\,96307,42741
137042,\,11316,43181
137043,\,43182,43181
137044,\,43183,43181
137045,\,103137,43181
137046,\,36701,43207
