43268,87287,,,
2024481,84256,26541,,,
2024482,84256,25004,,,
2024483,84256,24999,,,
2024484,84256,17314,,,
2024485,84256,26525,,,
2024486,84256,30620,,,
2024488,84256,41369,,,
2024489,84256,916,,,
2024490,84256,25484,,,
2024491,84256,25478,,,
2024492,84256,58757,,,
2024493,84256,899,,,
2024495,84256,25470,,,
2024496,84256,33650,,,
2024497,84256,24432,,,
2024498,84256,3951,,,
2024499,84256,57693,,,
2024500,84256,2378,,,
2024502,84256,38714,,,
2024503,84256,1845,,,
2024504,84256,41265,,,
2024505,84256,33032,,,
2024506,84256,38660,,,
2024507,84256,32509,,,
2024509,84256,15586,,,
2024510,84256,30932,,,
2024511,84256,102087,,,
2024512,84256,38599,,,
2024513,84256,60093,,,
2024514,84256,59577,,,
2024516,84256,39084,,,
2024517,84256,30882,,,
2024518,84256,46241,,,
2024519,84256,46240,,,
2024520,84256,58514,,,
2024521,84256,12945,,,
2024523,84256,18051,,,
2024524,84256,18048,,,
2024525,84256,100985,,,
2024526,84256,33903,,,
2024527,84256,39017,,,
2024528,84256,13918,,,
2024530,84256,1103,,,
2024531,84256,9801,,,
2024532,84256,1094,,,
2024533,84256,68,,,
2024534,84256,1089,,,
2024535,84256,1088,,,
2024537,84256,33844,,,
2024538,84256,41520,,,
2024539,84256,13353,,,
2024540,84256,13352,,,
2024541,84256,13351,,,
2024542,84256,13350,,,
2024544,84256,13348,,,
2024545,84256,23048,,,
2024546,84256,16385,,,
2024547,84256,16384,,,
2024549,84309,79323,,,
2024550,84309,79355,,,
2024551,84309,88821,,,
2024553,84309,79364,,,
2024554,84309,83936,,,
2024555,84254,69753,,,
2024556,84254,71698,,,
2024557,84254,71855,,,
2024558,84254,76331,,,
2024560,84254,72263,,,
2024561,84260,19559,,,
2024562,84260,15859,,,
2024563,84259,72915,,,
2024564,84259,72741,,,
2024565,84259,76220,,,
2024567,84259,73254,,,
2024568,84261,71325,,,
2024569,84261,77370,,,
2024570,84261,76410,,,
2024571,84261,76566,,,
2024572,84261,72726,,,
2024574,84261,77070,,,
2024575,84261,70359,,,
2024576,84261,67497,,,
2024577,84261,76554,,,
2024578,84261,68714,,,
2024579,84261,76713,,,
2024581,84261,73189,,,
2024582,84261,73668,,,
2024583,84261,73347,,,
2024584,84261,76577,,,
2024585,84261,75040,,,
2024586,84317,79358,,,
2024588,84317,83831,,,
2024589,84317,88821,,,
