,65203,47957,,,
1560247,65232,80971,,,
1560248,65232,90187,,,
1560250,65232,70728,,,
1560251,65232,45635,,,
1560252,65232,43578,,,
1560253,65232,90683,,,
1560254,65232,90682,,,
1560255,65232,90681,,,
1560257,65232,90679,,,
1560258,65232,90678,,,
1560259,65232,90677,,,
1560260,65232,90676,,,
1560261,65232,90675,,,
1560262,65232,90674,,,
1560264,65232,92197,,,
1560265,65232,92194,,,
1560266,65232,80912,,,
1560267,65232,86545,,,
1560268,65232,86548,,,
1560269,65232,86547,,,
1560271,65232,80913,,,
1560272,65232,86544,,,
1560273,65232,30730,,,
1560274,65232,80906,,,
1560276,65232,72199,,,
1560277,65232,7,,,
1560278,65237,97086,,,
1560280,65237,96114,,,
1560281,65237,99572,,,
1560282,65237,96113,,,
1560283,65237,97074,,,
1560284,65237,96081,,,
1560285,65237,96112,,,
1560287,65237,96206,,,
1560288,65237,99564,,,
1560289,65237,99116,,,
1560290,65237,96102,,,
1560291,65237,96101,,,
1560292,65237,96932,,,
1560294,65238,73902,,,
1560295,65247,88575,,,
1560296,65247,27764,,,
1560297,65247,84340,,,
1560298,65247,60276,,,
1560299,65247,81520,,,
1560301,65247,89965,,,
1560302,65247,13158,,,
1560303,65247,63462,,,
1560304,65247,86744,,,
1560305,65247,5463,,,
1560306,65247,99030,,,
1560308,65247,90579,,,
1560309,65247,96081,,,
1560310,65247,59340,,,
1560311,65247,80459,,,
1560312,65247,80970,,,
1560313,65247,79943,,,
1560315,65247,11200,,,
1560316,65247,33471,,,
1560317,65247,97212,,,
1560318,65247,82108,,,
1560319,65247,90679,,,
1560320,65247,85175,,,
1560322,65247,72363,,,
1560323,65247,89901,,,
1560324,65247,87981,,,
1560325,65247,91692,,,
1560326,65247,39723,,,
1560327,65247,91686,,,
1560329,65247,92194,,,
1560330,65247,85664,,,
1560331,65247,87706,,,
1560332,65247,14989,,,
1560333,65247,17161,,,
1560334,65247,17160,,,
1560336,65250,81913,,,
1560337,65250,27764,,,
1560338,65250,84340,,,
1560339,65250,96114,,,
1560340,65250,96113,,,
1560341,65250,96112,,,
1560343,65250,96102,,,
1560344,65250,97627,,,
1560345,65250,91348,,,
1560346,65250,90579,,,
1560347,65250,96081,,,
1560348,65250,96206,,,
1560350,65250,80970,,,
1560351,65250,86467,,,
1560352,65250,82108,,,
1560353,65250,98874,,,
1560354,65250,90679,,,
1560355,65250,90678,,,
1560357,65250,88750,,,
1560358,65250,89901,,,
1560359,65250,92194,,,
1560360,65250,85664,,,
1560361,65250,87706,,,
1560362,65250,88721,,,
1560364,65251,20715,,,
1560365,65251,36233,,,
1560366,65251,26601,,,
1560367,65251,12688,,,
1560368,65214,46345,,,
1560369,65182,45488,,,
1560371,65207,85706,,,
1560372,65207,87337,,,
1560373,65207,87334,,,
1560374,65187,45549,,,
1560375,65187,45550,,,
1560376,65187,47036,,,
1560378,65187,29555,,,
1560379,65187,11061,,,
1560380,65187,17055,,,
1560381,65187,38671,,,
1560383,65187,59340,,,
1560384,65187,456,,,
1560385,65187,20102,,,
1560387,65187,11041,,,
1560388,65200,59340,,,
1560389,65200,38379,,,
1560390,65200,27764,,,
1560391,65246,39294,,,
1560392,65246,18035,,,
1560394,65246,31346,,,
1560395,65246,26737,,,
1560396,65246,33904,,,
1560397,65246,19695,,,
1560398,65246,39660,,,
1560399,65246,11620,,,
1560401,65246,15706,,,
1560402,65246,40278,,,
1560403,65246,16984,,,
1560404,65246,16983,,,
1560405,65246,16982,,,
1560406,65246,16981,,,
1560408,65246,29267,,,
1560409,65246,61648,,,
1560410,65246,41167,,,
1560411,65246,38989,,,
1560412,65246,34123,,,
1560413,65246,46026,,,
1560415,65246,46022,,,
1560416,65246,46023,,,
1560417,65246,46790,,,
1560418,65246,46021,,,
1560419,65246,26433,,,
1560420,65246,31168,,,
1560422,65246,47278,,,
1560423,65246,5420,,,
1560424,65246,56480,,,
1560425,65246,39070,,,
1560426,65246,58782,,,
1560427,65246,29329,,,
1560429,65246,45443,,,
1560430,65246,45442,,,
1560431,65246,45441,,,
1560432,65252,13471,,,
1560433,65252,13470,,,
1560434,65252,14780,,,
1560436,65252,27764,,,
1560437,65252,14321,,,
1560438,65252,59340,,,
1560439,65252,41835,,,
1560440,65252,41318,,,
1560441,65252,13472,,,
1560443,35333,80659,,,
1560444,35333,80658,,,
1560445,35333,90188,,,
1560446,35333,83174,,,
1560447,35333,80612,,,
1560448,35333,80611,,,
1560450,65258,82108,,,
1560451,65258,85147,,,
1560452,65258,87706,,,
1560453,65258,90679,,,
1560454,65258,90867,,,
1560455,65258,84340,,,
1560457,65258,90579,,,
1560458,65258,88750,,,
1560459,65258,89901,,,
1560460,65258,80971,,,
1560461,65258,79274,,,
1560462,65258,80970,,,
1560464,65258,85664,,,
1560465,65274,59225,,,
1560466,65274,41173,,,
1560467,65274,27764,,,
1560468,65274,49682,,,
1560469,65274,63213,,,
1560471,65274,64265,,,
1560472,65274,21062,,,
1560473,65274,18338,,,
1560474,65274,63201,,,
1560475,65257,77798,,,
1560476,65257,66077,,,
1560478,65259,90708,,,
1560479,65259,89363,,,
1560480,65259,80912,,,
1560481,65259,80913,,,
1560482,65259,86544,,,
1560483,65259,90403,,,
1560485,65262,82108,,,
1560486,65262,87706,,,
1560487,65262,90679,,,
1560488,65262,84340,,,
1560490,65262,90579,,,
1560491,65262,89901,,,
1560492,65262,80970,,,
1560494,65262,85664,,,
1560495,65266,81913,,,
1560496,65266,90998,,,
1560497,65266,88309,,,
1560498,65266,84340,,,
1560499,65266,82544,,,
1560501,65266,85356,,,
1560502,65266,86631,,,
1560503,65266,85078,,,
1560504,65266,91348,,,
1560505,65266,90579,,,
1560506,65266,80970,,,
1560508,65266,90941,,,
1560509,65266,82108,,,
1560510,65266,80569,,,
1560511,65266,91958,,,
1560512,65266,90679,,,
1560513,65266,84918,,,
1560515,65266,89901,,,
1560516,65266,90919,,,
1560517,65266,92194,,,
1560518,65266,85664,,,
1560519,65266,81822,,,
1560520,65266,87706,,,
1560522,65266,79502,,,
1560523,65266,84492,,,
1560524,65266,92673,,,
1560525,65266,79873,,,
1560526,65268,82108,,,
1560527,65268,87706,,,
1560529,65268,84340,,,
1560530,65268,90676,,,
1560531,65268,90579,,,
1560532,65268,89901,,,
1560533,65268,80970,,,
1560534,65268,92194,,,
1560536,65263,59340,,,
1560537,65263,20065,,,
1560538,65263,27764,,,
1560539,65264,82108,,,
1560540,65264,87706,,,
1560541,65264,37941,,,
1560543,65264,27764,,,
1560544,65264,84340,,,
1560545,65264,90676,,,
1560546,65264,90579,,,
1560547,65264,89901,,,
1560548,65264,59340,,,
1560550,65264,92194,,,
1560551,65264,37985,,,
1560552,65264,85664,,,
1560553,42430,86771,,,
1560554,65273,82108,,,
1560555,65273,87706,,,
1560557,65273,84340,,,
1560558,65273,90676,,,
1560559,65273,90579,,,
1560560,65273,89901,,,
1560561,65273,80970,,,
1560562,65273,92194,,,
1560564,65278,82108,,,
1560565,65278,87706,,,
1560566,65278,90679,,,
1560567,65278,84340,,,
1560568,65278,90676,,,
1560569,65278,90579,,,
1560571,65278,80970,,,
1560572,65278,92194,,,
1560573,65278,85664,,,
1560574,65279,82108,,,
1560575,65279,87706,,,
1560576,65279,90679,,,
1560578,65279,90676,,,
1560579,65279,90579,,,
1560580,65279,89901,,,
1560581,65279,80970,,,
1560582,65279,92194,,,
1560583,65279,85664,,,
1560585,65293,84340,,,
1560586,65293,88179,,,
1560587,65293,78438,,,
1560588,65293,83938,,,
1560589,65293,81040,,,
1560590,65293,91605,,,
1560592,65293,90579,,,
1560593,65293,80970,,,
1560594,65293,82252,,,
1560595,65293,90187,,,
1560597,65293,81993,,,
1560598,65293,82240,,,
1560599,65293,91967,,,
1560601,65293,82108,,,
1560602,65293,90681,,,
1560603,65293,90683,,,
1560604,65293,90682,,,
1560605,65293,87993,,,
1560606,65293,90680,,,
1560608,65293,90678,,,
1560609,65293,90677,,,
1560610,65293,90674,,,
1560611,65293,90675,,,
1560612,65293,80912,,,
1560613,65293,81329,,,
1560615,65293,88750,,,
1560616,65293,88749,,,
1560617,65293,92201,,,
1560618,65293,92194,,,
1560619,65293,92197,,,
1560620,65293,90404,,,
1560622,65293,90403,,,
1560623,65293,88226,,,
1560624,65293,90401,,,
1560625,65293,85664,,,
1560626,65293,87706,,,
1560627,65293,79127,,,
1560629,65293,86547,,,
1560630,65293,86548,,,
1560631,65293,89363,,,
1560632,65293,87957,,,
1560633,65293,89362,,,
1560634,65293,80913,,,
1560636,65293,88721,,,
1560637,65293,86544,,,
1560638,65293,80906,,,
1560639,65293,81031,,,
1560640,65293,85639,,,
1560641,65293,81152,,,
1560643,65284,4820,,,
1560644,65284,3914,,,
1560645,65284,456,,,
1560646,65294,82108,,,
1560647,65294,85658,,,
1560648,65294,87706,,,
1560650,65294,90676,,,
1560651,65294,90579,,,
1560652,65294,81102,,,
1560653,65294,89901,,,
1560654,65294,80970,,,
1560655,65294,90679,,,
1560657,65294,85664,,,
1560658,65298,83477,,,
1560659,65298,83473,,,
1560660,65302,82108,,,
1560661,65302,87706,,,
1560662,65302,90679,,,
1560664,65302,90676,,,
1560665,65302,90579,,,
1560666,65302,89901,,,
1560667,65302,80970,,,
1560668,65302,92194,,,
1560669,65302,85664,,,
1560671,65307,90520,,,
1560672,65314,82108,,,
1560673,65314,87706,,,
1560674,65314,90679,,,
1560675,65314,84340,,,
1560676,65314,90676,,,
1560678,65314,89901,,,
1560679,65314,80970,,,
1560680,65314,92194,,,
1560681,65314,85664,,,
1560682,65317,82108,,,
1560683,65317,87706,,,
1560685,65317,90678,,,
1560686,65317,84340,,,
1560687,65317,90676,,,
1560688,65317,90579,,,
1560689,65317,88750,,,
1560690,65317,89901,,,
1560692,65317,92194,,,
1560693,65317,85664,,,
1560694,65283,77340,,,
1560695,65283,70633,,,
1560696,65283,72199,,,
1560697,65283,76551,,,
1560699,65283,70627,,,
1560700,65299,28317,,,
1560701,65299,4572,,,
1560702,65299,4443,,,
1560704,65299,59189,,,
1560705,65299,39731,,,
1560706,65299,27730,,,
1560708,65299,22510,,,
1560709,65299,30793,,,
1560710,65299,24646,,,
1560711,65299,24645,,,
1560712,65299,58560,,,
1560713,65319,1243,,,
1560715,65319,1241,,,
1560716,65319,23035,,,
1560717,65319,27764,,,
1560718,65319,2352,,,
1560719,65319,59340,,,
1560720,65319,456,,,
1560722,65319,12740,,,
1560723,65308,81913,,,
1560724,65308,90998,,,
1560725,65308,88309,,,
1560726,65308,84340,,,
1560727,65308,82544,,,
1560729,65308,85078,,,
1560730,65308,91348,,,
1560731,65308,90708,,,
1560732,65308,90579,,,
1560733,65308,80970,,,
1560734,65308,86467,,,
1560736,65308,82108,,,
1560737,65308,80569,,,
1560738,65308,90679,,,
1560739,65308,84918,,,
1560740,65308,90676,,,
1560741,65308,90674,,,
1560743,65308,90919,,,
1560744,65308,90403,,,
1560745,65308,92194,,,
1560746,65308,85664,,,
1560747,65308,81822,,,
1560748,65308,87706,,,
1560750,65308,89363,,,
1560751,65308,80912,,,
1560752,65308,80913,,,
1560753,65308,86544,,,
1560754,65308,84492,,,
1560755,65308,92673,,,
1560757,65308,81152,,,
1560758,65297,28284,,,
1560759,65297,24631,,,
1560760,65297,4372,,,
1560761,65297,62095,,,
1560762,65297,1550,,,
1560764,65297,65897,,,
1560765,65297,65383,,,
1560766,65297,33735,,,
1560767,65297,4932,,,
1560768,65297,31490,,,
1560769,65297,5186,,,
1560771,65318,87706,,,
1560772,65318,90679,,,
1560773,65318,84340,,,
1560774,65318,90676,,,
1560775,65318,90579,,,
1560776,65318,89901,,,
1560778,65318,79319,,,
1560779,65318,92194,,,
1560780,65318,78944,,,
1560781,65318,85664,,,
1560782,65296,66271,,,
1560783,65296,86424,,,
1560785,65296,77172,,,
1560786,65296,46228,,,
1560787,65296,46227,,,
1560788,65296,27629,,,
1560789,65296,65131,,,
1560790,65296,85862,,,
1560792,65325,87706,,,
1560793,65325,78489,,,
1560794,65325,79319,,,
1560795,65325,90678,,,
1560796,65325,84340,,,
1560797,65325,90676,,,
1560799,65325,88750,,,
1560800,65325,89901,,,
1560801,65325,80970,,,
1560802,65325,90679,,,
1560803,65325,80675,,,
1560804,65325,92194,,,
1560806,65325,78944,,,
1560807,65320,24639,,,
1560808,65320,4053,,,
1560809,65320,59340,,,
1560811,65328,92228,,,
1560812,65328,92227,,,
1560813,65329,82108,,,
1560815,65329,90679,,,
1560816,65329,84340,,,
1560817,65329,90676,,,
1560818,65329,90579,,,
1560819,65329,89901,,,
1560820,65329,80970,,,
1560822,65329,85664,,,
1560823,65310,46012,,,
1560824,65310,45048,,,
1560825,65310,27764,,,
1560826,65310,44273,,,
1560827,65310,44272,,,
1560829,65310,44270,,,
1560830,65310,59340,,,
1560831,65311,1791,,,
1560832,65311,47358,,,
1560833,65311,82906,,,
1560834,65311,90486,,,
1560836,65311,88341,,,
1560837,65311,89010,,,
1560838,65311,88338,,,
1560839,65311,52141,,,
1560840,65311,88621,,,
1560841,65311,87694,,,
1560843,65311,90540,,,
1560844,65311,82088,,,
1560845,65311,88679,,,
1560846,65311,90982,,,
1560847,65311,82373,,,
1560848,65312,1791,,,
1560850,65312,84340,,,
1560851,65312,96114,,,
1560852,65312,96113,,,
1560853,65312,96112,,,
1560854,65312,99564,,,
1560855,65312,38379,,,
1560857,65312,90708,,,
1560858,65312,90579,,,
1560859,65312,96081,,,
1560860,65312,96206,,,
1560861,65312,59340,,,
1560862,65312,80970,,,
1560864,65312,82108,,,
1560865,65312,2614,,,
1560866,65312,90679,,,
1560867,65312,90678,,,
1560868,65312,90676,,,
1560869,65312,90674,,,
1560871,65312,89901,,,
1560872,65312,90403,,,
1560873,65312,92194,,,
