@,24976,24968
39165,%p,25350,26650
39166,%p,25350,26651
39167,@,25351,25337
39168,%p,25351,25398
39169,%p,25351,26468
39170,%p,25352,25701
39171,@,25353,25337
39172,%p,25353,26660
39173,@,25354,25337
39174,@,25355,25337
39175,@,25356,25337
39176,%p,25356,26686
39177,@,25357,25337
39178,@,25358,25337
39179,%p,25358,25661
39180,@,25359,25337
39181,@,25360,25337
39182,%p,25360,26672
39183,@,25361,25337
39184,@,25362,26683
39185,@,25363,25337
39186,@,25364,25162
39187,@,25365,25337
39188,@,25367,25337
39189,@,25281,25280
39190,@,25370,25380
39191,@,25371,25337
39192,@,25372,25337
39193,@,25373,25337
39194,%p,25373,26669
39195,@,25374,25337
39196,@,25375,25337
39197,%p,25375,26659
39198,%p,25376,25377
39199,%p,25376,25379
39200,@,25377,59962
39201,@,25378,59962
39202,@,25379,26182
39203,@,25380,25337
39204,@,25381,25337
39205,@,25382,25476
39206,@,25383,25337
39207,%p,25383,26451
39208,@,25384,25337
39209,%p,25384,25385
39210,%p,25384,25386
39211,@,25385,25337
39212,@,25386,25337
39213,@,25387,25337
39214,@,25388,25337
39215,%p,25388,25378
39216,%p,25388,26449
39217,%p,25388,26450
39218,@,25389,25337
39219,%p,25389,25354
39220,%p,25389,25390
39221,%p,25389,25492
39222,%p,25389,25496
39223,%p,25389,25497
39224,%p,25389,25501
39225,@,25390,25476
39226,%p,25390,25498
39227,@,25391,25389
39228,@,25392,25389
39229,@,25393,25337
39230,@,25394,25337
39231,@,25395,25337
39232,%p,25395,25505
39233,%p,25395,26459
39234,%p,25396,25350
39235,%p,25396,26187
39236,%p,25396,26649
39237,@,25397,59976
39238,@,25398,25337
39239,@,25399,25382
39240,@,25400,25476
39241,@,25401,25382
39242,@,25402,25406
39243,@,25403,26019
39244,@,25404,26019
39245,%p,25404,25405
39246,@,25405,39631
39247,@,25406,25327
39248,%s,25406,25407
39249,%p,25406,26101
39250,%p,25406,26626
39251,%p,25406,26735
39252,@,25408,64778
39253,@,25409,25327
39254,@,25410,25327
39255,%s,25410,25407
