12,n,9,milk from which some of the cream has been removed,
36858,05914133,n,9,very effervescent light-colored beer,
36859,05914226,n,9,grain that is kiln-dried after having been germinated by soaking in water; used especially in brewing and distilling,
36860,05914430,n,9,unfermented or fermenting malt,
36861,05914511,n,9,alcoholic beverage made with malt,
36862,05914628,n,9,half beer and half porter,
36863,05914713,n,9,fermented alcoholic beverage similar to but heavier than beer,
36864,05914878,n,9,(British) dry sharp-tasting ale with strong flavor of hops,
36865,05914989,n,9,a strong dark English ale (brewed at Burton-on-Trent in Derbyshire),
36866,05915109,n,9,dark sweet ale brewed from black malt,
36867,05915233,n,9,strong dark heavy-bodied porter,
36868,05915334,n,9,a kind of bitter stout,
36869,05915411,n,9,(Russian) fermented beverage resembling beer but made from rye or barley,
36873,05915880,n,9,drink that resembles beer but with less than 1/2 percent alcohol,
36874,05916000,n,9,carbonated slightly alcoholic drink flavored with fermented ginger,
36875,05916124,n,9,Japanese beverage from fermented rice usually served hot,
36876,05916257,n,9,a fermented alcoholic beverage made of molasses and spruce twigs fermented with yeast,
36877,05916400,n,9,made from sap of the Australasian nipa palm,
36878,05916513,n,9,sweet liqueur made from wine and brandy flavored with plum or peach or apricot kernels and bitter almonds,
36879,05916701,n,9,fermented juice (of grapes especially),
36880,05917231,n,9,a season's yield of wine from a vineyard,
36881,05917325,n,9,wine having a red color derived from skins of dark-colored grapes,
36882,05917572,n,9,pale yellowish wine made from white grapes or red grapes with skins removed before fermentation,
36883,05917922,n,9,pinkish table wine from red grapes whose skins were removed after fermentation began,
36884,05918094,n,9,used in a communion service,
36885,05918197,n,9,effervescent wine,
36886,05918311,n,9,a white sparkling wine either produced in Champagne or resembling that produced there,
36887,05918461,n,9,pink sparkling wine originally from Germany,
36888,05918560,n,9,table wine from the Burgundy region of France or any Burgundy-type wine made elsewhere,
36889,05918771,n,9,dry fruity red table wine drunk within a few months after it is made; from southern Burgundy in France,
36890,05918930,n,9,red Burgundy wine from Medoc region of France,
36891,05919046,n,9,a sweet white wine from the Canary Islands,
36892,05919146,n,9,dry white table wine of Chablis France or resembling that wine,
36893,05919279,n,9,dry white Chablis-type table wine made from Chardonnay grapes,
36894,05919435,n,9,dry red California table wine made from purple Pinot grapes,
36895,05919570,n,9,dry white California table wine made from white Pinot grapes,
36897,05919871,n,9,dry red Bordeaux or Bordeaux-like wine,
36898,05919995,n,9,dry red Italian table wine from the Chianti region of Tuscany,
36899,05920110,n,9,superior Bordeaux-type red wine from California,
36900,05920252,n,9,a California wine,
36901,05920350,n,9,any of various wines produced in California,
36902,05920455,n,9,a wine from southeastern France on the Mediterranean coast,
36903,05920577,n,9,still sweet wine often served with dessert or after a meal,
36904,05920712,n,9,inexpensive wine sold in large bottles or jugs,
36905,05920813,n,9,fine Burgundy wine usually white and dry,
36906,05920917,n,9,German white wine from the Moselle valley or a similar wine made elsewhere,
36907,05921045,n,9,dry white wine from the Loire Valley in France,
36908,05921146,n,9,(British and Australian) a cheap wine of inferior quality,
36909,05921255,n,9,Greek wine flavored with resin,
36910,05921339,n,9,any of several white wines from the Rhine River valley in Germany (`hock' is British usage),
36911,05921541,n,9,fragrant dry or sweet white wine from the Rhine valley or a similar wine from California,
36912,05921703,n,9,Rhenish-type wine from especially Hesse in western Germany,
36913,05921821,n,9,any of various wines from the Rhone River valley in France,
36914,05921936,n,9,dry red table wine from the Rioja region of northern Spain,
36915,05922046,n,9,any of various light dry strong white wine from Spain and Canary Islands (including sherry),
36916,05922188,n,9,full-bodied red wine from around the town of Saint_Emilion in Bordeaux,
36917,05922318,n,9,dry white Italian wine from Verona,
36918,05922404,n,9,dry fruity red wine from California,
36919,05922514,n,9,semisweet golden-colored table or dessert wine from around Bordeaux in France; similar wine from California,
36920,05922688,n,9,sweet wine from grapes partially sun-dried on the vine or on straw mats,
36921,05922816,n,9,wine containing not more than 14 percent alcohol usually served with a meal,
36922,05922966,n,9,Hungarian wine made from Tokay grapes,
36923,05923074,n,9,cheap French table wine of unspecified origin,
36924,05923179,n,9,any of several white wines flavored with aromatic herbs; used as aperitifs or in mixed drinks,
36925,05923363,n,9,sweet dark amber variety,
100297,N0001267,n,10,,
36927,05923604,n,9,made in California and the Loire valley in France,
36928,05923731,n,9,wine to which alcohol (usually grape brandy) has been added,
36929,05923941,n,9,amber-colored dessert wine from Madeira,
36930,05924052,n,9,sweet Madeira wine,
36931,05924143,n,9,sweet dark-red dessert wine originally from Portugal,
36933,05924476,n,9,very dry pale sherry from Spain,
36934,05924564,n,9,pale medium-dry sherry from Spain,
36935,05924655,n,9,dark sweet or semisweet dessert wine from Sicily,
36936,05924757,n,9,wine from muscat grapes,
36937,05924887,n,9,distilled rather than fermented,
36938,05925301,n,9,nonflavored alcohol of 95 percent or 190 proof used for blending with straight whiskies and in making gin and liqueurs,
36939,05925516,n,9,strong distilled liquor or brandy,
36940,05925623,n,9,strong coarse brandy,
36941,05925700,n,9,illegally whiskey distilled from a corn mash,
36942,05925814,n,9,homemade gin especially that made illegally,
36943,05925915,n,9,Scandinavian liquor usually flavored with caraway seeds,
36944,05926053,n,9,any of various strong liquors distilled from the fermented sap of toddy palms or from fermented molasses,
36945,05926217,n,9,alcoholic liquor flavored with bitter herbs and roots,
36946,05926324,n,9,distilled from wine or fermented fruit juice,
36947,05926659,n,9,distilled from hard cider,
36948,05926759,n,9,dry apple brandy made in Normandy,
36949,05926847,n,9,dry brandy distilled in the Armagnac district of France,
36950,05926957,n,9,high quality grape brandy distilled in the Cognac district of France,
36951,05927078,n,9,Italian brandy made from residue of grapes after pressing,
36952,05927188,n,9,from fermented juice of black morello cherries,
36953,05927306,n,9,made from residue of grapes or apples after pressing,
36954,05927409,n,9,Hungarian plum brandy,
36955,05927486,n,9,strong liquor flavored with juniper berries,
36956,05927728,n,9,gin flavored with sloes (fruit of the blackthorn),
36957,05927851,n,9,made in the Netherlands,
36958,05927952,n,9,rum cut with water,
36959,05928021,n,9,anise-flavored Greek liquor,
36960,05928118,n,9,distilled from fermented molasses,
36961,05928351,n,9,heavy pungent rum from Jamaica,
36962,05928439,n,9,any of various strong liquors especially a Dutch spirit distilled from potatoes,
36963,05928583,n,9,fermented Mexican drink from juice of various agave plants especially the maguey,
36964,05928735,n,9,a colorless Mexican liquor distilled from fermented juices of certain desert plants of the genus Agavaceae (especially the century plant),
36965,05928944,n,9,Mexican liquor made from fermented juices of an Agave plant,
36966,05929076,n,9,unaged colorless liquor originating in Russia,
36967,05929249,n,9,made from fermented mash of grain,
36968,05929528,n,9,mixture of two or more whiskeys or of a whiskey and neutral spirits,
36969,05929674,n,9,distilled from a mash of corn and malt and rye and aged in charred oak barrels,
36970,05929825,n,9,distilled from a mash of not less than 80 percent corn,
36971,05929977,n,9,(informal) any strong spirits (such as strong whisky or rum),
36972,05930093,n,9,made in Ireland chiefly from barley,
36973,05930248,n,9,unlawfully distilled Irish whiskey,
36974,05930335,n,9,distilled from rye or rye and malt,
36975,05930446,n,9,whiskey distilled in Scotland; especially whiskey made from malted barley in a pot still,
36976,05930668,n,9,any whiskey distilled from sour mash,
36977,05930780,n,9,strong highly flavored sweet liquor usually drunk after a meal,
36978,05931176,n,9,strong green liqueur flavored with wormwood and anise,
36979,05931332,n,9,liquorice-flavored usually colorless sweet liqueur made from aniseed,
36980,05931497,n,9,a French liqueur originally made by Benedictine monks,
36981,05931608,n,9,similar to absinthe but containing no wormwood,
36983,05931926,n,9,sweet liqueur flavored with vanilla and cacao beans,
36985,05932199,n,9,strawberry-flavored liqueur,
36986,05932288,n,9,liqueur flavored with orange,
36987,05932431,n,9,flavored with sour orange peel,
36988,05932525,n,9,type of curacao having higher alcoholic content,
36989,05932629,n,9,French liqueur: orange-flavored brandy,
36990,05932727,n,9,liqueur flavored with caraway seed or cumin,
36992,05932999,n,9,anise- and licorice-flavored liqueur,
36993,05933107,n,9,small drink served after dinner (especially several liqueurs poured carefully so as to remain in separate layers),
36994,05933278,n,9,coffee-flavored liqueur,
36995,05933380,n,9,coffee-flavored liqueur made in Mexico,
36996,05933471,n,9,made of two or more ingredients,
36997,05933741,n,9,a short mixed drink,
36998,05934157,n,9,alcoholic liquor mixed with water or a carbonated beverage and served in a tall glass,
36999,05934423,n,9,an alcoholic drink intended to wake one up early in the morning,
37000,05934543,n,9,an alcoholic drink taken at bedtime; often alcoholic,
37001,05934650,n,9,an alcoholic drink supposed to cure a hangover,
37002,05934758,n,9,a drink made of beer and lemonade,
37003,05934857,n,9,a farewell drink (especially one offered to a horseman ready to depart); usually alcoholic,
37004,05935005,n,9,(Brit) a drink taken at sundown,
37005,05935092,n,9,club soda or fruit juice used to mix with alcohol,
37006,05935212,n,9,port wine mulled with oranges and cloves,
37007,05935305,n,9,vodka and spicy tomato juice,
37008,05935410,n,9,Bloody_mary without alcohol,
37009,05935510,n,9,vodka and beef bouillon or consomme,
37010,05935619,n,9,tall sweetened iced drink of wine or liquor with fruit,
37011,05935727,n,9,tall iced drink of liquor (usually gin) with fruit juice,
37012,05935851,n,9,an iced drink especially white wine and fruit juice,
37013,05935955,n,9,a drink that refreshes; 'he stopped at the bar for a quick refresher,
37014,05936079,n,9,rum and lime or lemon juice,
37015,05936213,n,9,daiquiri with crushed strawberries,
37016,05936313,n,9,daiquiri made without alcohol,
37017,05936402,n,9,wine mixed with a sparkling water,
37018,05936490,n,9,hot or cold alcoholic drink containing beaten egg,
37019,05936590,n,9,gin or vodka and lime juice,
37020,05936670,n,9,gin and quinine water,
37021,05936789,n,9,creme de menthe and cream sometimes with creme de cacao,
37022,05936921,n,9,bourbon and sugar and mint over crushed ice,
37023,05937048,n,9,whiskey and sweet vermouth with a dash of bitters,
37024,05937209,n,9,made with Scotch whiskey,
37025,05937306,n,9,tequila and triple sec with lime and lemon juice,
37026,05937410,n,9,gin (or vodka) with dry vermouth,
37027,05937533,n,9,gin and sweet vermouth,
37028,05937650,n,9,martini made with vodka rather than gin,
37029,05937768,n,9,whiskey bitters and sugar with fruit slices,
37031,05938062,n,9,sweet spiced hot milk curdled with ale or beer,
37032,05938161,n,9,spiced hot milk with rum or wine,
37033,05938259,n,9,(Spanish) sweetened red wine and orange or lemon juice with soda water,
37034,05938413,n,9,bourbon with bitters and Pernod and sugar served with lemon peel,
37035,05938531,n,9,vodka and orange juice,
37036,05938630,n,9,orange_liqueur with lemon juice and brandy,
37037,05938726,n,9,Scotch malt whiskey and club soda,
37038,05938821,n,9,liquor and water with sugar and lemon or lime juice,
37039,05938960,n,9,a sling made with gin,
37040,05939037,n,9,a sling made with rum,
37041,05939114,n,9,a liquor (especially whiskey or gin) mixed with lemon or lime juice and sugar,
37042,05939260,n,9,a sour made with whiskey,
37043,05939376,n,9,made of creme de menthe and brandy,
37044,05939502,n,9,whiskey without a mixer,
37045,05939598,n,9,whiskey with ice,
37310,05981295,n,9,a collection of books,
37047,05939876,n,9,liquor and water with sugar and spices and served hot,
37048,05940030,n,9,hot rum toddy with a beaten egg,
