12,n,9,milk from which some of the cream has been removed,
37290,05977234,n,9,a form of social organization in which a female is the family head and title is traced through the female line,
37291,05977416,n,9,a form of social system in which power goes to those with superior intellects,
37292,05977551,n,9,the occupants of a building; 'the entire building complained about the noise',
37293,05977683,n,9,a family consisting of parents and their children and grandparents of a marital partner,
37294,05977849,n,9,a family consisting of the nuclear family and their blood relatives,
37295,05977978,n,9,a household in which an orphaned or delinquent child is placed (usually by a social-service agency),
37296,05978135,n,9,people having the same social or economic status; 'the working class'; 'an emerging professional class',
37297,05978761,n,9,people in the same age range,
37298,05978845,n,9,a group of persons together in one place,
37299,05979656,n,9,a social gathering to carry out some communal task or to hold competitions,
37300,05979816,n,9,a gathering of passengers sufficient to fill an automobile,
37302,05980149,n,9,a gathering of persons representative of some larger group; 'each nation sent a contingent of athletes to the Olympics',
37303,05980325,n,9,the occupants of a floor; 'the whole floor complained about the lack of heat',
37304,05980454,n,9,a social gathering intended to create goodwill among the participants,
37305,05980580,n,9,a gathering to make quilts,
37306,05980665,n,9,two people considered as a unit,
37307,05980765,n,9,historical and literary materials relating to Judaism,
37308,05980872,n,9,(computing) a collection of standard programs and subroutines that are stored and available for immediate use,
37309,05981110,n,9,a collection of literary documents or records kept for reference or borrowing,
37315,05982062,n,9,the mythology of the ancient Greeks,
37316,05982159,n,9,the mythology of the ancient Romans,
37317,05982256,n,9,the mythology of Scandinavia (shared in part by Britain and Germany) until the establishment of Christianity,
37318,05982426,n,9,a set containing a single member,
37319,05982514,n,9,a set of two similar things considered as a unit,
37320,05982639,n,9,two or more draft animals that work together to pull a vehicle,
37321,05982753,n,9,a pair who associate with one another; 'the engaged couple'; 'an inseprable twosome',
37322,05982913,n,9,a set of three literary or dramatic works related in subject or theme,
37323,05983036,n,9,the people who are present in a room; 'the whole room was cheering',
37324,05983154,n,9,three people considered as a unit,
37325,05983286,n,9,a set of three similar things considered as a unit,
37326,05983441,n,9,the triad of divinities of later Hinduism,
37327,05983594,n,9,a group of three men responsible for public administration or civil authority,
37328,05983747,n,9,a modern Russian triumvirate,
37329,05983828,n,9,the group that gathers together for a particular occasion; 'a large turnout for the meeting',
37330,05983974,n,9,four people considered as a unit; 'he joined a barbershop quartet'; 'the foursome teed off before 9 a.m.',
37331,05984174,n,9,five people considered as a unit,
37332,05984283,n,9,six people considered as a unit,
37333,05984388,n,9,seven people considered as a unit,
37334,05984497,n,9,eight people considered as a unit,
37335,05984604,n,9,a group of four men,
37336,05984683,n,9,a set of four similar things considered as a unit,
37337,05984811,n,9,a set of five similar things considered as a unit,
37338,05984926,n,9,a set of six similar things considered as a unit,
37339,05985047,n,9,a set of seven similar things considered as a unit,
37340,05985161,n,9,a set of eight similar things considered as a unit,
37341,05985273,n,9,any two people who are hard to tell apart,
37342,05985414,n,9,a pair of people who live together; 'a married couple from Chicago',
37344,05985779,n,9,the young of an animal cared for at one time,
37345,05985893,n,9,a group of birds,
37346,05986088,n,9,a group of sheep or goats,
37347,05986184,n,9,a church congregation guided by a pastor,
37348,05986276,n,9,a group of people who adhere to a common faith and habitually attend a given church,
37349,05986473,n,9,a flock of quail,
37350,05986559,n,9,a flock of coots,
37351,05986647,n,9,a small flock of grouse or partridge,
37352,05986773,n,9,a flock of geese,
37353,05986861,n,9,a flock of snipe,
37354,05986947,n,9,a group of biological taxa or species that share features inherited from a common ancestor,
37355,05987089,n,9,animal or plant group having natural relations,
37356,05987709,n,9,all the plant and animal life of a particular region,
37357,05987861,n,9,all the animal life in a particular region,
37358,05988029,n,9,the birds of a particular region or period,
37359,05988126,n,9,all living things (except people) that are undomesticated; 'chemicals could kill all the wildlife',
37360,05988279,n,9,a group of animals,
37361,05988699,n,9,a group of cattle or sheep or other domestic mammals all of the same kind that are herded by humans,
37362,05988905,n,9,a group of wild animals of one species that remain together: antelope or elephants or seals or whales or zebra,
37363,05989066,n,9,the herd of horses from which those to be used the next day are chosen,
37364,05989189,n,9,a group of hunting animals,
37365,05989322,n,9,a group of wolves hunting together,
37366,05989412,n,9,a group of aquatic mammals,
37367,05989526,n,9,a group of lions,
37368,05989613,n,9,a group of cats,
37369,05989701,n,9,a large group of fish; 'a school of small glittering fish swam by',
37370,05989847,n,9,a group of animals of the same type living together,
37372,05990071,n,9,a group of insects,
37373,05990160,n,9,a colony of rabbits,
37374,05990251,n,9,a group of things of the same kind that belong together and are so used: 'a set of books'; 'a set of golf clubs',
37375,05990810,n,9,a set of 32 chessmen,
37376,05990886,n,9,collection of materials of or characteristic of the Victorian era,
37377,05991008,n,9,a collection of things sharing a common attribute; 'there are two classes of detergents',
37378,05991331,n,9,a type or class; 'more men of his stamp are needed',
37380,05991626,n,9,a union of two disjoint sets in which every element is the sum of an element from each of the disjoint sets,
37381,05991790,n,9,the set of elements common to two or more sets; 'the set of red hats is the intersection of the set of hats and the set of red things',
37382,05991993,n,9,either of the two categories (male or female) into which most organisms are divided; 'the war between the sexes',
37383,05992155,n,9,all the competitors in a particular contest or sporting event,
37384,05992268,n,9,(horse racing) all of the horses in a particular race,
37385,05992373,n,9,an abstract collection of numbers or symbols; 'the set of prime numbers is infinite',
37386,05992669,n,9,a distinct and often subordinate group within a group,
37387,05992777,n,9,a set whose members are members of another set; a set contained within another set,
37388,05992912,n,9,a set that is empty; a set with no members,
37389,05993009,n,9,(mathematics) any set of points that satisfy a set of postulates of some kind; 'assume the vector space is finite dimensional',
37390,05993261,n,9,a company that manages tv or radio stations,
37391,05993371,n,9,a company that makes and sells automobiles,
37392,05993486,n,9,a company that makes and sells pharmaceuticals,
37393,05993591,n,9,a company that makes and sells electronic instruments,
37394,05993729,n,9,a company that processes and sells food,
37395,05993827,n,9,a company that sells furniture,
37396,05993921,n,9,a company that owns and manages mines,
37397,05994019,n,9,a company that provides shipping services,
37398,05994141,n,9,a company that makes and sells steel,
37399,05994237,n,9,a company that is completely controlled by another company,
37400,05994373,n,9,a company providing transportation,
37401,05994494,n,9,a company that ships goods or possessions by truck,
37402,05994626,n,9,a space that is contained within another space,
37403,05994727,n,9,a space that contains no points; and empty space,
37404,05994832,n,9,a set of points such that for every pair of points there is a nonnegative real number called their distance that is symmetric and satisfies the triangle inequality,
37405,05995090,n,9,a space in which Euclid's axioms and definitions apply; a metric space that is linear and finite-dimensional,
37406,05995260,n,9,a metric space that is linear and complete and (usually) infinite-dimensional,
37408,05995684,n,9,a field of scalars,
37409,05995761,n,9,the set of values that give a true statement when substituted into an equation,
37410,05995901,n,9,a category falling within certain defined limits,
37411,05996039,n,9,a category of taxpayers based on the amount of their income,
37412,05996194,n,9,a category of merchandise based on their price,
37413,05996300,n,9,a class of nouns having the same inflectional forms: 'the first declension in Latin',
37414,05996441,n,9,the complete set of inflected forms of a noun or pronoun or adjective,
37415,05996567,n,9,a class of verbs having the same inflectional forms,
37416,05996676,n,9,the complete set of inflected forms of a verb,
37417,05996779,n,9,a miscellaneous collection of things sold together,
37418,05996883,n,9,a matching set of furniture,
37419,05997016,n,9,a suite of furniture for the bedroom,
37420,05997126,n,9,a suite of furniture for the diningroom,
37421,05997245,n,9,a suite of furniture for the livingroom,
37422,05997364,n,9,a collection of things wrapped or boxed together,
37423,05997511,n,9,a small bundle of straw or hay,
37424,05997592,n,9,a group of people who work together,
37427,05998735,n,9,an international organization that cares for the sick or wounded or homeless in wartime,
37428,05998878,n,9,a charitable and religious organization to evangelize and to care for the poor and homeless,
37429,05999030,n,9,a political organization in New York city (late 1800's and early 1900's) seeking political control by corruption and bossism,
37430,05999241,n,9,any organization whose responsibility it is to defend against something; 'police are the major line of defense against crime',
37431,05999428,n,9,the organizational structure of activities contributing directly to the organization's output,
37432,05999585,n,9,a formal organization of people; 'he joined the Modern Language Association',
37434,06000284,n,9,a politically organized unit,
37435,06000383,n,9,the organization that is the governing authority of a political unit; 'the government reduced taxes'; 'the matter was referred to higher authorities',
37436,06000944,n,9,a political and social system that no longer governs (especially the system that existed in France before the French Revolution),
37437,06001132,n,9,the sovereign and his advisers who are the governing power of a state,
37438,06001253,n,9,a group of countries under a single authority: 'the Roman empire',
37439,06001371,n,9,a government with strong central powers,
37440,06001530,n,9,a temporary government moved to or formed in a foreign land by exiles who hope to rule when their country is liberated,
37441,06001714,n,9,the government of a local area,
37442,06001843,n,9,the governing group of a kingdom; 'the palace issued an order binding on all subjects',
37443,06001982,n,9,the government of the Roman Catholic Church,
37444,06002111,n,9,the government (political and military) of the Soviet Union; 'the Soviets said they wanted to increase trade with Europe',
37445,06002286,n,9,an organization founded and united for a specific purpose,
37446,06002579,n,9,an institution created for the practice of medicine,
37447,06002732,n,9,a medical establishment run by a group of medical specialists,
37448,06002864,n,9,a medical institution where sick or injured people are given medical or surgical care,
37449,06003023,n,9,a clinic where specialist care for a patient's eyes,
37450,06003131,n,9,an institution (public or private) that collects funds (from the public or other institutions) and invests them in financial assets,
37451,06003535,n,9,an institution that issues something (securities or publications or currency etc.),
37452,06003670,n,9,a British financial system in which a bank or a post office transfers money from one account to another when they receive authorization to do so,
37453,06003865,n,9,a central collection place where banks exchange checks or drafts; participants maintain an account against which credits or debits are posted,
37454,06004067,n,9,a financial institution that makes loans,
37455,06004173,n,9,an institution set up to provide help to the needy,
37456,06004313,n,9,a charity supported by individual subscriptions; defrays the demands on a community for social welfare,
37457,06004477,n,9,a place where food is dispensed to the needy,
37458,06004580,n,9,an organization created for business ventures; 'a growing enterprise must have a bold leader',
37459,06004802,n,9,an unusually large enterprise; 'Walton built a retail giant',
37460,06004914,n,9,members of a cooperative enterprise,
37461,06005024,n,9,a farm operated collectively,
37462,06005150,n,9,(Israel) a collective farm owned by its members; children are reared collectively,
37463,06005304,n,9,(USSR) a collective farm owned by the communist state,
37464,06005430,n,9,a business that serves other businesses,
37465,06005684,n,9,the business of a broker; charges a fee to arrange a contract between two parties,
37466,06005839,n,9,a person or firm in the business of transporting people or goods or messages,
37467,06006004,n,9,a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership,
37468,06006256,n,9,an institution created to conduct business; 'he only invests in large well-established companies'; 'he started the company in his garage',
37469,06006951,n,9,a group of companies run as a single organization,
37470,06007068,n,9,a business whose articles of incorporation have been approved in some state,
37471,06007316,n,9,members of a business organization; 'he worked for a brokerage house',
100472,N0002011,n,10,,
37473,06007767,n,9,a business engaged in manufacturing some product,
37474,06007961,n,9,the members of a business venture created by contract,
37475,06008090,n,9,a partnership in which employees get a share of the profits in addition to their wages,
37477,06008759,n,9,a chain of clothing stores,
37478,06008845,n,9,a chain of discount stores,
37479,06008951,n,9,a chain of restaurants,
37480,06009055,n,9,a chain of retail stores,
37481,06009157,n,9,a firm of accountants who provide accounting and auditing services for a fee,
37482,06009295,n,9,a firm of experts providing professional advice to an organization for a fee,
37483,06009454,n,9,a firm in the publishing business,
37484,06009637,n,9,a business firm that publishes newspapers; 'Murdoch owns many newspapers',
37485,06009796,n,9,a business firm that publishes magazines; 'he works for a magazine',
37486,06009939,n,9,a firm engaged in trading,
37487,06010089,n,9,a firm that sells and buys cars,
37488,06010177,n,9,a firm that sells and buys computers,
37489,06010275,n,9,a firm that sells and buys jewelry,
37490,06010386,n,9,a firm that sells and buys trucks,
37491,06010478,n,9,a firm of lawyers,
37492,06010550,n,9,an organization of defenders that provides resistance against attack; 'he joined the defense against invasion',
37493,06010742,n,9,a group that defends a principle; 'a bastion against corruption'; 'the last bastion of communism',
37494,06010893,n,9,the defendant and his legal advisors collectively; 'the defense called for a mistrial',
37495,06011094,n,9,the lawyers acting for the state to put the case against the defendant,
37496,06011240,n,9,an enterprise connected with commerce,
37497,06011363,n,9,the people engaged in a particular kind of commercial enterprise; 'each industry has its own trade publications',
37498,06011980,n,9,a business engaged in processing agricultural products and preparing them for market,
37499,06012120,n,9,a manufacturer of firearms,
37500,06012211,n,9,a manufacturer of aluminum,
37501,06012321,n,9,a maker and seller of fashionable clothing,
37502,06012464,n,9,a business engaged in the manufacture of automobiles,
37503,06012643,n,9,a business that manufactures and sells computers,
37504,06012755,n,9,a manufacturer of automobiles,
37505,06012869,n,9,a manufacturer of chemicals,
37506,06012960,n,9,a producer of coal,
37507,06013038,n,9,a manufacturer of computers,
37508,06013129,n,9,a building of housing,
37509,06013237,n,9,a manufacturer of electronic products,
37510,06013360,n,9,those involved in providing entertainment: radio and television and films and theater,
37511,06013560,n,9,those involved in producing and distributing movies,
37512,06013719,n,9,an industry that is growing rapidly,
37513,06013816,n,9,an industry devoted to manufacturing and selling and installing lighting,
37514,06013952,n,9,an industry that manufacturers weapons of war,
37515,06014078,n,9,an industry that produces and delivers oil and oil products,
37519,06014655,n,9,a company that does commercial printing,
37520,06014796,n,9,an industry that manufactures plastic articles,
37521,06014906,n,9,a stock broker's business; charges a fee to act as intermediary between buyer and seller,
37522,06015140,n,9,an unethical or overly aggressive brokerage firm,
37523,06015246,n,9,a brokerage firm dealing in commodities,
37529,06016409,n,9,a regulated investment company that regularly sells and redeems its shares,
37530,06016605,n,9,a mutual fund that invests in the stocks that are the basis of a well-known stock or bond index,
37537,06017905,n,9,a market for short-term debt instruments,
37579,06024910,n,9,the Christian Church based in the Vatican and presided over by a pope and an episcopal hierarchy,
37580,06025216,n,9,the leadership of the Roman Catholic Church,
37626,06033422,n,9,one of the two main branches of orthodox Islam,
37628,06033810,n,9,the religious and social system of orthodox Hinduism,
37629,06033932,n,9,a Hindu sect worshiping Shiva,
37677,06045616,n,9,(biology) a group of organisms within a species that differ in trivial ways from similar groups; 'a new strain of microorganisms',
37729,06053876,n,9,a department of government,
37731,06054265,n,9,a permanent department created to perform the work of a local government,
37733,06054653,n,9,the department of local government responsible for preventing and extinguishing fires,
37774,06062754,n,9,the federal department that institutes and coordinates national transportation programs; created in 1966,
37775,06062950,n,9,the federal department responsible for the interests of military veterans; created in 1989,
37825,06072206,n,9,persons who administer the law,
37826,06072383,n,9,the executive under President Clinton,
37848,06076411,n,9,an international organization of European countries formed in 1958 to reduce trade barriers and increase cooperation among its members,
37849,06076869,n,9,an international organization created in 1949 by the North Atlantic Treaty for purposes of collective security,
37850,06077390,n,9,an association of countries in the W hemisphere; created in 1948 to promote military and economic and social and cultural cooperation,
37851,06078196,n,9,the administrative agency of the Organization of American States,
37852,06078325,n,9,an organization of countries formed in 1961 to agree on a common policy for the sale of petroleum,
37853,06078749,n,9,a nation that possesses formidable naval strength,
37854,06078854,n,9,a state powerful enough to influence events throughout the world,
37855,06079025,n,9,a state ruled by religious authority,
37856,06079120,n,9,a state consisting of a sovereign city,
37857,06079233,n,9,a government that undertakes responsibility for the welfare of its citizens through programs in public health and public housing and pensions and unemployment compensation etc.,
37858,06079469,n,9,the group of people comprising the government of a sovereign state; 'the state has lowered its income tax',
37859,06079663,n,9,a group of organisms of the same species populating a given area; 'they hired hunters to keep down the deer population',
37860,06079857,n,9,too much population,
37861,06079949,n,9,people in general considered as a whole; 'he is a hero in the eyes of the public',
37862,06080139,n,9,the people who inhabit a territory or state; 'the population seemd to be well fed and clothed',
37863,06080290,n,9,the common people generally; 'separate the warriors from the mass'; 'power to the people',
37864,06080527,n,9,the segment of the public that is easily influenced by mass media (chiefly British),
37865,06080663,n,9,the third estate of the realm; the commons (especially in Britain or France) viewed as forming a political order having representation in a parliament,
37866,06080872,n,9,a social class comprising those who do manual labor or work for wages; 'there is a shortage of skilled labor in this field',
37867,06081123,n,9,the source of trained people from which workers can be hired,
37868,06081254,n,9,the social class lowest in the social hierarchy,
37869,06081359,n,9,the social class between the lower and upper classes,
37870,06081521,n,9,class composed of persons lacking noble or knightly or gentle rank,
37874,06082225,n,9,a large gathering of people,
37875,06082383,n,9,a teeming multitude,
37876,06082453,n,9,a vast multitude,
37878,06082744,n,9,a large number of people united for some specific purpose,
37879,06082852,n,9,a dense crowd of people,
37880,06082959,n,9,a number of vehicles blocking one another until they can scarcely move,
37881,06083098,n,9,archaic terms for army,
37882,06083198,n,9,(plural) hosts or armies; used in the book of Romans in the New Testament of the Bible: `Lord of Sabaoth',
37883,06083357,n,9,a disorderly crowd of people,
37884,06083469,n,9,a mob that kills a person for some presumed offense without legal authority,
37885,06083600,n,9,a moving crowd,
37886,06083682,n,9,a group of animals (a herd or flock) moving together,
37887,06083786,n,9,a social gathering of guests or companions; 'the house was filled with company when I arrived',
37888,06083970,n,9,(British) a company that is organized to give its owners limited liability,
37889,06084119,n,9,a company with controlling shares in other companies,
37890,06084251,n,9,a holding company owning or controlling one or more banks,
37891,06084393,n,9,a bank holding company owning several banks,
37892,06084508,n,9,a company that performs a public service; subject to government regulation,
37893,06084772,n,9,a company or agency that performs a public service; subject to government regulation,
37894,06084928,n,9,a public utility that provides telephone service,
37895,06085092,n,9,a public utility that provides electricity,
37896,06085245,n,9,a public utility that provides water,
37897,06085354,n,9,a public utility that provides gas,
37898,06085460,n,9,a public utility providing local transportation,
37899,06085597,n,9,one of the chartered companies of London originating with the craft guilds,
37900,06085732,n,9,organization of performers and associated personnel (especially theatrical); 'the traveling company all stayed at the same hotel',
37901,06086069,n,9,a company that produces operas,
37902,06086159,n,9,a company that produces plays,
37903,06086268,n,9,a theatrical company that performs plays from a repertoire,
37904,06086406,n,9,a company that produces ballets,
37905,06086536,n,9,a group of people assembled to sing together,
37906,06086651,n,9,a company of actors who comment (by speaking or singing in unison) on the action in a classical Greek play,
37907,06086825,n,9,a group of musicians playing or singing together; 'a string ensemble',
37908,06087003,n,9,a body of dancers or singers who perform together,
37909,06087156,n,9,a chorus that sings as part of a religious ceremony,
37910,06087278,n,9,a family of similar musical instrument playing together,
37911,06087395,n,9,a social gathering for the purpose of husking corn,
37912,06087517,n,9,the chorus of a ballet company,
37913,06087639,n,9,a travelling company of entertainers; including trained animals; 'he ran away from home to join the circus',
37914,06087799,n,9,a troupe of performers in blackface typically giving a comic program of negro songs and jokes,
37915,06088009,n,9,a troupe of minstrels,
37917,06088666,n,9,a military unit or region under the control of a single officer,
37918,06088783,n,9,an opposing military force; 'the enemy attacked at dawn',
37919,06088910,n,9,a temporary military unit formed to accomplish a particular objective,
37920,06089036,n,9,a military unit that is part of an army,
37921,06089493,n,9,an organization of military land forces,
37922,06089726,n,9,a military unit that is part of a navy,
37923,06089894,n,9,an organization of military naval forces,
37924,06090056,n,9,the navy of the United States of America,
37925,06090171,n,9,a military service responsible for the safety of maritime traffic in coastal waters,
37926,06090330,n,9,an amphibious division of the US Navy,
37927,06090463,n,9,previously the air division of the US Army,
37928,06090561,n,9,the airforce of Great Britain,
37930,06090808,n,9,a military unit that is part of the airforce,
37931,06091016,n,9,an organization of military air forces,
37932,06091176,n,9,a force that is a branch of the armed forces,
37933,06091419,n,9,a unit that is part of some military service; 'he sent Caesar a force of six thousand men',
37934,06091847,n,9,the military forces of a nation,
37935,06092042,n,9,armed forces that are not on active duty but can be called in an emergency,
37936,06092208,n,9,the US military establishment,
37938,06092519,n,9,a group of people having the power of effective action; 'he joined forces with a band of adventurers',
37939,06092672,n,9,group of people willing to obey orders; 'a public force is necessary to give security to the rights of citizens',
37940,06093082,n,9,a semipermanent unit created to carry out a continuing task,
37941,06093198,n,9,a cooperative unit,
37942,06093563,n,9,the force of policemen and officers; 'the law came looking for him',
37943,06093865,n,9,French police force; a group of gendarmes or gendarmes collectively,
37944,06094022,n,9,the federal police force of Canada,
37945,06094151,n,9,the detective department of the metropolitan police force of London,
37946,06094298,n,9,a privately employed group hired to protect the security of a business or industry,
37947,06094485,n,9,a police group to enforce laws against gambling and prostitution,
37948,06094606,n,9,a military corps that enforces discipline and guards prisoners,
37949,06094767,n,9,the military police of the navy,
37950,06094857,n,9,a police force that operates in secrecy (usually against persons suspected of treason or sedition),
37951,06095033,n,9,the secret state police in Nazi Germany; known for its terrorist methods,
37952,06095159,n,9,the force of workers available,
37953,06095338,n,9,an army unit usually consisting of two or more divisions,
37954,06095502,n,9,a training program to prepare college students to be commissioned officers,
37955,06095661,n,9,a body of people associated together; 'diplomatic corps',
37956,06095787,n,9,an army unit large enough to sustain combat; 'two infantry divisions were held in reserve',
37957,06095988,n,9,a division of the United States Army that is specially trained for guerrilla fighting,
37958,06096200,n,9,an army unit usually consisting of five companies,
37959,06096346,n,9,army unit smaller than a division,
37960,06096453,n,9,army unit smaller than a division,
37961,06096540,n,9,an army unit usually consisting of a headquarters and three or more companies,
37962,06096711,n,9,small military unit; usually two or three platoons,
37964,06097081,n,9,a team of policemen working under the military platoon system,
37965,06097234,n,9,a small team of policemen working as part of a police platoon,
37966,06097368,n,9,a group of persons who are engaged in a common activity; 'platoons of tourists poured out of the busses'; 'the defensive platoon of the football team',
37967,06097572,n,9,a small unit of troops of special composition,
37968,06097782,n,9,the leading units moving at the head of an army,
37969,06097890,n,9,a group of men who escort and protect some important person,
37970,06098087,n,9,a British volunteer cavalry force organized in 1761 for home defense later incorporated into the Territorial Army,
37971,06098274,n,9,a detachment used for security or reconnaissance,
37972,06098375,n,9,a detachment of troops guarding an army from surprise attack,
37973,06098488,n,9,a detachment empowered to force civilians to serve in the army or navy,
37974,06098615,n,9,a detachment under the command of a provost marshall,
37975,06098727,n,9,a detachment assigned to protect the rear of a (retreating) military body,
37976,06098856,n,9,a small army unit usually having a special function,
37977,06098961,n,9,a division of an orchestra containing all instruments of the same class,
37978,06099196,n,9,the section of an orchestra that plays stringed instruments,
37979,06099334,n,9,the section of an orchestra that plays violins,
37980,06099441,n,9,the section of a band or orchestra that plays percussion instruments,
37981,06099570,n,9,the section of a band or orchestra that plays brass instruments,
37983,06099838,n,9,the section of a band or orchestra that plays reed instruments,
37984,06099977,n,9,the section of a band or orchestra that plays clarinets,
37985,06100095,n,9,a smallest army unit,
37986,06100185,n,9,number needed to make up whole force: 'a full complement of workers',
37987,06100346,n,9,a group of workers who work for a specific period of time,
37988,06100509,n,9,workers who work during the day (as 8 a.m. to 4 p.m.),
37989,06100630,n,9,workers who work during the evening (as 4 p.m. to midnight),
37990,06100749,n,9,workers who work during the night (as midnight to 8 a.m.),
37992,06101031,n,9,a group of ships of similar type,
37993,06101118,n,9,a unit of the US air force usually comprising two or more wings,
37994,06101255,n,9,a unit of military aircraft,
37995,06101371,n,9,a unit of the US air force larger than a squadron and smaller than a wing,
37996,06101500,n,9,a unit of the US air force larger than a flight and smaller than a group,
37997,06101646,n,9,a cavalry unit consisting of two or more troops and headquarters and supporting arms,
37998,06101785,n,9,a naval unit that is detached from the fleet for a particular task,
37999,06101906,n,9,a unit of the US air force smaller than a squadron,
38000,06102009,n,9,a formation of aircraft in flight,
38001,06102095,n,9,a flock of flying birds,
38002,06102171,n,9,an administrative unit in government or business,
38003,06102348,n,9,(botany) taxonomic unit of plants corresponding to a phylum,
38004,06102786,n,9,(biology) a group of organisms forming a subdivision of a larger category,
38005,06103166,n,9,an artificial taxonomic category for organisms of which the true relationships are obscure,
38006,06103316,n,9,a gathering of spectators or listeners at a (usually public) performance; 'the audience applauded'; 'someone in the audience began to cough',
38007,06103604,n,9,spectators at a golf or tennis match,
38009,06103972,n,9,the audience reached by written communications (books or magazines or newspapers etc.),
38010,06104115,n,9,the audience reached by television,
38011,06104236,n,9,the audience gathered together in a theatre or cinema; 'the house applauded'; 'he counted the house',
38012,06104407,n,9,a group of followers hired to applaud at a performance,
38013,06104533,n,9,a group of followers or enthusiasts,
38014,06104709,n,9,any loyal and steadfast following,
38015,06104797,n,9,the fans of a sport or famous person,
38016,06104886,n,9,a local church community,
38017,06104982,n,9,a group of people living in a particular local area; 'the team is drawn from all parts of the community',
38018,06105250,n,9,a group of people having ethnic or cultural or religious characteristics in common; 'the Christian community of the apostolic age'; 'he was well known throughout the Catholic community',
38019,06105527,n,9,a group of nations having common interests; 'they hoped to join the NATO community',
38020,06105666,n,9,a community of people in a religious order (especially nuns) living together,
38021,06105815,n,9,the members of a religious community living together,
38022,06105919,n,9,people sharing a given language or dialect,
38023,06106024,n,9,people living near one another; 'it is a friendly neighborhood'; 'my neighborhood voted for Bush',
38024,06106214,n,9,people living or working on the same street; 'the whole street protested the absence of street lights',
38025,06106369,n,9,people living in a town or city having local self-government,
38026,06106524,n,9,the government of a municipality,
38027,06106641,n,9,a municipal government that combines legislative and executive authority in the members of a commission,
38028,06106806,n,9,the government of a US state,
38029,06106897,n,9,people living in a large densely populated municipality; 'the city voted for Republicans in 1994',
38030,06107058,n,9,the people living in a municipality smaller than a city; 'the whole town cheered the team',
38031,06107243,n,9,a community of people smaller than a town,
38032,06107364,n,9,a community of people smaller than a village,
38033,06107474,n,9,an association formed and operated for the benefit of those using it,
38087,06115836,n,9,the body of students who graduate together this year,
38035,06108270,n,9,an association of people who share common beliefs or activities; 'the message was addressed not just to employees but to every member of the company family'; 'the church welcomed new members into its fellowship',
38036,06108547,n,9,a literary or scientific association for the promotion of learning,
38037,06108680,n,9,a local branch of some fraternity or association; 'he joined the Atlanta chapter',
38038,06108853,n,9,an ecclesiastical assembly of the monks in a monastery or even of the canons of a church,
38039,06108995,n,9,the largest organization of U.S. war veterans,
38040,06109121,n,9,an organization of U.S. war veterans,
38041,06109253,n,9,a club that people join in order to buy selected books at reduced prices,
38042,06109380,n,9,a club of people to play chess,
38043,06109467,n,9,a suburban club for recreation and socializing,
38044,06109572,n,9,a club organized to sing together,
38045,06109661,n,9,a club of people to play golf,
38046,06109746,n,9,an association of huntsmen who hunt for sport,
38047,06109854,n,9,a club to promote and regulate horse racing,
38048,06109955,n,9,club for players of racket sports,
38049,06110046,n,9,a club for person who row,
38050,06110129,n,9,(British) a group of people who save money in a common fund for a specific purpose (usually distributed at Christmas),
38051,06110303,n,9,a club of people to play tennis,
38052,06110392,n,9,a club of tumblers or gymnasts,
38053,06110498,n,9,club that promotes and supports yachting and boating,
38054,06110607,n,9,an association of sports teams that organizes matches for its members,
38055,06110886,n,9,the most important league in any sport (especially baseball),
38056,06111046,n,9,a league of teams that do not belong to a major league (especially baseball),
38057,06111209,n,9,a league of baseball teams,
38058,06111334,n,9,a commercially sponsored baseball league for players between 8 and 12 years of age,
38059,06111495,n,9,a team that plays in a little league,
38060,06111634,n,9,a league of basketball teams,
38061,06111745,n,9,a league of bowling teams,
38062,06111831,n,9,a league of football teams,
38063,06111938,n,9,a league of hockey teams,
38064,06112041,n,9,an organization of employees formed to bargain with the employer; 'you have to join the union in order to get a job',
38065,06112339,n,9,a labor union that admits all workers in a given industry irrespective of their craft,
38066,06112504,n,9,a labor union whose membership is restricted to workers in a particular craft,
38067,06112639,n,9,a cooperative depository financial institution whose members can obtain loans from their combined savings,
38068,06112803,n,9,a union of workers for a single company; a union not affiliated with with a larger union,
38069,06112951,n,9,a company whose workers are hired without regard to their membership in a labor union,
38070,06113092,n,9,a company that hires only union members,
38072,06113359,n,9,a social club for male undergraduates,
38073,06113479,n,9,a social club for female undergraduates,
38074,06113573,n,9,a society that conceals its activities from nonmembers,
38075,06113724,n,9,Freemasons collectively,
38076,06113834,n,9,a club of professional or business people organized for their coordination and active in public services,
38077,06114033,n,9,club dedicated to promoting responsible citizenship and good government and community and national and international welfare,
38078,06114257,n,9,a group of businessmen in a town organized as a service club and to promote world peace,
38079,06114444,n,9,an association of companies for some definite purpose,
38080,06114591,n,9,a consortium of companies formed to limit competition; 'they set up the trust in the hope of gaining a monopoly',
38081,06114774,n,9,the actors in a play,
38082,06114923,n,9,a cast other than the principles,
38083,06115031,n,9,the body of voters who elect a representative for their area,
38084,06115188,n,9,the body of electors who formally elect the US president and vice-president,
38085,06115327,n,9,a body of students who are taught together; 'early morning classes are always sleepy',
38086,06115587,n,9,a body of students who graduate together: 'the class of '97'; 'she was in my year at Hoehandle High',
38091,06116267,n,9,students beginning elementary school,
38093,06116465,n,9,final grade or class in high school or college,
38094,06116570,n,9,penultimate class in high school or college,
38095,06116672,n,9,the second class in a four-year college or high school,
38096,06116788,n,9,the first class in college or high school,
