5,n,9,Ethiopia is a republic in northeastern Africa formerly called Abyssinia,
40115,06470323,n,9,a historical region in eastern Yugoslavia; Serbs settled the region in the 6th and 7th centuries,
40116,06470538,n,9,the largest island in the world; between the Atlantic and Arctic Oceans; a Danish territory,
40117,06470760,n,9,the 5th largest island and the largest of the Canadian Arctic; between Greenland and Hudson Bay,
40118,06470953,n,9,part of the province of Newfoundland in the eastern part of the large Labrador-Ungava peninsula in northeastern Canada,
40120,06471831,n,9,the French-speaking part of the Canadian Maritime Provinces,
40121,06471962,n,9,the collective name for the Canadian provinces of New Brunswick and Nova Scotia and Prince Edward Island,
40122,06472238,n,9,Canada is divided into 12 provinces for administrative purposes,
40123,06472545,n,9,one of the three prairie provinces in western Canada; rich in oil and natural gas and minerals,
40124,06472769,n,9,a popular vacation spot in the Canadian Rockies,
40125,06472887,n,9,a city is S Alberta; center of a large agricultural region,
40126,06473018,n,9,the capital and largest city of the province of Alberta,
40127,06473147,n,9,a province in western Canada,
40128,06473295,n,9,capital of the Canadian province of British Columbia,
40129,06473421,n,9,an island city in southwestern British Columbia on an arm of the Pacific Ocean; Canada's chief Pacific port and third largest city,
40130,06473626,n,9,one of the three prairie provinces in central Canada,
40131,06473771,n,9,Winnipeg is the capital and largest city of Manitoba; located in S Manitoba; known for severe winters,
40132,06473946,n,9,a province in southeastern Canada,
40133,06474077,n,9,the provincial capital of New Brunswick,
40134,06474193,n,9,a port in eastern Canada; the largest city in New Brunswick,
40135,06474320,n,9,a Canadian province on the island of Newfoundland; became Canada's 10th province in 1949,
40136,06474524,n,9,an island in the north Atlantic,
40137,06474633,n,9,a port and provincial capital of Newfoundland,
40138,06474769,n,9,a territory in northwestern Canada,
40139,06474890,n,9,the Canadian province in the Maritimes consisting of the Nova Scotia peninsula and Cape Breton Island; French settlers who called the area Acadia were exiled to Louisiana by the British in the 1750s and their descendants are know as Cajuns,
40140,06475244,n,9,a peninsula in eastern Canada between the Bay of Fundy and the Saint Lawrence River,
40141,06475404,n,9,provincial capital and largest city of Nova Scotia,
40142,06475527,n,9,a prosperous and industrialized province in central Canada,
40143,06475753,n,9,the provincial capital and largest city in Ontario (and the largest city in Canada),
40144,06475909,n,9,the capital of Canada (located in southeastern Ontario across the Ottawa river from Quebec),
40145,06476111,n,9,a city in southeastern Ontario at the west end of Lake Ontario,
40146,06476247,n,9,an island in the Gulf of Saint Lawrence; the smallest province of Canada,
40147,06476424,n,9,the provincial capital and largest city of Prince Edward Island,
40148,06476566,n,9,the largest province of Canada; a French colony from 1663 to 1759 when it was lost to the British,
