,73143,,,
1635583,70662,3195,,,
1635585,70662,33395,,,
1635586,70662,27759,,,
1635587,70662,5228,,,
1635588,70662,27756,,,
1635589,70662,9830,,,
1635590,70662,39526,,,
1635592,70662,9820,,,
1635593,70662,9817,,,
1635594,70662,58456,,,
1635595,70662,58964,,,
1635596,70662,9808,,,
1635597,70662,591,,,
1635599,70662,1091,,,
1635600,70662,47672,,,
1635601,70662,59948,,,
1635602,70662,33836,,,
1635604,70662,17441,,,
1635605,70662,35353,,,
1635606,70662,28177,,,
1635608,70662,28173,,,
1635609,70662,12,,,
1635610,70662,29194,,,
1635611,70662,15876,,,
1635612,70662,21505,,,
1635613,70662,64512,,,
1635615,70641,41173,,,
1635616,70641,49682,,,
1635617,70641,63213,,,
1635618,70641,64265,,,
1635619,70641,51176,,,
1635620,70641,55014,,,
1635622,70641,63201,,,
1635623,70657,26975,,,
1635624,70657,41310,,,
1635625,70657,24891,,,
1635626,70657,37178,,,
1635627,70657,37268,,,
1635629,70657,28146,,,
1635630,70657,60336,,,
1635631,70657,19696,,,
1635632,70657,60334,,,
1635633,70657,28142,,,
1635634,70657,27533,,,
1635636,70657,41674,,,
1635637,70657,37861,,,
1635638,70657,38947,,,
1635639,70670,9804,,,
1635640,70646,57469,,,
1635641,70646,772,,,
1635643,70646,33778,,,
1635644,70646,444,,,
1635645,70682,53981,,,
1635646,70682,24187,,,
1635647,70682,11127,,,
1635648,70682,22294,,,
1635650,70682,15540,,,
1635651,70682,15539,,,
1635652,70682,37041,,,
1635653,70682,36879,,,
1635654,70682,52014,,,
1635655,70682,9833,,,
1635657,70682,54469,,,
1635658,70682,9826,,,
1635659,70682,24029,,,
1635660,70692,35167,,,
1635661,70692,46846,,,
1635662,70692,24029,,,
1635664,70692,24187,,,
1635665,70692,37041,,,
1635666,70692,24400,,,
1635667,70692,36879,,,
1635668,70692,46190,,,
1635669,70692,31533,,,
1635671,70692,43208,,,
1635672,70692,27175,,,
1635673,70692,27174,,,
1635674,70692,101892,,,
1635675,70692,48163,,,
1635676,70692,22624,,,
1635678,70647,71161,,,
1635679,70647,68984,,,
1635680,70647,69105,,,
1635681,70647,72561,,,
1635682,70647,70768,,,
1635683,70647,74735,,,
1635685,70647,74602,,,
1635686,70647,73438,,,
1635687,70647,68183,,,
1635688,70647,69202,,,
1635689,70647,69201,,,
1635690,70647,69200,,,
1635692,70647,72392,,,
1635693,70647,67272,,,
1635694,70647,71367,,,
1635695,70647,76212,,,
1635696,70647,68276,,,
1635697,70647,75064,,,
1635699,70647,66744,,,
1635700,70647,76215,,,
1635701,70647,68277,,,
1635702,70647,69556,,,
1635703,70647,66740,,,
1635704,70647,76209,,,
1635706,70647,69553,,,
1635707,70647,76848,,,
1635708,70647,75816,,,
1635709,70647,76327,,,
1635711,70647,69664,,,
1635712,70647,76322,,,
1635713,70647,76193,,,
1635715,70647,72351,,,
1635716,70647,76059,,,
1635717,70647,70937,,,
1635718,70647,68878,,,
1635719,70647,78091,,,
1635720,70647,72065,,,
1635722,70653,55014,,,
1635723,70653,51176,,,
1635724,70656,69119,,,
1635725,70656,77307,,,
1635726,70656,69754,,,
1635727,70656,78069,,,
1635729,70656,67186,,,
1635730,70656,66545,,,
1635731,70656,73328,,,
1635732,70656,68975,,,
1635733,70656,68974,,,
1635734,70656,68836,,,
1635736,70656,78050,,,
1635737,70656,72289,,,
1635738,70656,76508,,,
1635739,70656,77651,,,
1635740,70656,76370,,,
1635741,70656,66512,,,
1635743,70656,68423,,,
1635744,70656,73286,,,
1635745,70656,73157,,,
1635746,70656,73283,,,
1635747,70656,73148,,,
1635748,70656,66361,,,
1635750,70656,66355,,,
1635751,70656,73638,,,
1635752,70656,76069,,,
1635753,70656,69284,,,
1635754,70656,73247,,,
1635755,70656,73248,,,
1635757,70656,77215,,,
1635758,70656,68510,,,
1635759,70656,77470,,,
1635760,70656,68509,,,
1635761,70656,77468,,,
1635762,70656,75160,,,
1635764,70656,75412,,,
1635765,70656,74899,,,
1635766,70656,74898,,,
1635767,70656,66063,,,
1635768,70656,73742,,,
1635769,70656,73740,,,
1635771,70656,68482,,,
1635772,70658,97022,,,
1635773,70658,97021,,,
1635774,70658,97020,,,
1635775,70658,97019,,,
1635776,70658,99613,,,
1635778,70658,99439,,,
1635779,70658,99438,,,
1635780,70658,98604,,,
1635781,70658,96265,,,
1635782,70658,96262,,,
1635783,70658,97891,,,
1635785,70698,31344,,,
1635786,70698,16625,,,
1635787,70698,16624,,,
1635788,70698,16623,,,
