,κωμογραμματεία,n,n-s---fn1l,κωμογραμματείας,,,,,0
61257,μ00052,μάγειρος,n,n-s---mn2-,μαγείρου,,,/má.ɡeː.ros/,,0
61258,μ00070,μάγοιρος,v,----------,,,,,,0
61259,μ00053,μαγειρώδης,a,aps---cn3s,μαγειρώδης μαγειρώδης μαγειρώ͂δες,,,,,0
61260,μ00055,μαγέτας,a,----------,,,,,,0
61261,μ00056,μάγευμα,n,----------,,,,,,0
61262,μ00057,μαγεύς,n,n-s---mn3v,μαγέως,,,,,0
61263,μ00058,μαγευτής,n,n-s---mn1e,μαγευτού,,,,,0
61264,μ00059,μαγευτικός,a,aps---mn1-,μαγευτικός μαγευτική μαγευτικόν,,,,,0
61265,μ00060,μαγεύω,v,----------,,,,,,0
61266,μ00061,μαγιανός,a,aps---mn1-,μαγιανός μαγιανή μαγιανόν,,,,,0
61267,μ00062,μαγίδιον,n,n-s---nn2-,μαγιδίου,,,,,0
61268,μ00063,μαγικός,a,aps---mn--,μαγικός μαγική μαγικόν,,,,,0
61269,μ00064,μαγίς,n,n-s---fn3d,μαγίδος,,,,,0
61270,μ00065,μαγκίππιον,n,----------,,,,,,0
61272,μ00067,μάγλα,n,n-s---fn1l,μάγλας,,,,,0
61273,μ00068,μάγμα,n,n-s---nn3t,μάγματος,,,,,0
61274,μ00069,μαγμός,n,----------,,,,,,0
61275,,Μάγνης,n,n-s---mn3d,Μάγνητος,,,/má.ɡnɛːs/,,0
61276,,Μαγνήτινος,a,aps---mn1-,Μαγνήτινος Μαγνητίνη Μαγνήτινον,,,,,0
61277,,Μάγος,n,n-s---mn2-,Μάγου,,,/má.ɡos/,,0
61278,μ00073,μαγοφόνια,n,----------,,,,,,0
61279,μ00074,μαγύδαρις,n,n-s---fn3v,,,,,,0
61280,μ00036,μαγῳδία,n,n-s---fn1l,μαγῳδίας,,,,,0
61281,μ00075,μαδαγένειος,a,aps---cn2-,μαδαγένειος μαδαγένειος μαδαγένειον,,,,,0
61282,μ00076,μαδαῖος,a,aps---mn1-,μαδαῖος μαδαῖα μαδαῖον,,,,,0
61283,μ00077,μάδαρα,n,n-p---nn2-,μαδάρων,,,,,0
61284,μ00078,μαδαριάω,v,----------,,,,,,0
61286,μ00080,μαδαρός,a,aps---mn1-,μαδαρός μαδαρά μαδαρόν,,,/ma.da.rós/,,0
61287,μ00081,μαδαρότης,n,n-s---fn3t,μαδαρότητος,,,,,0
61288,μ00082,μαδαρόω,v,----------,,,,,,0
61290,μ00084,μαδάσκομαι,v,----------,,,,,,0
61291,μ00085,μαδάω,v,----------,,,,/ma.dá.ɔː/,,0
61292,μ00855,μᾶδδα,n,n-s---fn1s,μᾶδδης,,,,,0
61293,μ00086,μάδευμα,n,----------,,,,,,0
61294,μ00087,μαδηγένειος,n,----------,,,,,,0
61295,μ00088,μάδησις,n,----------,,,,,,0
61297,μ00090,μαδίζω,v,----------,,,,,,0
61298,μ00091,μάδισις,n,n-s---fn3v,μαδισέως,,,,,0
61299,μ00092,μάδισος,n,n-s---mn2-,μαδίσου,,,,,0
61300,μ00093,μαδιστήριον,n,n-s---nn2-,μαδιστηρίου,,,,,0
61301,μ00094,μαδόνη,n,n-s---fn1e,μαδόνης,,,,,0
61302,μ00095,μάδος,n,n-s---mn2-,μάδου,,,,,0
61303,μ00096,μαδός,a,aps---mn1-,μαδός μαδή μαδόν,,,,,0
61304,μ00097,μάδρυα,n,n-p---nn2-,μαδρύων,,,,,0
61305,μ00098,μαδών,n,n-s---mn3n,μαδῶνος,,,,,0
61306,μ00099,μαδωνάϊς,n,----------,,,,,,0
61307,μ02759,μᾶζα,n,n-s---fn1s,μᾶζης,,,/mâːz.da/,,0
61308,μ00100,μαζαγόας,n,----------,,,,,,0
61309,μ00101,μαζαγρέτας,n,n-s---mn1a,μαζαγρέτου,,,,,0
61310,μ00102,μαζάω,v,----------,,,,,,0
61311,μ00103,μαζέας,n,n-s---mn1a,μαζέου,,,,,0
61312,μ00104,μαζεινὸς,n,----------,,,,,,0
61313,μ00105,μαζήρεοι,n,n-p---mn2-,μαζηρέων,,,,,0
61314,μ00106,μαζηρὸς,n,----------,,,,,,0
61315,μ00107,μαζίνης,n,n-s---mn1e,μαζίνου,,,,,0
61316,μ00108,μαζίον,n,n-s---nn2-,μαζίου,,,,,0
61317,μ00109,μαζίσκη,n,n-s---fn1e,μαζίσκης,,,,,0
61318,μ00111,μαζοβόλιον,n,n-s---nn2-,μαζοβολίου,,,,,0
61319,μ00112,μαζονομεῖον,n,n-s---nn2-,μαζονομείου,,,,,0
61320,μ00113,μαζονόμον,n,n-s---nn2-,μαζονόμου,,,,,0
61321,μ00114,μαζοπέπτης,n,n-s---mn1e,μαζοπέπτου,,,,,0
61322,μ00115,μαζοποιέω,v,----------,,,,,,0
61323,μ00116,μαζοποιός,a,aps---cn2-,μαζοποιός μαζοποιός μαζοποιόν,,,,,0
61324,μ00117,μαζός,n,n-s---mn2-,,,,/maz.dós/,,0
61325,,Μαζουσία,n,----------,,,,,,0
61326,μ00118,μαζοφαγέω,v,----------,,,,,,0
61327,μ00119,μαζοφάγος,n,----------,,,,,,0
61329,μ00121,μαζύγιον,n,n-s---nn2-,μαζυγίου,,,,,0
61330,μ00110,μαζῶνες,n,----------,,,,,,0
61331,μ00122,μαθαλίς,n,n-s---fn3d,μαθαλίδος,,,,,0
61332,μ00123,μαθετάς,n,----------,,,,,,0
61333,μ00124,μάθη,n,n-s---fn1e,μάθης,,,,,0
61334,μ00125,μάθημα,n,n-s---nn3t,μαθήματος,,,/má.tʰɛː.ma/,,0
61335,μ00126,μαθηματικεύομαι,v,----------,,,,,,0
61336,μ00127,μαθηματικός,a,aps---mn1-,μαθηματικός μαθηματική μαθηματικόν,,,/ma.tʰɛː.ma.ti.kós/,,0
61338,μ00130,μαθημοσύνη,n,n-s---fn1e,μαθημοσύνης,,,,,0
61339,μ00131,μάθησις,n,n-s---fn3v,μαθησέως,,,/má.tʰɛː.sis/,,0
61340,μ00132,μαθητεία,n,n-s---fn1l,μαθητείας,,,,,0
61341,μ00133,μαθητέος,a,aps---mn1-,μαθητέος μαθητέα μαθητέον,,,,,0
61342,μ00134,μαθητεύω,v,----------,,,,,,0
61343,μ00135,μαθητής,n,n-s---mn1e,μαθητού,,,/ma.tʰɛː.tɛ̌ːs/,,0
61344,μ00136,μαθητιάω,v,----------,,,,,,0
61345,μ00137,μαθητικεύομαι,v,----------,,,,,,0
61348,μ00140,μαθήτρια,n,n-s---fn1s,μαθήτριας,,,,,0
61349,μ00141,μαθητρίς,n,n-s---fn3d,μαθητρίδος,,,,,0
61350,μ00142,μάθος,n,----------,,,,,,0
61351,μ00016,μαῖα,n,n-s---fn1s,μαῖης,,,/mái̯.a/,,0
61352,,Μαῖα,n,n-s---fn3d,Μαάδος,,,,,0
61353,,Μαίανδρος,n,----------,,,,/maí̯.an.dros/,,0
61354,μ00143,μαιανδρώδης,a,aps---cn3s,μαιανδρώδης μαιανδρώδης μαιανδρώ͂δες,,,,,0
61355,μ00144,μαιάς,n,n-s---fn3d,μαιάδος,,,,,0
61356,μ00145,μαιεία,n,n-s---fn1l,μαιείας,,,,,0
61357,μ00146,μαίευμα,n,n-s---nn3t,μαιεύματος,,,,,0
61358,μ00147,μαιεύομαι,v,----------,,,,,,0
61359,μ00148,μαίευσις,n,n-s---fn3v,μαιευσέως,,,,,0
61361,μ00150,μαιεύτρια,n,n-s---fn1s,μαιεύτριας,,,,,0
61362,μ00151,μαιήϊος,a,aps---cn2-,μαιήϊος μαιήϊος μαιήϊον,,,,,0
61363,,Μαιῆτις,n,----------,,,,,,0
61364,μ00152,μαιήτωρ,n,n-s---mn3r,μαιήτορος,,,,,0
61365,μ00153,μαίμακος,a,aps---cn2-,μαίμακος μαίμακος μαίμακον,,,,,0
61366,,Μαιμακτήρ,n,n-s---mn3r,Μαιμακτῆρος,,,,,0
61367,,Μαιμακτηριών,n,n-s---mn3n,Μαιμακτηριῶνος,,,,,0
61368,,Μαιμάκτης,n,n-s---mn1e,Μαιμάκτου,,,,,0
61369,μ00456,μαῖμαξ,n,----------,,,,,,0
61370,μ00154,μαιμάσσω,v,----------,,,,,,0
61371,μ00155,μαιμάω,v,----------,,,,,,0
61372,μ00156,μαιμώσσω,v,----------,,,,,,0
61373,,Μαίναλον,n,n-s---nn2-,Μαινάλου,,,/maí̯.na.lon/,,0
61374,μ00157,μαίνανδρος,a,aps---cn2-,μαίνανδρος μαίνανδρος μαίνανδρον,,,,,0
61375,μ00158,μαινάς,n,n-s---fn3d,μαινάδος,,,,,0
61376,μ00159,μαίνη,n,n-s---fn1e,μαίνης,,,,,0
61377,μ00160,μαινίδιον,n,n-s---nn2-,μαινιδίου,,,,,0
61378,μ00161,μαινίς,n,----------,,,,,,0
61379,μ00162,μαινόλης,n,n-s---mn1e,μαινόλου,,,,,0
61380,μ00163,μαινόλιος,a,aps---mn1-,μαινόλιος μαινόλια μαινόλιον,,,,,0
61381,μ00164,μαίνομαι,v,----------,,,,/maí̯.no.mai̯/,,0
61382,μ00165,μαινομένη,n,----------,,,,,,0
61383,μ00166,μαίομαι,v,----------,,,,,,0
61384,μ00547,μαῖον,n,n-s---nn2-,μαίου,,,,,0
61385,μ00167,μαιόομαι,v,----------,,,,,,0
61386,,Μάϊος,n,,Μαΐου,,,/mǎː.i.os/,,0
61388,,Μαῖρα,n,n-s---fn1s,Μαῖρης,,,,,0
61389,μ00169,μαιριάω,v,----------,,,,,,0
61390,μ00170,μαίσων,n,n-s---mn3n,μαίσωνος,,,,,0
61391,μ00171,μαιτυρέω,v,----------,,,,,,0
61392,μ00795,μαῖτυς,n,----------,,,,,,0
61393,μ00172,μαίωσις,n,n-s---fn3v,μαιωσέως,,,,,0
61394,,Μαιῶται,n,----------,,,,,,0
61395,,Μαιῆτις,n,n-s---mn1-,Μαιήτου,,,,,0
61396,μ00173,μαιωτικός,a,aps---mn1-,μαιωτικός μαιωτική μαιωτικόν,,,,,0
61397,,Μαιωτιστί,r,----------,,,,,,0
61398,μ00174,μαίωτρα,n,n-p---nn2-,μαιώτρων,,,,,0
61399,μ00176,μάκαρ,n,----------,,,,,,0
61400,μ00177,μακάρι,v,----------,,,,,,0
61401,μ00178,μακαρία,n,n-s---fn1l,μακαρίας,,,,,0
61402,μ00179,μακαρίζω,v,----------,,,,,,0
61403,μ00180,μακαρίνη,n,----------,,,,,,0
61405,μ00182,μακαριότης,n,n-s---fn3t,μακαριότητος,,,,,0
61406,μ00183,μακαρισμός,n,----------,,,,,,0
61407,μ00184,μακαριστέον,a,----------,,,,,,0
61408,μ00185,μακαριστής,n,n-s---mn1e,μακαριστού,,,,,0
61409,μ00186,μακαριστός,a,aps---mn1-,μακαριστός μακαριστή μακαριστόν,,,,,0
61410,μ00187,μακαρίτης,n,n-s---mn1e,μακαρίτου,,,,,0
61411,μ00188,μάκαρος,a,aps---mn1-,μάκαρος μάκαρα μάκαρον,,,,,0
61412,μ00189,μακαρτός,a,aps---mn1-,μακαρτός μακαρτή μακαρτόν,,,,,0
61413,μ00190,μακεδνός,a,aps---mn1-,μακεδνός μακεδνή μακεδνόν,,,/ma.ke.dnós/,,0
61414,,Μακεδονίζω,v,----------,,,,,,0
61415,,Μακεδών,n,n-s---mn3n,Μακεδόνος,,,/ma.ke.dɔ̌ːn/,,0
61416,,Μακεδονία,n,n-s---fn1l,Μακεδονίας,,,/ma.ke.do.ní.aː/,,0
61417,,Μακεδονὶς,n,----------,,,,,,0
61418,μ00191,μακέλας,n,----------,,,,,,0
61419,μ00192,μακέλη,n,n-s---fn1e,μακέλης,,,,,0
61420,μ00193,μάκελλα,n,n-s---fn1s,μάκελλας,,,,,0
61421,μ00195,μακελλεῖον,n,n-s---nn2-,μακελλείου,,,,,0
61422,μ00196,μακελλίτης,n,----------,,,,,,0
61423,μ00197,μάκελλον,n,n-s---nn2-,μακέλλου,,,,,0
61424,μ00194,μακελλάριον,n,n-s---nn2-,μακελλαρίου,,,,,0
61425,μ00198,μακελλωτός,a,aps---mn1-,μακελλωτός μακελλωτή μακελλωτόν,,,,,0
61427,,Μακέτης,n,n-s---mn1e,Μακέτου,,,,,0
61428,,Μακηδών,n,n-s---cn3n,Μακηδόνος,,,,,0
61429,μ00200,μάκιρ,n,----------,,,,,,0
61430,μ00201,μακιστήρ,n,n-s---mn3r,μακιστῆρος,,,,,0
61431,μ00202,μακκοάω,v,----------,,,,,,0
61432,μ00203,μάκρα,n,n-s---fn1l,μάκρας,,,,,0
61433,μ00204,μακραίων,n,n-s---mn3n,μακραίωνος,,,,,0
61434,μ00206,μακράν,a,aps---mn1-,μακράν,,,,,0
61435,μ00207,μακραπόδοτος,a,aps---cn2-,μακραπόδοτος μακραπόδοτος μακραπόδοτον,,,,,0
61437,μ00209,μακραύχην,n,----------,,,,,,0
61438,μ00210,μακρέτειος,a,aps---cn2-,μακρέτειος μακρέτειος μακρέτειον,,,,,0
61439,μ00211,μακρηγορέω,v,----------,,,,,,0
61440,μ00212,μακρηγορία,n,n-s---fn1l,μακρηγορίας,,,,,0
61441,μ00213,μακρήγορος,a,aps---cn2-,μακρήγορος μακρήγορος μακρήγορον,,,,,0
61442,μ00214,μακρημερία,n,n-s---fn1l,μακρημερίας,,,,,0
61443,μ00215,μακροαπόδοτος,a,aps---cn2-,μακροαπόδοτος μακροαπόδοτος μακροαπόδοτον,,,,,0
61444,μ00216,μακροβάμων,a,aps---cn3n,μακροβάμων μακροβάμων μακροβάμον,,,,,0
61445,μ00217,μακρόβιος,a,aps---cn2-,μακρόβιος μακρόβιος μακρόβιον,,,,,0
61446,μ00218,μακροβιότης,n,n-s---fn3t,μακροβιότητος,,,,,0
61447,μ00219,μακροβίοτος,a,----------,,,,,,0
61448,μ00220,μακροβίωσις,n,----------,,,,,,0
61449,μ00221,μακροβολέω,v,----------,,,,,,0
61450,μ00222,μακροβολία,n,n-s---fn1l,μακροβολίας,,,,,0
61451,μ00223,μακροβόλος,a,aps---cn2-,μακροβόλος μακροβόλος μακροβόλον,,,,,0
61452,μ00224,μακρογένειος,a,aps---cn2-,μακρογένειος μακρογένειος μακρογένειον,,,,,0
61453,μ00225,μακρόγενυς,a,aps---cn5s,μακρόγενυς μακρόγενυς μακρόγενυ,,,,,0
61455,μ00227,μακρογηράω,v,----------,,,,,,0
61456,μ00228,μακρογήρως,a,----------,,,,,,0
61458,μ00230,μακροδάκτυλος,a,aps---cn2-,μακροδάκτυλος μακροδάκτυλος μακροδάκτυλον,,,,,0
61459,μ00231,μακροδρόμος,a,aps---cn2-,μακροδρόμος μακροδρόμος μακροδρόμον,,,,,0
61460,μ00232,μακροειδής,a,aps---cn5s,μακροειδής μακροειδής μακροειδές,,,,,0
61461,μ00233,μακρόηλος,a,aps---cn2-,μακρόηλος μακρόηλος μακρόηλον,,,,,0
61462,μ00234,μακροημέρευσις,n,n-s---fn3v,μακροημερευσέως,,,,,0
61463,μ00235,μακροήμερος,a,aps---cn2-,μακροήμερος μακροήμερος μακροήμερον,,,,,0
61464,μ00236,μάκροθεν,r,----------,,,,,,0
61465,μ00237,μάκροθι,r,----------,,,,,,0
61466,μ00239,μάκροθριξ,n,----------,,,,,,0
61467,μ00240,μακροθυμέω,v,----------,,,,,,0
61468,μ00241,μακροθυμία,n,n-s---fn1l,μακροθυμίας,,,/ma.kro.tʰyː.mí.aː/,,0
61469,μ00242,μακρόθυμος,a,aps---cn2-,μακρόθυμος μακρόθυμος μακρόθυμον,,,,,0
61470,μ00238,μακροθῶραξ,n,----------,,,,,,0
61471,μ00243,μακροιαμβεῖον,n,n-s---nn2-,μακροιαμβείου,,,,,0
61472,μ00244,μακροκαμπυλαύχην,n,----------,,,,,,0
61473,μ00245,μακροκαταληκτέω,v,----------,,,,,,0
61474,μ00246,μακρόκαυλος,a,aps---cn2-,μακρόκαυλος μακρόκαυλος μακρόκαυλον,,,,,0
61475,μ00247,μακροκέντης,n,n-s---mn1e,μακροκέντου,,,,,0
61476,μ00248,μακρόκεντρος,a,aps---cn2-,μακρόκεντρος μακρόκεντρος μακρόκεντρον,,,,,0
61477,μ00249,μακρόκερκος,a,aps---cn2-,μακρόκερκος μακρόκερκος μακρόκερκον,,,,,0
61478,μ00250,μακροκέφαλος,a,aps---cn2-,μακροκέφαλος μακροκέφαλος μακροκέφαλον,,,,,0
61479,μ00251,μακροκοίλιος,a,aps---cn2-,μακροκοίλιος μακροκοίλιος μακροκοίλιον,,,,,0
61480,μ00252,μακροκομέω,v,----------,,,,,,0
61481,μ00253,μακρόκρανοι,n,n-p---mn2-,μακροκράνων,,,,,0
61482,μ00254,μακροκωλία,n,n-s---fn1l,μακροκωλίας,,,,,0
61483,μ00255,μακρόκωλος,a,aps---cn2-,μακρόκωλος μακρόκωλος μακρόκωλον,,,,,0
61484,μ00256,μακρόκωπος,a,aps---cn2-,μακρόκωπος μακρόκωπος μακρόκωπον,,,,,0
61485,μ00257,μακρόλοβος,a,aps---cn2-,μακρόλοβος μακρόλοβος μακρόλοβον,,,,,0
61486,μ00258,μακρολογέω,v,----------,,,,,,0
61487,μ00259,μακρολογία,n,n-s---fn1l,μακρολογίας,,,,,0
61488,μ00260,μακρολόγος,a,aps---cn2-,μακρολόγος μακρολόγος μακρολόγον,,,,,0
61489,μ00261,μακρόμαλλος,a,aps---cn2-,μακρόμαλλος μακρόμαλλος μακρόμαλλον,,,,,0
61490,μ00262,μακρόμισθος,a,aps---cn2-,μακρόμισθος μακρόμισθος μακρόμισθον,,,,,0
61491,μ00263,μακρονοσέω,v,----------,,,,,,0
61492,μ00264,μακρονοσία,n,n-s---fn1l,μακρονοσίας,,,,,0
61493,μ00265,μακρόξυλος,a,aps---cn2-,μακρόξυλος μακρόξυλος μακρόξυλον,,,,,0
61494,μ00266,μακροπέπερι,n,----------,,,,,,0
61495,μ00267,μακρόπεπλος,a,aps---cn2-,μακρόπεπλος μακρόπεπλος μακρόπεπλον,,,,,0
61496,μ00268,μακροπεριοδεύτως,r,----------,,,,,,0
61498,μ00270,μακρόπλεκτος,a,aps---cn2-,μακρόπλεκτος μακρόπλεκτος μακρόπλεκτον,,,,,0
61499,μ00271,μακρόπνοια,n,n-s---fn1s,μακρόπνοιας,,,,,0
61501,μ00273,μακροποιέω,v,----------,,,,,,0
61503,μ00275,μακροπόνηρος,a,aps---cn2-,μακροπόνηρος μακροπόνηρος μακροπόνηρον,,,,,0
61504,μ00276,μακροπονία,n,n-s---fn1l,μακροπονίας,,,,,0
61505,μ00277,μακροπόρευτος,a,aps---cn2-,μακροπόρευτος μακροπόρευτος μακροπόρευτον,,,,,0
61506,μ00278,μακροπορέω,v,----------,,,,,,0
61507,μ00279,μακροπορία,n,n-s---fn1l,μακροπορίας,,,,,0
61508,μ00280,μακρόπορος,a,aps---cn2-,μακρόπορος μακρόπορος μακρόπορον,,,,,0
61509,μ00281,μακροπρόσωπος,a,aps---cn2-,μακροπρόσωπος μακροπρόσωπος μακροπρόσωπον,,,,,0
61510,μ00282,μακρόπτερος,a,aps---cn2-,μακρόπτερος μακρόπτερος μακρόπτερον,,,,,0
61511,μ00283,μακροπτόλεμος,n,n-s---mn2-,μακροπτολέμου,,,,,0
61512,μ00284,μακροπτύστης,n,n-s---mn1e,μακροπτύστου,,,,,0
61513,μ00285,μακρόπυλος,n,----------,,,,,,0
61514,μ00286,μακροπώγων,n,n-s---mn3n,μακροπώγωνος,,,,,0
61515,μ00287,μακρορριζία,n,n-s---fn1l,μακρορριζίας,,,,,0
61516,μ00288,μακρόρριζος,a,aps---cn2-,μακρόρριζος μακρόρριζος μακρόρριζον,,,,,0
61517,μ00289,μακρόρρυγχος,a,aps---cn2-,μακρόρρυγχος μακρόρρυγχος μακρόρρυγχον,,,,,0
61518,μ00291,μακρός,a,aps---mn1-,,,,,,0
61519,μ00290,μάκρος,n,n-s---nn3v,μάκρεος,,,,,0
61520,μ00292,μακρόσημος,a,aps---cn2-,μακρόσημος μακρόσημος μακρόσημον,,,,,0
61521,μ00293,μακροσίδηρος,n,----------,,,,,,0
61522,μ00294,μακροσκελής,a,aps---cn5s,μακροσκελής μακροσκελής μακροσκελές,,,,,0
61523,μ00295,μακρόσκιος,a,aps---cn2-,μακρόσκιος μακρόσκιος μακρόσκιον,,,,,0
61524,μ00296,μακρόσπαρτον,n,n-s---nn2-,μακροσπάρτου,,,,,0
61526,μ00298,μακροσύνθετον,n,n-s---nn2-,μακροσυνθέτου,,,,,0
61527,μ00299,μακρόσφυκτος,a,aps---cn2-,μακρόσφυκτος μακρόσφυκτος μακρόσφυκτον,,,,,0
61528,μ00300,μακροτάτω,r,----------,,,,,,0
61529,μ00301,μακροτενής,a,aps---cn5s,μακροτενής μακροτενής μακροτενές,,,,,0
61530,μ00302,μακροτένων,n,n-s---cn3t,μακροτένοντος,,,,,0
61531,μ00304,μακροτέρως,r,----------,,,,,,0
61532,μ00303,μακροτέρω,v,----------,,,,,,0
61533,μ00305,μακρότης,n,n-s---fn3t,μακρότητος,,,,,0
61534,μ00306,μακροτομέω,v,----------,,,,,,0
61535,μ00307,μακρότομος,a,aps---cn2-,μακρότομος μακρότομος μακρότομον,,,,,0
61536,μ00308,μακροτονέω,v,----------,,,,,,0
61537,μ00309,μακροτονία,n,n-s---fn1l,μακροτονίας,,,,,0
61538,μ00310,μακρότονος,a,aps---cn2-,μακρότονος μακρότονος μακρότονον,,,,,0
61539,μ00311,μακροτράχηλος,n,----------,,,,,,0
61540,μ00312,μακροϋπνία,n,n-s---fn1l,μακροϋπνίας,,,,,0
61541,μ00313,μακροφάρυγξ,n,----------,,,,,,0
61542,μ00314,μακροφλυαρήτης,n,n-s---mn1e,μακροφλυαρήτου,,,,,0
61543,μ00315,μακροφυέω,v,----------,,,,,,0
61544,μ00316,μακροφυής,a,aps---cn5s,μακροφυής μακροφυής μακροφυές,,,,,0
61545,μ00317,μακρόφυλλος,a,aps---cn2-,μακρόφυλλος μακρόφυλλος μακρόφυλλον,,,,,0
61546,μ00318,μακροφωνέω,v,----------,,,,,,0
61547,μ00319,μακρόφωνος,a,aps---cn2-,μακρόφωνος μακρόφωνος μακρόφωνον,,,,,0
61550,μ00322,μακροχρονέω,v,----------,,,,,,0
61551,μ00323,μακροχρονίζω,v,----------,,,,,,0
61553,μ00325,μακροχρονιότης,n,n-s---fn3t,μακροχρονιότητος,,,,,0
61554,μ00326,μακροψυχέω,v,----------,,,,,,0
61555,μ00327,μακροψυχία,n,n-s---fn1l,μακροψυχίας,,,,,0
61556,μ00328,μακρόψυχος,a,aps---cn2-,μακρόψυχος μακρόψυχος μακρόψυχον,,,,,0
61557,μ00329,μάκρυμμα,n,n-s---nn3t,μακρύμματος,,,,,0
61558,μ00330,μακρύνω,v,----------,,,,,,0
61559,μ00331,μακρυσμός,n,----------,,,,,,0
61560,μ00332,μάκρων,n,n-s---mn3n,μάκρωνος,,,,,0
61561,μ00333,μάκρωσις,n,n-s---fn3v,μακρωσέως,,,,,0
61562,μ00334,μακρώτης,n,----------,,,,,,0
61563,μ00335,μακτήρ,n,n-s---mn3r,μακτῆρος,,,,,0
61564,μ00336,μακτήριον,n,n-s---nn2-,μακτηρίου,,,,,0
61565,μ00337,μάκτης,n,n-s---mn1e,μάκτου,,,,,0
61566,μ00338,μακτός,a,aps---mn1-,μακτός μακτή μακτόν,,,,,0
61567,μ00339,μάκτρα,n,n-s---fn1l,μάκτρας,,,,,0
61568,μ00340,μακτρισμός,n,----------,,,,,,0
61569,μ00341,μακτρίστρια,n,n-s---fn1s,μακτρίστριας,,,,,0
61570,μ00342,μάκτρον,n,n-s---nn2-,μάκτρου,,,,,0
61571,μ00343,μακών,n,----------,,,,,,0
61572,μ00344,μάλα,r,rp--------,μάλα,,,/má.la/,,0
61574,μ00346,μαλάβαθρον,n,n-s---nn2-,μαλαβάθρου,,,,,0
61575,μ00347,μάλαγμα,a,----------,,,,,,0
61576,μ00348,μαλαγματίζω,v,----------,,,,,,0
61577,μ00349,μαλαγματώδης,a,aps---cn3s,μαλαγματώδης μαλαγματώδης μαλαγματώ͂δες,,,,,0
61578,μ00350,μαλακαίπους,n,----------,,,,,,0
61579,μ00351,μαλακαύγητος,a,aps---cn2-,μαλακαύγητος μαλακαύγητος μαλακαύγητον,,,,,0
61580,μ00352,μαλάκεια,n,n-p---nn2-,μαλακείων,,,,,0
61581,μ00353,μαλακευνέω,v,----------,,,,,,0
61582,μ00354,μαλακευτικός,a,aps---mn1-,μαλακευτικός μαλακευτική μαλακευτικόν,,,,,0
61583,μ00356,μαλακία,n,n-s---fn1l,μαλακίας,,,,,0
61584,μ00355,μαλάκια,n,n-p---nn2-,μαλακίων,,,,,0
61585,μ00357,μαλακιάω,v,----------,,,,,,0
61586,μ00358,μαλακίζομαι,v,----------,,,,,,0
61587,μ00359,μαλάκιον,n,n-s---nn2-,μαλακίου,,,,,0
61588,μ00360,μαλακιστέον,n,----------,,,,,,0
61589,μ00361,μαλακίων,n,n-s---mn3n,μαλακίωνος,,,,,0
61590,μ00362,μαλακόγειος,a,aps---cn2-,μαλακόγειος μαλακόγειος μαλακόγειον,,,,,0
61591,μ00363,μαλακόγναθος,a,aps---cn2-,μαλακόγναθος μαλακόγναθος μαλακόγναθον,,,,,0
61592,μ00364,μαλακογνώμων,a,aps---cn3n,μαλακογνώμων μαλακογνώμων μαλακογνώμον,,,,,0
61593,μ00365,μαλακόδερμος,a,aps---cn2-,μαλακόδερμος μαλακόδερμος μαλακόδερμον,,,,,0
61594,μ00366,μαλακοειδής,a,aps---cn5s,μαλακοειδής μαλακοειδής μαλακοειδές,,,,,0
61595,μ00367,μαλάκοθριξ,n,----------,,,,,,0
61596,μ00368,μαλακόκισσος,n,n-s---mn2-,μαλακοκίσσου,,,,,0
61597,μ00369,μαλακοκόλαξ,n,n-s---mn3e,μαλακοκόλακος,,,,,0
61598,μ00370,μαλακοκρανεύς,n,n-s---mn3v,μαλακοκρανέως,,,,,0
61815,μ00579,μαργόομαι,v,----------,,,,,,0
61600,μ00372,μαλακοποιέω,v,----------,,,,,,0
61601,μ00373,μαλακοποιός,a,aps---cn2-,μαλακοποιός μαλακοποιός μαλακοποιόν,,,,,0
61602,μ00374,μαλακόπους,n,----------,,,,,,0
61603,μ00375,μαλακοπτυχής,a,aps---cn5s,μαλακοπτυχής μαλακοπτυχής μαλακοπτυχές,,,,,0
61604,μ00376,μαλακοπύρηνος,a,----------,,,,,,0
61605,μ00377,μαλακός,a,aps---mn1-,μαλακός μαλακή μαλακόν,,,/ma.la.kós/,,0
61608,μ00380,μαλακόσωμος,a,aps---cn2-,μαλακόσωμος μαλακόσωμος μαλακόσωμον,,,,,0
61609,μ00381,μαλακότης,n,n-s---fn3t,μαλακότητος,,,,,0
61610,μ00382,μαλακοτρεφής,a,aps---cn5s,μαλακοτρεφής μαλακοτρεφής μαλακοτρεφές,,,,,0
61611,μ00383,μαλακότριχος,a,aps---cn2-,μαλακότριχος μαλακότριχος μαλακότριχον,,,,,0
61612,μ00384,μαλακόφθαλμος,a,aps---cn2-,μαλακόφθαλμος μαλακόφθαλμος μαλακόφθαλμον,,,,,0
61613,μ00385,μαλακόφλοιος,a,aps---cn2-,μαλακόφλοιος μαλακόφλοιος μαλακόφλοιον,,,,,0
61614,μ00386,μαλακόφρων,n,----------,,,,,,0
61615,μ00387,μαλακόφωνος,a,aps---cn2-,μαλακόφωνος μαλακόφωνος μαλακόφωνον,,,,,0
61616,μ00388,μαλακόχειρ,n,----------,,,,,,0
61617,μ00389,μαλακοψυχέω,v,----------,,,,,,0
61618,μ00390,μαλακόψυχος,a,aps---cn2-,μαλακόψυχος μαλακόψυχος μαλακόψυχον,,,,,0
61619,μ00391,μαλακόω,v,----------,,,,,,0
