,ἀτρύμων,a,aps---cn3n,ἀτρύμων ἀτρύμων ἀτρύμον,ἀτρύμων,0
18883,β00941,βλακεύω,v,----------,,βλακεύω,0
18884,β00942,βλακικός,a,aps---mn1-,βλακικός βλακική βλακικόν,βλακικός,0
18885,β00943,βλακότης,n,n-s---fn3t,βλακότητος,βλακότης,0
18886,β00944,βλακώδης,a,aps---cn3s,βλακώδης βλακώδης βλακώ͂δες,βλακώδης,0
18887,β00945,βλάμμα,n,n-s---nn3t,βλάμματος,βλάμμα,0
18888,β00947,βλάξ,n,----------,,βλάξ,0
18890,β00949,βλαπτικός,a,aps---mn1-,βλαπτικός βλαπτική βλαπτικόν,βλαπτικός,0
18891,β00950,βλάπτω,v,----------,,βλάπτω,0
18892,β00951,βλάσαμον,n,n-s---nn2-,βλασάμου,βλάσαμον,0
18893,β00952,βλαστάνω,v,----------,,βλαστάνω,0
18894,β00953,βλαστάω,v,----------,,βλαστάω,0
18896,β00955,βλάστη,n,n-s---fn1e,βλάστης,βλάστη,0
18897,β00956,βλάστημα,n,n-s---nn3t,βλαστήματος,βλάστημα,0
18898,β00957,βλαστημός,n,----------,,βλαστημός,0
18900,β00959,βλάστησις,n,n-s---fn3v,βλαστησέως,βλάστησις,0
18902,β00961,βλαστικός,a,aps---mn1-,βλαστικός βλαστική βλαστικόν,βλαστικός,0
18903,β00962,βλαστοδρεπής,a,aps---cn5s,βλαστοδρεπής βλαστοδρεπής βλαστοδρεπές,βλαστοδρεπής,0
18904,β00963,βλαστοκοπέω,v,----------,,βλαστοκοπέω,0
18905,β00964,βλαστολογέω,v,----------,,βλαστολογέω,0
18906,β00965,βλαστόν,n,----------,,βλαστόν,0
18907,β00966,βλαστός,n,----------,,βλαστός,0
18908,β00967,βλαστοφυέω,v,----------,,βλαστοφυέω,0
18909,β00968,βλαστόω,v,----------,,βλαστόω,0
18910,β00969,βλασφημέω,v,----------,,βλασφημέω,0
18913,β00972,βλάττα,n,n-s---fn1l,βλάττας,βλάττα,0
18914,β00973,βλαύτη,n,n-s---fn1e,βλαύτης,βλαύτη,0
18916,β00975,βλαυτόω,v,----------,,βλαυτόω,0
18917,β00976,βλάχνον,n,n-s---nn2-,βλάχνου,βλάχνον,0
18918,β00977,βλάψις,n,n-s---fn3v,βλάψεως,βλάψις,0
18919,β00978,βλαψίταφος,n,----------,,βλαψίταφος,0
18921,β00980,βλεαίρει,n,----------,,βλεαίρει,0
18922,β00981,βλέθρα,n,----------,,βλέθρα,0
18923,β00982,βλεμεαίνω,v,----------,,βλεμεαίνω,0
18870,β00927,βλάβη,n,n-s---fn1e,βλάβης,βλάβη,0
18929,β00988,βλέορον,n,----------,,βλέορον,0
18930,β00989,βλεπεδαίμων,a,aps---cn3n,βλεπεδαίμων βλεπεδαίμων βλεπεδαίμον,βλεπεδαίμων,0
18931,β00990,βλέπησις,n,n-s---fn3v,βλεπησέως,βλέπησις,0
18932,β00991,βλέπος,n,n-s---nn3c,βλέπους,βλέπος,0
18933,β00992,βλεπτέον,v,----------,,βλεπτέον,0
18934,β00993,βλεπτικός,a,aps---mn1-,βλεπτικός βλεπτική βλεπτικόν,βλεπτικός,0
18935,β00994,βλεπτός,a,aps---mn1-,βλεπτός βλεπτή βλεπτόν,βλεπτός,0
18936,β00995,βλέπω,v,----------,,βλέπω,0
18937,β00996,βλεφαρίζω,v,----------,,βλεφαρίζω,0
18940,β01004,βλεφαρῖτις,n,n-s---fn3d,βλεφαρίτιδος,βλεφαρῖτις,0
18942,β01000,βλέφαρον,n,n-s---nn2-,βλεφάρου,βλέφαρον,0
18944,β01002,βλεφαροσπάξ,a,----------,,βλεφαροσπάξ,0
18945,β01003,βλεφαροτό,n,----------,,βλεφαροτό,0
18946,β01005,βλεψίας,n,n-s---mn1a,βλεψίου,βλεψίας,0
18947,β01006,βλέψις,n,n-s---fn3v,βλέψεως,βλέψις,0
18948,β01007,βλήδην,r,----------,,βλήδην,0
18949,β01008,βλήθα,n,----------,,βλήθα,0
18950,β01042,βλῆμα,n,n-s---nn3t,βλήματος,βλῆμα,0
18951,β01009,βλήμενος,n,----------,,βλήμενος,0
18952,β01052,βλῆρ,n,----------,,βλῆρ,0
18953,β01010,βλής,n,----------,,βλής,0
18954,β01053,βλῆσθαι,n,----------,,βλῆσθαι,0
18955,β01011,βληστρίζω,v,----------,,βληστρίζω,0
18956,β01012,βληστρισμός,n,----------,,βληστρισμός,0
18957,β01013,βλήτειρα,n,n-s---fn1s,βλήτειρας,βλήτειρα,0
18958,β01014,βλητέον,v,----------,,βλητέον,0
18959,β01015,βλητικόν,n,----------,,βλητικόν,0
18960,β01055,βλῆτο,n,----------,,βλῆτο,0
18961,β01056,βλῆτον,n,----------,,βλῆτον,0
18964,β01017,βληχάζω,v,----------,,βληχάζω,0
18965,β01018,βληχάομαι,v,----------,,βληχάομαι,0
18966,β01019,βληχάς,n,n-s---fn3d,βληχάδος,βληχάς,0
18967,β01020,βληχή,n,n-s---fn1e,βληχῆς,βληχή,0
18968,β01021,βληχηθμός,n,----------,,βληχηθμός,0
18970,β01023,βληχητά,n,----------,,βληχητά,0
18971,β01063,βλῆχνον,n,n-s---nn2-,βλήχνου,βλῆχνον,0
18973,β01065,βλῆχρος,n,----------,,βλῆχρος,0
18974,β01064,βλῆχρον,n,----------,,βλῆχρον,0
18976,β01026,βλήχων,n,----------,,βλήχων,0
18977,β01027,βληχωνίας,n,n-s---mn1a,βληχωνίου,βληχωνίας,0
18978,β01028,βληχώνιον,n,n-s---nn2-,βληχωνίου,βληχώνιον,0
18979,β01029,βλιμάζω,v,----------,,βλιμάζω,0
18980,β01030,βλίμασις,n,n-s---fn3v,βλιμασέως,βλίμασις,0
18981,β01031,βλιστηρίς,n,n-s---fn3d,βλιστηρίδος,βλιστηρίς,0
18925,β00984,βλέννα,n,n-s---fn1l,βλέννας,βλέννα,0
18985,β01035,βλίτον,n,n-s---nn2-,βλίτου,βλίτον,0
18986,β01036,βλίττω,v,----------,,βλίττω,0
18987,β01037,βλίτυρι,n,----------,,βλίτυρι,0
18988,β01038,βλιτυρίζομαι,v,----------,,βλιτυρίζομαι,0
18989,β01039,βλίτυρον,n,----------,,βλίτυρον,0
18991,β01041,βλιχώδης,a,aps---cn3s,βλιχώδης βλιχώδης βλιχώ͂δες,βλιχώδης,0
18993,β01045,βλοσυρός,a,----------,,βλοσυρός,0
18994,β01046,βλοσυρότης,n,n-s---fn3t,βλοσυρότητος,βλοσυρότης,0
18995,β01047,βλοσυρόφρων,a,aps---cn3n,βλοσυρόφρων βλοσυρόφρων βλοσυρόφρον,βλοσυρόφρων,0
18996,β01049,βλοσυρώπης,n,n-s---mn1e,βλοσυρώπου,βλοσυρώπης,0
18997,β01048,βλοσυρῶπις,n,n-s---fn3d,βλοσυρώπιδος,βλοσυρῶπις,0
18999,β01051,βλόχον,n,----------,,βλόχον,0
19000,β01058,βλύζω,v,----------,,βλύζω,0
19001,β01059,βλύσις,a,----------,,βλύσις,0
19002,β01060,βλυστάνω,v,----------,,βλυστάνω,0
19003,β01061,βλυχάζω,v,----------,,βλυχάζω,0
19004,β01062,βλύω,v,----------,,βλύω,0
19006,β01067,βλωμός,n,----------,,βλωμός,0
19007,β01068,βλωρός,n,----------,,βλωρός,0
19008,β01054,βλῶσις,n,n-s---fn3v,βλώσεως,βλῶσις,0
19009,β01069,βλώσκω,v,----------,,βλώσκω,0
19010,β01076,βόα,n,n-s---fn1l,βόας,βόα,0
19011,β01077,βοαγός,n,----------,,βοαγός,0
19012,β01078,βοάγριον,n,n-s---nn2-,βοαγρίου,βοάγριον,0
19013,β01079,βόαγρος,n,n-s---mn2-,βοάγρου,βόαγρος,0
19014,β01080,βοαθόος,n,----------,,βοαθόος,0
19015,β01081,βόαμα,n,n-s---nn3t,βοάματος,βόαμα,0
19017,β01083,βοάνθρωπος,n,n-s---mn2-,βοανθρώπου,βοάνθρωπος,0
19018,β01084,βόαξ,n,n-s---mn3e,βόακος,βόαξ,0
19019,β01085,βοάριος,a,aps---mn1-,βοάριος βοάρια βοάριον,βοάριος,0
19020,β01086,βοαρμία,n,n-s---fn1l,βοαρμίας,βοαρμία,0
19022,β01316,βοᾶτις,n,n-s---fn3d,βοάτιδος,βοᾶτις,0
19023,β01088,βοαύλιον,n,n-s---nn2-,βοαυλίου,βοαύλιον,0
19024,β01089,βόαυλος,n,n-s---mn2-,βοαύλου,βόαυλος,0
19025,β01090,βοάω,v,----------,,βοάω,0
19027,β01092,βοεικός,a,aps---mn1-,βοεικός βοεική βοεικόν,βοεικός,0
19028,β01093,βόειος,a,----------,,βόειος,0
19029,β01094,βοεύς,n,n-s---mn3v,βοέως,βοεύς,0
19030,β01095,βοή,n,n-s---fn1e,βοῆς,βοή,0
19032,β01097,βοήγια,n,----------,,βοήγια,0
19033,β01098,βοηγοί,n,----------,,βοηγοί,0
19034,β01099,βοηδόν,r,----------,,βοηδόν,0
19035,β01100,βοηδρομέω,v,----------,,βοηδρομέω,0
19036,β01101,βοηδρόμια,n,n-p---nn2-,βοηδρομίων,βοηδρόμια,0
19093,β01156,βολβίσκος,n,n-s---mn2-,βολβίσκου,βολβίσκος,0
18983,β01033,βλιτάχεα,n,n-p---nn2-,βλιταχέων,βλιτάχεα,0
19041,β01106,βοήθαρχος,n,n-s---mn2-,βοηθάρχου,βοήθαρχος,0
19042,β01107,βοήθεια,n,n-s---fn1s,βοήθειας,βοήθεια,0
19043,β01108,βοηθέω,v,----------,,βοηθέω,0
19045,β01110,βοηθηματικός,a,aps---mn1-,βοηθηματικός βοηθηματική βοηθηματικόν,βοηθηματικός,0
19046,β01111,βοηθήσιμος,a,aps---cn2-,βοηθήσιμος βοηθήσιμος βοηθήσιμον,βοηθήσιμος,0
19047,β01112,βοήθησις,n,n-s---fn3v,βοηθησέως,βοήθησις,0
19048,β01113,βοηθητέον,v,----------,,βοηθητέον,0
19050,β01115,βοηθόος,a,aps---cn2-,βοηθόος βοηθόος βοηθόον,βοηθόος,0
19051,β01116,βοηθοῦρα,n,n-s---fn1s,βοηθοῦρης,βοηθοῦρα,0
19053,β01120,βοηλατέω,v,----------,,βοηλατέω,0
19054,β01121,βοηλάτης,a,----------,,βοηλάτης,0
19056,β01123,βόημα,n,----------,,βόημα,0
19057,β01124,βοηνόμος,n,n-s---cn2-,βοηνόμου,βοηνόμος,0
19058,β01125,βόηξ,n,----------,,βόηξ,0
19059,β01126,βοήροτος,a,aps---cn2-,βοήροτος βοήροτος βοήροτον,βοήροτος,0
19060,β01127,βόησις,n,n-s---fn3v,βοησέως,βόησις,0
19061,β01128,βοητής,n,n-s---mn1e,βοητού,βοητής,0
19063,β01130,βοητός,a,aps---mn1-,βοητός βοητή βοητόν,βοητός,0
19064,β01131,βοητύς,n,n-s---fn3v,βοητύος,βοητύς,0
19065,β01132,βοθρεύω,v,----------,,βοθρεύω,0
19066,β01133,βοθρίον,n,n-s---nn2-,βοθρίου,βοθρίον,0
19067,β01134,βοθροειδής,a,aps---cn5s,βοθροειδής βοθροειδής βοθροειδές,βοθροειδής,0
19068,β01135,βόθρος,n,n-s---mn2-,βόθρου,βόθρος,0
19069,β01136,βοθρόω,v,----------,,βοθρόω,0
19070,β01137,βοθύνιον,n,n-s---nn2-,βοθυνίου,βοθύνιον,0
19071,β01138,βόθυνος,n,n-s---mn2-,βοθύνου,βόθυνος,0
19073,β01140,βοιδάριον,n,n-s---nn2-,βοιδαρίου,βοιδάριον,0
19074,β01141,βοίδης,n,n-s---mn1e,βοίδου,βοίδης,0
19075,β01142,βοίδιον,n,n-s---nn2-,βοιδίου,βοίδιον,0
19076,β01143,βοϊκός,n,----------,,βοϊκός,0
19077,β01144,βόϊνος,a,aps---mn1-,βόϊνος βοΐνη βόϊνον,βόϊνος,0
19078,β01145,βοιόν,n,----------,,βοιόν,0
19079,β01146,βοϊστί,r,----------,,βοϊστί,0
19082,β01147,βοιωτιάζω,v,----------,,βοιωτιάζω,0
19084,,Βοιωτός,n,n-s---mn2-,,Βοιωτός,0
19085,,Βοκόπια,n,n-p---nn2-,Βοκοπίων,Βοκόπια,0
19086,β01149,βολαῖος,a,aps---mn1-,βολαῖος βολαῖα βολαῖον,βολαῖος,0
19087,β01150,βολαυγέω,v,----------,,βολαυγέω,0
19088,β01151,βόλβα,n,n-s---fn1l,βόλβας,βόλβα,0
19089,β01152,βολβάριον,n,n-s---nn2-,βολβαρίου,βολβάριον,0
19090,β01153,βόλβιθος,n,n-s---mn2-,βολβίθου,βόλβιθος,0
19091,β01154,βολβίνη,n,n-s---fn1e,βολβίνης,βολβίνη,0
19092,β01155,βολβίον,n,n-s---nn2-,βολβίου,βολβίον,0
19097,β01160,βολβοκάστανον,n,n-s---nn2-,βολβοκαστάνου,βολβοκάστανον,0
19098,β01161,βολβός,n,----------,,βολβός,0
19099,β01162,βολβοτύνη,n,----------,,βολβοτύνη,0
19100,β01163,βολβοφακῆ,n,----------,,βολβοφακῆ,0
19102,β01165,βολβωρυχέω,v,----------,,βολβωρυχέω,0
19103,β01166,βολετισμός,n,----------,,βολετισμός,0
19104,β01167,βολέω,v,----------,,βολέω,0
19105,β01168,βολεών,n,n-s---mn3n,βολεῶνος,βολεών,0
19106,β01169,βολή,n,n-s---fn1e,βολῆς,βολή,0
19108,β01171,βολίζη,n,n-s---fn1e,βολίζης,βολίζη,0
19109,β01172,βολίζω,v,----------,,βολίζω,0
19110,β01173,βόλιμοι,n,----------,,βόλιμοι,0
19111,β01174,βόλιμος,n,----------,,βόλιμος,0
19112,β01175,βόλινθος,n,n-s---mn2-,βολίνθου,βόλινθος,0
19113,β01176,βόλιον,n,n-s---nn2-,βολίου,βόλιον,0
19114,β01177,βολίς,n,n-s---fn3d,βολίδος,βολίς,0
19116,β01179,βολίταινα,n,n-s---fn1s,βολίταινας,βολίταινα,0
19118,β01181,βόλιτον,n,n-s---nn2-,βολίτου,βόλιτον,0
19119,β01182,βόλλα,n,----------,,βόλλα,0
19120,β01183,βόλλομαι,v,----------,,βόλλομαι,0
19122,β01185,βολοί,n,----------,,βολοί,0
19123,β01186,βολοκτυπίη,n,n-s---fn1e,βολοκτυπίης,βολοκτυπίη,0
19124,β01187,βόλομαι,v,----------,,βόλομαι,0
19125,β01188,βόλος,n,n-s---mn2-,βόλου,βόλος,0
19126,β01189,βόλυβδος,n,n-s---mn2-,βολύβδου,βόλυβδος,0
19128,β01191,βομβάζω,v,----------,,βομβάζω,0
19129,β01192,βομβάξ,n,----------,,βομβάξ,0
19130,β01193,βομβαύλιος,n,n-s---mn2-,βομβαυλίου,βομβαύλιος,0
19131,β01194,βομβέω,v,----------,,βομβέω,0
19132,β01195,βομβηδόν,r,----------,,βομβηδόν,0
19133,β01196,βομβήεις,a,aps---mn4i,βομβήεις βομβήεσσα βομβήεν,βομβήεις,0
19134,β01197,βόμβησις,n,n-s---fn3v,βομβησέως,βόμβησις,0
19135,β01198,βομβητής,n,n-s---mn1e,βομβητού,βομβητής,0
19137,β01200,βόμβος,n,n-s---mn2-,βόμβου,βόμβος,0
19138,β01201,βομβόχυλον,n,----------,,βομβόχυλον,0
19139,β01202,βομβυκίας,a,----------,,βομβυκίας,0
19141,β01204,βομβύκιον,a,----------,,βομβύκιον,0
19143,β01206,βομβυλεύματα,n,n-p---nn2-,βομβυλευμάτων,βομβυλεύματα,0
19144,β01207,βομβύλη,n,n-s---fn1e,βομβύλης,βομβύλη,0
19145,,Βομβυλία,n,n-s---fn1l,Βομβυλίας,Βομβυλία,0
19146,β01208,βομβυλιάζω,v,----------,,βομβυλιάζω,0
19148,β01210,βομβυλιός,n,----------,,βομβυλιός,0
19149,β01211,βομβυλίς,n,n-s---fn3d,βομβυλίδος,βομβυλίς,0
19150,β01212,βόμβυξ,n,n-s---mn3e,βόμβυκος,βόμβυξ,0
19095,β01158,βόλβιτον,n,n-s---nn2-,βολβίτου,βόλβιτον,0
19153,β01215,βόνασος,n,n-s---mn2-,βονάσου,βόνασος,0
19154,β01217,βοοβοσκός,n,----------,,βοοβοσκός,0
19156,β01219,βοοζύγιον,n,n-s---nn2-,βοοζυγίου,βοοζύγιον,0
19157,β01220,βοοθύτης,n,n-s---mn1e,βοοθύτου,βοοθύτης,0
19158,β01221,βόοκλεψ,n,----------,,βόοκλεψ,0
19159,β01222,βοοκλόπος,a,aps---cn2-,βοοκλόπος βοοκλόπος βοοκλόπον,βοοκλόπος,0
19160,β01223,βοόκραιρος,a,aps---cn2-,βοόκραιρος βοόκραιρος βοόκραιρον,βοόκραιρος,0
19161,β01224,βοοκτασία,n,n-s---fn1l,βοοκτασίας,βοοκτασία,0
19163,β01226,βοονόμος,n,n-s---mn2-,βοονόμου,βοονόμος,0
19166,β01229,βοοσσόος,a,aps---cn2-,βοοσσόος βοοσσόος βοοσσόον,βοοσσόος,0
19167,β01230,βοοστάσιον,n,n-s---nn2-,βοοστασίου,βοοστάσιον,0
19168,β01231,βοόστασις,n,n-s---fn3v,βοοστασέως,βοόστασις,0
19169,β01232,βοόστικτος,a,aps---cn2-,βοόστικτος βοόστικτος βοόστικτον,βοόστικτος,0
19170,β01233,βοόστολος,a,aps---cn2-,βοόστολος βοόστολος βοόστολον,βοόστολος,0
19171,β01234,βοοσφαγία,n,n-s---fn1l,βοοσφαγίας,βοοσφαγία,0
19172,β01235,βοοτρόφος,a,aps---cn2-,βοοτρόφος βοοτρόφος βοοτρόφον,βοοτρόφος,0
19173,β01236,βοόω,v,----------,,βοόω,0
19174,β01238,βορά,n,n-s---fn1l,βορᾶς,βορά,0
19175,β01239,βοράζω,v,----------,,βοράζω,0
19176,β01240,βόρασσος,n,n-s---mn2-,βοράσσου,βόρασσος,0
19177,β01241,βόρατον,n,n-s---nn2-,βοράτου,βόρατον,0
19178,β01242,βοράω,v,----------,,βοράω,0
19180,β01244,βορβορισμός,n,----------,,βορβορισμός,0
19181,β01252,βορβορῖται,n,----------,,βορβορῖται,0
19184,β01247,βορβορόπη,n,n-s---fn1e,βορβορόπης,βορβορόπη,0
19185,β01248,βόρβορος,n,n-s---mn2-,βορβόρου,βόρβορος,0
19187,β01250,βορβοροφόρβα,a,----------,,βορβοροφόρβα,0
19188,β01251,βορβορόω,v,----------,,βορβορόω,0
19189,β01253,βορβορυγμός,n,n-s---mn2-,,βορβορυγμός,0
19190,β01254,βορβορώδης,a,aps---cn3s,βορβορώδης βορβορώδης βορβορώ͂δες,βορβορώδης,0
19191,β01255,βορβόρωσις,n,n-s---fn3v,βορβορωσέως,βορβόρωσις,0
19192,β01256,βορβύλα,n,n-s---fn1l,βορβύλας,βορβύλα,0
19193,,Βορεάδης,n,n-s---mn1e,Βορεάδου,Βορεάδης,0
19194,,Βορέας,n,----------,,Βορέας,0
19196,,Βορεασμός,n,----------,,Βορεασμός,0
19197,,Βορέηθεν,r,----------,,Βορέηθεν,0
19198,,Βορέηνδε,r,----------,,Βορέηνδε,0
19199,,Βορεῆτις,n,n-s---fn3d,Βορεήτιδος,Βορεῆτις,0
19202,,Βορειόθεν,r,----------,,Βορειόθεν,0
19203,β01259,βόρειος,a,----------,,βόρειος,0
19204,β01260,βορεύς,n,----------,,βορεύς,0
19152,β01214,βομβών,n,n-s---mn3n,βομβῶνος,βομβών,0
19208,β01262,βοριαῖος,a,aps---mn1-,βοριαῖος βοριαῖα βοριαῖον,βοριαῖος,0
19209,β01263,βόρμαξ,n,----------,,βόρμαξ,0
19210,β01264,βόρμος,n,n-s---mn2-,βόρμου,βόρμος,0
19212,β01267,βορός,a,aps---mn1-,βορός βορά βορόν,βορός,0
19213,β01266,βορός,n,----------,,βορός,0
19214,,Βορρᾶθεν,r,----------,,Βορρᾶθεν,0
19215,α00006,α,a,aps---mn1-,α α ον,α,0
19216,,Βορραπηλιώτης,n,n-s---mn1e,Βορραπηλιώτου,Βορραπηλιώτης,0
19217,,Βορρᾶς,n,n-s---mn1-,,Βορρᾶς,0
19218,β01268,βορρόλιψ,n,----------,,βορρόλιψ,0
19219,β01269,βόρυβος,n,----------,,βόρυβος,0
19220,β01270,βόρυες,n,----------,,βόρυες,0
19221,,Βορυσθένης,n,n-s---mn3-,,Βορυσθένης,0
19222,β01272,βόσις,n,n-s---fn3v,βόσεως,βόσις,0
19223,β01273,βοσκάδιος,n,----------,,βοσκάδιος,0
19224,β01274,βοσκάς,n,n-s---fn3d,βοσκάδος,βοσκάς,0
19226,β01276,βοσκή,n,n-s---fn1e,βοσκῆς,βοσκή,0
19227,β01277,βόσκημα,n,n-s---nn3t,βοσκήματος,βόσκημα,0
19229,β01279,βόσκησις,n,n-s---fn3v,βοσκησέως,βόσκησις,0
19230,β01280,βοσκητέον,v,----------,,βοσκητέον,0
19231,β01281,βοσκήτωρ,n,n-s---mn3r,βοσκήτορος,βοσκήτωρ,0
19232,β01282,βοσκός,n,----------,,βοσκός,0
19233,β01283,βόσκω,v,----------,,βόσκω,0
19236,β01287,βοσπόριος,a,aps---mn1-,βοσπόριος βοσπόρια βοσπόριον,βοσπόριος,0
19237,β01286,βοσπορεῖον,n,n-s---nn2-,βοσπορείου,βοσπορεῖον,0
19238,β01288,βοσπορίτης,n,n-s---mn1e,βοσπορίτου,βοσπορίτης,0
19239,β01285,βοσπορανός,n,----------,,βοσπορανός,0
19240,β01290,βοστρυχηδόν,r,----------,,βοστρυχηδόν,0
19241,β01291,βοστρυχίζω,v,----------,,βοστρυχίζω,0
19243,β01293,βοστρυχίτης,a,----------,,βοστρυχίτης,0
19246,β01296,βοστρυχώδης,a,aps---cn3s,βοστρυχώδης βοστρυχώδης βοστρυχώ͂δες,βοστρυχώδης,0
19247,β01297,βοτάμια,n,n-p---nn2-,βοταμίων,βοτάμια,0
19248,β01298,βοτάνη,n,n-s---fn1e,βοτάνης,βοτάνη,0
19249,β01299,βοτάνηθεν,r,----------,,βοτάνηθεν,0
19250,β01300,βοτανηφάγος,a,----------,,βοτανηφάγος,0
19252,β01302,βοτανίδιον,n,n-s---nn2-,βοτανιδίου,βοτανίδιον,0
19253,β01303,βοτανίζω,v,----------,,βοτανίζω,0
19254,β01304,βοτανικός,a,aps---mn1-,βοτανικός βοτανική βοτανικόν,βοτανικός,0
19255,β01305,βοτάνιον,n,n-s---nn2-,βοτανίου,βοτάνιον,0
19256,β01306,βοτανισμός,n,----------,,βοτανισμός,0
19258,β01308,βοτανολογία,n,n-s---fn1l,βοτανολογίας,βοτανολογία,0
19259,β01309,βοτανολόγος,n,n-s---mn2-,βοτανολόγου,βοτανολόγος,0
19207,,Βορθεία,n,n-s---fn1l,Βορθείας,Βορθεία,0
19263,β01313,βοτήρ,n,n-s---mn3r,βοτῆρος,βοτήρ,0
19265,β01315,βότης,n,n-s---mn1e,βότου,βότης,0
19266,β01318,βότις,v,----------,,βότις,0
19267,β01319,βοτόν,n,----------,,βοτόν,0
19268,β01320,βότραχος,n,----------,,βότραχος,0
19269,β01321,βοτρεύς,n,n-s---mn3v,βοτρέως,βοτρεύς,0
19270,β01322,βοτρύδιον,a,----------,,βοτρύδιον,0
19271,β01323,βοτρυδόν,r,----------,,βοτρυδόν,0
19274,β01326,βοτρύϊος,a,aps---mn1-,βοτρύϊος βοτρύϊα βοτρύϊον,βοτρύϊος,0
19275,β01327,βοτρυί̈της,n,n-s---cn1e,βοτρυί̈του,βοτρυί̈της,0
19276,β01328,βοτρυόδωρος,a,aps---cn2-,βοτρυόδωρος βοτρυόδωρος βοτρυόδωρον,βοτρυόδωρος,0
19277,β01329,βοτρυοειδής,a,aps---cn5s,βοτρυοειδής βοτρυοειδής βοτρυοειδές,βοτρυοειδής,0
19280,β01332,βότρυον,n,n-s---nn2-,βοτρύου,βότρυον,0
19281,β01333,βοτρυόομαι,v,----------,,βοτρυόομαι,0
19282,β01334,βοτρυόπαις,n,----------,,βοτρυόπαις,0
19283,β01335,βοτρυοσταγής,a,aps---cn5s,βοτρυοσταγής βοτρυοσταγής βοτρυοσταγές,βοτρυοσταγής,0
19284,β01336,βοτρυοστέφανος,a,aps---cn2-,βοτρυοστέφανος βοτρυοστέφανος βοτρυοστέφανον,βοτρυοστέφανος,0
19285,β01337,βοτρυοφορέω,v,----------,,βοτρυοφορέω,0
19286,β01338,βοτρυοχαίτης,n,n-s---mn1e,βοτρυοχαίτου,βοτρυοχαίτης,0
19287,β01339,βότρυς,n,n-s---mn3s,βότρυος,βότρυς,0
19288,β01340,βότρυχος,n,n-s---mn2-,βοτρύχου,βότρυχος,0
19291,β01343,βου,a,----------,,βου,0
19292,β01075,βοῦα,n,n-s---fn1s,βοῦης,βοῦα,0
19293,β01344,βουβάλειος,n,----------,,βουβάλειος,0
19294,β01345,βουβάλια,n,n-s----n--,,βουβάλια,0
19295,β01346,βούβαλις,n,n-s---fn3v,βουβάλιος,βούβαλις,0
19296,β01347,βούβαλος,n,n-s---mn2-,βουβάλου,βούβαλος,0
19297,β01348,βουβάρας,n,----------,,βουβάρας,0
19298,β01351,βούβαστις,n,----------,,βούβαστις,0
19299,β01349,βουβαστεῖον,n,n-s---nn2-,βουβαστείου,βουβαστεῖον,0
19300,β01350,βουβάστια,n,n-p---nn2-,βουβαστίων,βουβάστια,0
19301,β01352,βούβαστις,n,----------,,βούβαστις,0
19303,β01359,βουβῆτις,n,n-s---fn3v,βουβήτιος,βουβῆτις,0
19304,β01354,βουβόσιον,n,n-s---nn2-,βουβοσίου,βουβόσιον,0
19305,β01355,βούβοσις,n,n-s---fn3v,βουβοσέως,βούβοσις,0
19306,β01356,βουβότης,n,n-s---mn1e,βουβότου,βουβότης,0
19308,β01358,βούβρωστις,n,n-s---fn3v,βουβρωστέως,βούβρωστις,0
19309,β01360,βουβών,n,n-s---mn3n,βουβῶνος,βουβών,0
19311,β01362,βουβωνιασκόπος,n,n-s---mn2-,βουβωνιασκόπου,βουβωνιασκόπος,0
19312,β01363,βουβωνιάω,v,----------,,βουβωνιάω,0
19313,β01364,βουβώνιον,n,n-s---nn2-,βουβωνίου,βουβώνιον,0
19262,β01312,βοτέω,v,----------,,βοτέω,0
19317,β01368,βουβωνόομαι,v,----------,,βουβωνόομαι,0
19320,β01371,βουγάϊος,a,----------,,βουγάϊος,0
19321,β01372,βουγενής,a,aps---cn5s,βουγενής βουγενής βουγενές,βουγενής,0
19322,β01373,βούγλωσσον,n,n-s---nn2-,βουγλώσσου,βούγλωσσον,0
19323,β01374,βούγλωσσος,n,----------,,βούγλωσσος,0
19324,β01375,βουγονής,a,aps---cn5s,βουγονής βουγονής βουγονές,βουγονής,0
19325,β01376,βουδεψήϊον,n,n-s---nn2-,βουδεψηΐου,βουδεψήϊον,0
19326,β01377,βούδιον,n,n-s---nn2-,βουδίου,βούδιον,0
19327,β01378,βουδόκος,a,aps---cn2-,βουδόκος βουδόκος βουδόκον,βουδόκος,0
19328,β01379,βουδόρος,a,aps---cn2-,βουδόρος βουδόρος βουδόρον,βουδόρος,0
19329,β01380,βουδύτης,n,n-s---mn1e,βουδύτου,βουδύτης,0
19330,β01381,βουζύγης,n,n-s---mn1e,βουζύγου,βουζύγης,0
19331,β01382,βουζύγιος,n,n-s---mn2-,βουζυγίου,βουζύγιος,0
19334,β01385,βουθοίνης,n,n-s---mn1e,βουθοίνου,βουθοίνης,0
19335,β01387,βουθόρος,a,aps---cn2-,βουθόρος βουθόρος βουθόρον,βουθόρος,0
19336,β01386,βούθορος,n,----------,,βούθορος,0
19337,β01388,βούθουτον,n,n-s---nn2-,βουθούτου,βούθουτον,0
19338,β01389,βουθυσία,n,n-s---fn1l,βουθυσίας,βουθυσία,0
19339,β01390,βουθύσιον,n,n-s---nn2-,βουθυσίου,βουθύσιον,0
19340,β01391,βουθυτέω,v,----------,,βουθυτέω,0
19341,β01392,βουθύτης,n,n-s---mn1e,βουθύτου,βουθύτης,0
