,ἀτρύμων,a,aps---cn3n,ἀτρύμων ἀτρύμων ἀτρύμον,ἀτρύμων,0
16505,α00371,αὐλοποιός,n,----------,,αὐλοποιός,0
16506,α00373,αὐλός,n,n-s---mn2-,αὐλοῦ,αὐλός,0
16507,α16844,ἄϋλος,a,----------,,ἄϋλος,0
16508,α00374,αὐλοστατέω,v,----------,,αὐλοστατέω,0
16509,α16845,ἀϋλότης,n,n-s---fn3t,ἀϋλότητος,ἀϋλότης,0
16457,α00310,αὐλακισμός,n,----------,,αὐλακισμός,0
16513,α00319,αὐλῳδέω,v,----------,,αὐλῳδέω,0
16514,α00320,αὐλῳδία,n,n-s---fn1l,αὐλῳδίας,αὐλῳδία,0
16516,α00322,αὐλῳδός,n,----------,,αὐλῳδός,0
16517,α00386,αὐλών,n,----------,,αὐλών,0
16518,,Αὐλωνεύς,n,n-s---mn3v,Αὐλωνέως,Αὐλωνεύς,0
16520,α00388,αὐλωνίζω,v,----------,,αὐλωνίζω,0
16521,α00389,αὐλωνίσκος,n,n-s---mn2-,αὐλωνίσκου,αὐλωνίσκος,0
16523,α00391,αὐλωπίας,n,----------,,αὐλωπίας,0
16524,α00385,αὐλῶπις,n,n-s---fn3d,αὐλώπιδος,αὐλῶπις,0
16525,α00392,αὐλωπός,n,----------,,αὐλωπός,0
16527,α00518,αὐνή,n,n-s---fn1e,αὐνῆς,αὐνή,0
16528,α00579,αὐξάνιος,n,----------,,αὐξάνιος,0
16529,α00580,αὐξάνω,v,----------,,αὐξάνω,0
16530,α00581,αὔξη,n,n-s---fn1e,αὔξης,αὔξη,0
16531,α00582,αὔξημα,n,n-s---nn3t,αὐξήματος,αὔξημα,0
16532,α00583,αὐξηρός,a,aps---cn2-,αὐξηρός αὐξηρός αὐξηρόν,αὐξηρός,0
16533,α00584,αὐξησία,n,n-s---fn1l,αὐξησίας,αὐξησία,0
16534,α00585,αὔξησις,n,n-s---fn3v,αὐξησέως,αὔξησις,0
16535,α00586,αὐξησίφως,a,----------,,αὐξησίφως,0
16536,α00587,αὐξητέον,a,----------,,αὐξητέον,0
16537,α00588,αὐξητής,n,n-s---mn1e,αὐξητού,αὐξητής,0
16539,α00590,αὐξητός,a,aps---cn2-,αὐξητός αὐξητός αὐξητόν,αὐξητός,0
16540,α00591,αὔξι,n,----------,,αὔξι,0
16541,α00592,αὐξίδημος,n,----------,,αὐξίδημος,0
16543,α00594,αὐξικέρως,a,----------,,αὐξικέρως,0
16545,α00596,αὖξις,n,n-s---fn3v,αὔξεως,αὖξις,0
16546,α00597,αὐξίς,n,n-s---fn3d,αὐξίδος,αὐξίς,0
16547,α00598,αὐξίτροφος,n,----------,,αὐξίτροφος,0
16548,α00599,αὐξιφαής,a,aps---cn5s,αὐξιφαής αὐξιφαής αὐξιφαές,αὐξιφαής,0
16549,α00600,αὐξίφωνος,a,aps---cn2-,αὐξίφωνος αὐξίφωνος αὐξίφωνον,αὐξίφωνος,0
16550,α00601,αὐξιφωτέω,v,----------,,αὐξιφωτέω,0
16551,α00602,αὐξιφωτία,n,n-s---fn1l,αὐξιφωτίας,αὐξιφωτία,0
16553,α00604,αὐξοβίος,n,----------,,αὐξοβίος,0
16554,α00605,αὐξομειόω,v,----------,,αὐξομειόω,0
16555,α00606,αὐξομείωσις,n,n-s---fn3v,αὐξομειωσέως,αὐξομείωσις,0
16556,α00607,αὐξοσέληνον,n,n-s---nn2-,αὐξοσελήνου,αὐξοσέληνον,0
16557,α00608,αὐξύνω,v,----------,,αὐξύνω,0
