id,uri,lemma,pos,morpho,principal_parts,prosody,validated
9033,α09643,ἀντεξαιτέω,v,----------,,ἀντεξαιτέω,0
9046,α09656,ἀντεξιππεύω,v,----------,,ἀντεξιππεύω,0
9057,α09667,ἀντεπανάγομαι,v,----------,,ἀντεπανάγομαι,0
9074,α09684,ἀντεπερώτησις,n,n-s---fn3v,ἀντεπερωτησέως,ἀντεπερώτησις,0
9095,α09705,ἀντεπίρρημα,n,n-s---nn3t,ἀντεπιρρήματος,ἀντεπίρρημα,0
9101,α09711,ἀντεπιστέλλω,v,----------,,ἀντεπιστέλλω,0
9111,α09721,ἀντεπιχειρέω,v,----------,,ἀντεπιχειρέω,0
9157,α09768,ἀντήεις,a,aps---mn4i,ἀντήεις ἀντήεσσα ἀντήεν,ἀντήεις,0
9170,α09781,ἀντήχημα,n,n-s---nn3t,ἀντηχήματος,ἀντήχημα,0
9189,α09801,ἀντιβασιλεύς,n,n-s---mn3v,ἀντιβασιλέως,ἀντιβασιλεύς,0
9199,α09811,ἀντίβιος,a,aps---mn1-,ἀντίβιος ἀντίβια ἀντίβιον,ἀντίβιος,0
9212,α09824,ἀντιβολία,n,n-s---fn1l,ἀντιβολίας,ἀντιβολία,0
9213,α09825,ἀντίβολον,n,n-s---nn2-,ἀντιβόλου,ἀντίβολον,0
9236,α09848,ἀντιγραφικός,a,aps---mn1-,ἀντιγραφικός ἀντιγραφική ἀντιγραφικόν,ἀντιγραφικός,0
9260,α09871,ἀντιδιαίρεσις,n,n-s---fn3v,ἀντιδιαιρεσέως,ἀντιδιαίρεσις,0
9265,α09876,ἀντιδιαλέγομαι,v,----------,,ἀντιδιαλέγομαι,0
9266,α09877,ἀντιδιαλλάσσομαι,v,----------,,ἀντιδιαλλάσσομαι,0
9284,α09895,ἀντιδιήγησις,n,n-s---fn3v,ἀντιδιηγησέως,ἀντιδιήγησις,0
9300,α09911,ἀντίδοξος,a,aps---cn2-,ἀντίδοξος ἀντίδοξος ἀντίδοξον,ἀντίδοξος,0
9317,α09928,ἀντιζεύγνυμι,v,----------,,ἀντιζεύγνυμι,0
9368,α09979,ἀντικατάδυσις,n,n-s---fn3v,ἀντικαταδυσέως,ἀντικατάδυσις,0
9372,α09983,ἀντικαταλέγω,v,----------,,ἀντικαταλέγω,0
8769,α09376,ἄνοχλος,a,aps---cn2-,ἄνοχλος ἄνοχλος ἄνοχλον,ἄνοχλος,0
6966,α07588,ἀνασκεπτέον,a,----------,,ἀνασκεπτέον,0
7631,α08250,ἀνεκτότης,n,n-s---fn3t,ἀνεκτότητος,ἀνεκτότης,0
8794,α09402,ἀνταγωνιστής,n,n-s---mn1e,ἀνταγωνιστού,ἀνταγωνιστής,0
