8,ὑλονόμος,a,aps---cn2-,ὑλονόμος ὑλονόμος ὑλονόμον,,,,,0
173,α01540,ἀβρωσία,n,n-s---fn1l,ἀβρωσίας,,,,,0
179,α01545,ἀβύρσευτος,a,aps---cn2-,ἀβύρσευτος ἀβύρσευτος ἀβύρσευτον,,,,,0
196,α01563,ἀγαθίδιον,n,n-s---nn2-,ἀγαθιδίου,,,,,0
201,α01568,ἀγαθοδαιμονητικός,a,aps---mn1-,ἀγαθοδαιμονητικός ἀγαθοδαιμονητική ἀγαθοδαιμονητικόν,,,,,0
213,α01580,ἀγαθοθελής,a,aps---cn5s,ἀγαθοθελής ἀγαθοθελής ἀγαθοθελές,,,,,0
224,α01591,ἀγαθοφανής,a,aps---cn5s,ἀγαθοφανής ἀγαθοφανής ἀγαθοφανές,,,,,0
243,α01608,ἀγαλλίαμα,n,----------,,,,,,0
249,α01614,ἀγαλματίας,n,n-s---mn1a,ἀγαλματίου,,,,,0
255,α01620,ἀγαλματοποιί̈α,n,n-s---fn1l,ἀγαλματοποιί̈ας,,,,,0
260,α01625,ἀγαλματουργός,a,aps---cn2-,ἀγαλματουργός ἀγαλματουργός ἀγαλματουργόν,,,,,0
274,α01638,ἀγάμετος,a,aps---cn2-,ἀγάμετος ἀγάμετος ἀγάμετον,,,,,0
282,α01646,ἀγανακτητικός,a,aps---mn1-,ἀγανακτητικός ἀγανακτητική ἀγανακτητικόν,,,,,0
286,α01650,ἀγανοβλέφαρος,a,aps---cn2-,ἀγανοβλέφαρος ἀγανοβλέφαρος ἀγανοβλέφαρον,,,,,0
303,α01669,ἀγαπητέος,a,aps---mn1-,ἀγαπητέος ἀγαπητέα ἀγαπητέον,,,,,0
318,α01684,ἀγάσυρτος,n,n-s---mn2-,ἀγασύρτου,,,,,0
325,α01691,ἀγάφθεγκτος,a,aps---cn2-,ἀγάφθεγκτος ἀγάφθεγκτος ἀγάφθεγκτον,,,,,0
347,α01712,ἀγγέλτειρα,n,n-s---fn1s,ἀγγέλτειρας,,,,,0
356,α01724,ἀγέγωνος,a,aps---cn2-,ἀγέγωνος ἀγέγωνος ἀγέγωνον,,,,,0
365,α01733,ἀγελαιοκομικός,a,aps---mn1-,ἀγελαιοκομικός ἀγελαιοκομική ἀγελαιοκομικόν,,,,,0
384,α01752,ἀγέληθεν,r,----------,,,,,,0
401,α01769,ἀγένητος,a,aps---cn2-,ἀγένητος ἀγένητος ἀγένητον,,,,,0
414,α01782,ἀγερμοσύνη,n,n-s---fn1e,ἀγερμοσύνης,,,,,0
424,α01791,ἀγευστία,n,n-s---fn1l,ἀγευστίας,,,,,0
436,α01803,ἀγήλατος,a,aps---cn2-,ἀγήλατος ἀγήλατος ἀγήλατον,,,,,0
452,α01818,ἀγησίχορος,a,aps---cn2-,ἀγησίχορος ἀγησίχορος ἀγησίχορον,,,,,0
465,α01830,ἁγιολόγος,a,aps---cn2-,ἁγιολόγος ἁγιολόγος ἁγιολόγον,,,,,0
477,α01842,ἁγιωσύνη,n,n-s---fn1e,ἁγιωσύνης,,,/ha.ɡi.ɔː.sý.nɛː/,,0
490,α01855,ἄγκαλος,n,n-s---mn2-,ἀγκάλου,,,,,0
494,α01859,ἀγκιστρευτικός,a,aps---mn1-,ἀγκιστρευτικός ἀγκιστρευτική ἀγκιστρευτικόν,,,,,0
502,α01867,ἀγκιστροφάγος,a,aps---cn2-,ἀγκιστροφάγος ἀγκιστροφάγος ἀγκιστροφάγον,,,,,0
517,α01882,ἀγκυλητός,a,aps---mn1-,ἀγκυλητός ἀγκυλητή ἀγκυλητόν,,,,,0
526,α01891,ἀγκυλόδειρος,a,aps---cn2-,ἀγκυλόδειρος ἀγκυλόδειρος ἀγκυλόδειρον,,,,,0
537,α01902,ἀγκυλότοξος,a,aps---cn2-,ἀγκυλότοξος ἀγκυλότοξος ἀγκυλότοξον,,,,,0
549,α01914,ἀγκυρίτης,n,----------,,,,,,0
552,α01917,ἀγκυροειδής,a,aps---cn5s,ἀγκυροειδής ἀγκυροειδής ἀγκυροειδές,,,,,0
566,α01931,ἀγλαέθειρος,a,aps---cn2-,ἀγλαέθειρος ἀγλαέθειρος ἀγλαέθειρον,,,,,0
575,α01940,ἀγλαοεργός,a,aps---cn2-,ἀγλαοεργός ἀγλαοεργός ἀγλαοεργόν,,,,,0
584,α01949,ἀγλαόμορφος,a,aps---cn2-,ἀγλαόμορφος ἀγλαόμορφος ἀγλαόμορφον,,,,,0
596,α01961,ἀγλαόφοιτος,a,aps---cn2-,ἀγλαόφοιτος ἀγλαόφοιτος ἀγλαόφοιτον,,,,,0
608,α01973,ἄγλισχρος,a,aps---cn2-,ἄγλισχρος ἄγλισχρος ἄγλισχρον,,,,,0
626,α01991,ἁγνεών,n,n-s---mn3n,ἁγνεῶνος,,,,,0
632,α01997,ἁγνιστέος,a,aps---mn1-,ἁγνιστέος ἁγνιστέα ἁγνιστέον,,,,,0
642,α02007,ἀγνοητικός,a,aps---mn1-,ἀγνοητικός ἀγνοητική ἀγνοητικόν,,,,,0
648,α02013,ἁγνοπολέομαι,v,----------,,,,,,0
659,α02024,ἀγνύς,n,n-s---fn3d,ἀγνῦθος,,,,,0
664,α02029,ἀγνώμων,a,aps---cn3n,ἀγνώμων ἀγνώμων ἀγνώμον,,,,,0
676,α02041,ἀγοήτευτος,a,aps---cn2-,ἀγοήτευτος ἀγοήτευτος ἀγοήτευτον,,,,,0
688,α02052,ἀγορανομικός,a,----------,,,,,,0
699,α02064,ἀγοραστικός,a,aps---mn1-,ἀγοραστικός ἀγοραστική ἀγοραστικόν,,,,,0
712,α02075,ἀγορητής,n,n-s---mn1e,ἀγορητού,,,,,0
724,α02093,ἀγραῖος,a,aps---mn1-,ἀγραῖος ἀγραῖα ἀγραῖον,,,,,0
733,α02098,ἄγραυλος,a,aps---cn2-,ἄγραυλος ἄγραυλος ἄγραυλον,,,,,0
747,α02111,ἄγρευμα,n,----------,,,,,,0
749,α02113,ἀγρεύσιμος,a,aps---mn1-,ἀγρεύσιμος ἀγρευσίμη ἀγρεύσιμον,,,,,0
767,α02132,ἀγρίδιον,n,n-s---nn2-,ἀγριδίου,,,,,0
776,α02141,ἀγριοαππίδιον,n,n-s---nn2-,ἀγριοαππιδίου,,,,,0
785,α02150,ἀγριοκάρυον,n,n-s---nn2-,ἀγριοκαρύου,,,,,0
793,α02158,ἀγρίολον,n,n-s---nn2-,ἀγριόλου,,,,,0
799,α02164,ἀγριόνους,a,aps---cn5d,ἀγριόνους ἀγριόνους ἀγριόνουν,,,,,0
810,α02175,ἀγριοσταφυλίτης,a,----------,,,,,,0
818,α02183,ἀγριοψωρία,n,n-s---fn1l,ἀγριοψωρίας,,,,,0
827,α02190,ἀγριωπός,a,aps---cn2-,ἀγριωπός ἀγριωπός ἀγριωπόν,,,,,0
836,α02199,ἀγροικηρός,a,aps---mn1-,ἀγροικηρός ἀγροικηρά ἀγροικηρόν,,,,,0
849,α02212,ἀγρολικός,a,aps---mn1-,ἀγρολικός ἀγρολική ἀγρολικόν,,,,,0
861,α02224,ἄγρυκτος,a,aps---cn2-,ἄγρυκτος ἄγρυκτος ἄγρυκτον,,,,,0
873,α02237,ἀγρώστης,n,n-s---mn1e,ἀγρώστου,,,,,0
884,,Ἀγυίηος,n,n-s---mn2-,Ἀγυιήου,,,,,0
889,α02250,ἀγύμναστος,a,aps---cn2-,ἀγύμναστος ἀγύμναστος ἀγύμναστον,,,,,0
904,α02265,ἄγυψος,a,aps---cn2-,ἄγυψος ἄγυψος ἄγυψον,,,,,0
917,α02278,ἀγχίγαμος,a,aps---cn2-,ἀγχίγαμος ἀγχίγαμος ἀγχίγαμον,,,,,0
926,α02287,ἀγχικέλευθος,a,aps---cn2-,ἀγχικέλευθος ἀγχικέλευθος ἀγχικέλευθον,,,,,0
937,α02298,ἀγχινεφής,a,aps---cn5s,ἀγχινεφής ἀγχινεφής ἀγχινεφές,,,,,0
949,α02310,ἀγχιστευτικός,a,aps---mn1-,ἀγχιστευτικός ἀγχιστευτική ἀγχιστευτικόν,,,,,0
966,α02330,ἀγχόμορος,a,aps---cn2-,ἀγχόμορος ἀγχόμορος ἀγχόμορον,,,,,0
981,α02344,ἀγχύνωψ,n,n-s---mn3l,ἀγχύνωπος,,,,,0
990,α02353,ἀγώγιμος,a,aps---cn2-,ἀγώγιμος ἀγώγιμος ἀγώγιμον,,,,,0
1002,α02364,ἀγώνιος,a,aps---cn2-,ἀγώνιος ἀγώνιος ἀγώνιον,,,,,0
1015,α02378,ἀγωνοθετικός,a,aps---mn1-,ἀγωνοθετικός ἀγωνοθετική ἀγωνοθετικόν,,,,,0
1029,α02390,ἀδαίδαλτος,a,aps---cn2-,ἀδαίδαλτος ἀδαίδαλτος ἀδαίδαλτον,,,,,0
1040,α02400,ἀδαμάντινος,a,aps---mn1-,ἀδαμάντινος ἀδαμαντίνη ἀδαμάντινον,,,,,0
1062,α02426,ἀδεαλτόω,v,----------,,,,,,0
1071,α02434,ἄδεικτος,a,aps---cn2-,ἄδεικτος ἄδεικτος ἄδεικτον,,,,,0
1080,α02442,ἀδεισιδαίμων,a,aps---cn2-,ἀδεισιδαίμων ἀδεισιδαίμων ἄδειπνον,,,,,0
1092,α02453,ἀδελφίδιον,n,n-s---nn2-,ἀδελφιδίου,,,,,0
1100,α02464,ἀδελφοκτόνος,a,aps---cn2-,ἀδελφοκτόνος ἀδελφοκτόνος ἀδελφοκτόνον,,,,,0
1108,α02471,ἀδελφότης,n,n-s---fn3t,ἀδελφότητος,,,/a.del.pʰó.tɛːs/,,0
1119,α02483,ἀδέσποτος,a,aps---cn2-,ἀδέσποτος ἀδέσποτος ἀδέσποτον,,,/a.dés.po.tos/,,0
1133,α02497,ἀδηλοποιός,a,aps---cn2-,ἀδηλοποιός ἀδηλοποιός ἀδηλοποιόν,,,,,0
1150,α02514,ἀδήριτος,a,aps---cn2-,ἀδήριτος ἀδήριτος ἀδήριτον,,,,,0
1166,α02530,ἀδιάδραστος,a,aps---cn2-,ἀδιάδραστος ἀδιάδραστος ἀδιάδραστον,,,,,0
1175,α02539,ἀδιακόρευτος,a,aps---cn2-,ἀδιακόρευτος ἀδιακόρευτος ἀδιακόρευτον,,,,,0
1186,α02550,ἀδιαλόγιστος,a,aps---cn2-,ἀδιαλόγιστος ἀδιαλόγιστος ἀδιαλόγιστον,,,,,0
1197,α02561,ἀδιάπαυστος,a,aps---cn2-,ἀδιάπαυστος ἀδιάπαυστος ἀδιάπαυστον,,,,,0
1209,α02573,ἀδιάρθρωτος,a,aps---cn2-,ἀδιάρθρωτος ἀδιάρθρωτος ἀδιάρθρωτον,,,,,0
1218,α02582,ἀδιάσκοπος,a,aps---cn2-,ἀδιάσκοπος ἀδιάσκοπος ἀδιάσκοπον,,,,,0
1227,α02591,ἀδιάστροφος,a,aps---cn2-,ἀδιάστροφος ἀδιάστροφος ἀδιάστροφον,,,,,0
1243,α02607,ἀδιάφορος,a,aps---cn2-,ἀδιάφορος ἀδιάφορος ἀδιάφορον,,,,,0
1253,α02617,ἀδιέξακτος,a,aps---cn2-,ἀδιέξακτος ἀδιέξακτος ἀδιέξακτον,,,,,0
1261,α02625,ἀδιερεύνητος,a,aps---cn2-,ἀδιερεύνητος ἀδιερεύνητος ἀδιερεύνητον,,,,,0
