φ01352,φιλοπροσηγορία,n,n-s---fn1l,φιλοπροσηγορίας,φιλοπροσηγορία,0
107100,φ01480,φιλότυφος,a,aps---cn2-,φιλότυφος φιλότυφος φιλότυφον,φιλότυφος,0
107102,φ01482,φιλοϋγιής,a,aps---cn5s,φιλοϋγιής φιλοϋγιής φιλοϋγιές,φιλοϋγιής,0
107103,φ01483,φιλοφαίαξ,n,----------,,φιλοφαίαξ,0
107104,φ01484,φιλοφάρμακος,a,aps---cn2-,φιλοφάρμακος φιλοφάρμακος φιλοφάρμακον,φιλοφάρμακος,0
107105,φ01485,φιλόφθογγος,a,aps---cn2-,φιλόφθογγος φιλόφθογγος φιλόφθογγον,φιλόφθογγος,0
107106,φ01486,φιλοφθονία,n,n-s---fn1l,φιλοφθονίας,φιλοφθονία,0
107107,φ01487,φιλόφθονος,a,aps---cn2-,φιλόφθονος φιλόφθονος φιλόφθονον,φιλόφθονος,0
107108,φ01488,φιλοφιλία,n,n-s---fn1l,φιλοφιλίας,φιλοφιλία,0
107109,φ01489,φιλόφιλος,a,aps---cn2-,φιλόφιλος φιλόφιλος φιλόφιλον,φιλόφιλος,0
107110,φ01490,φιλοφόρμιγξ,n,----------,,φιλοφόρμιγξ,0
107113,φ01493,φιλοφρόνησις,n,n-s---fn3v,φιλοφρονησέως,φιλοφρόνησις,0
107114,φ01494,φιλοφρονητικός,a,aps---mn1-,φιλοφρονητικός φιλοφρονητική φιλοφρονητικόν,φιλοφρονητικός,0
107115,φ01495,φιλοφροσύνη,n,n-s---fn1e,φιλοφροσύνης,φιλοφροσύνη,0
107117,φ01497,φιλόφρων,a,aps---cn3n,φιλόφρων φιλόφρων φιλόφρον,φιλόφρων,0
107118,φ01498,φιλοφυσικός,n,----------,,φιλοφυσικός,0
107119,φ01499,φιλόφωνος,a,aps---cn2-,φιλόφωνος φιλόφωνος φιλόφωνον,φιλόφωνος,0
107120,φ01500,φιλοχαρής,a,----------,,φιλοχαρής,0
107121,φ01501,φιλόχηρος,a,aps---cn2-,φιλόχηρος φιλόχηρος φιλόχηρον,φιλόχηρος,0
107123,φ01503,φίλοχλος,a,aps---cn2-,φίλοχλος φίλοχλος φίλοχλον,φίλοχλος,0
107124,φ01504,φιλοχορευτής,n,n-s---mn1e,φιλοχορευτού,φιλοχορευτής,0
107126,φ01506,φιλοχρηματέω,v,----------,,φιλοχρηματέω,0
107127,φ01507,φιλοχρηματία,n,n-s---fn1l,φιλοχρηματίας,φιλοχρηματία,0
107129,φ01509,φιλοχρηματιστικῶς,r,----------,,φιλοχρηματιστικῶς,0
107131,φ01511,φιλοχρήματος,a,aps---cn2-,φιλοχρήματος φιλοχρήματος φιλοχρήματον,φιλοχρήματος,0
107132,φ01512,φιλοχρημονέω,v,----------,,φιλοχρημονέω,0
107133,φ01513,φιλοχρημοσύνη,n,n-s---fn1e,φιλοχρημοσύνης,φιλοχρημοσύνη,0
107134,φ01514,φιλοχρήμων,a,aps---cn3n,φιλοχρήμων φιλοχρήμων φιλοχρήμον,φιλοχρήμων,0
107135,φ01515,φιλόχρησμος,a,aps---cn2-,φιλόχρησμος φιλόχρησμος φιλόχρησμον,φιλόχρησμος,0
107136,φ01516,φιλόχρηστος,a,aps---cn2-,φιλόχρηστος φιλόχρηστος φιλόχρηστον,φιλόχρηστος,0
107137,φ01517,φιλοχρήστωρ,n,n-s---mn3r,φιλοχρήστορος,φιλοχρήστωρ,0
107139,φ01519,φιλοχρύσης,n,n-s---mn1e,φιλοχρύσου,φιλοχρύσης,0
107140,φ01520,φιλοχρυσία,n,n-s---fn1l,φιλοχρυσίας,φιλοχρυσία,0
107142,φ01522,φιλοχωρέω,v,----------,,φιλοχωρέω,0
107098,φ01478,φιλοττάριον,n,n-s---nn2-,φιλοτταρίου,φιλοττάριον,0
107147,φ01527,φιλοψευδία,n,n-s---fn1l,φιλοψευδίας,φιλοψευδία,0
107148,φ01528,φιλοψευδολόγος,a,aps---cn2-,φιλοψευδολόγος φιλοψευδολόγος φιλοψευδολόγον,φιλοψευδολόγος,0
107149,φ01529,φιλοψεύστης,n,n-s---mn1e,φιλοψεύστου,φιλοψεύστης,0
107150,φ01530,φιλοψία,n,n-s---fn1l,φιλοψίας,φιλοψία,0
107151,φ01531,φιλόψιλος,a,aps---cn2-,φιλόψιλος φιλόψιλος φιλόψιλον,φιλόψιλος,0
107152,φ01532,φιλόψογος,a,aps---cn2-,φιλόψογος φιλόψογος φιλόψογον,φιλόψογος,0
107153,φ01533,φίλοψος,a,aps---cn2-,φίλοψος φίλοψος φίλοψον,φίλοψος,0
107154,φ01534,φιλοψυχέω,v,----------,,φιλοψυχέω,0
107156,φ01536,φιλοψυχία,n,n-s---fn1l,φιλοψυχίας,φιλοψυχία,0
107158,φ01538,φιλόψυχρος,a,aps---cn2-,φιλόψυχρος φιλόψυχρος φιλόψυχρον,φιλόψυχρος,0
107159,φ01539,φιλόω,v,----------,,φιλόω,0
107160,φ01541,φιλτάτιον,n,n-s---nn2-,φιλτατίου,φιλτάτιον,0
107161,φ01542,φίλτατος,a,aps---mn1-,φίλτατος φιλτάτη φίλτατον,φίλτατος,0
107162,φ01543,φίλτερος,a,aps---mn1-,φίλτερος φίλτερα φίλτερον,φίλτερος,0
107163,φ01544,φιλτρίς,a,----------,,φιλτρίς,0
