id,type,source,target
90617,/,83383,26513
90618,/,85126,26513
90619,/,95635,26513
90620,/,95911,26513
90621,/,24915,27428
90622,/,24928,27428
90623,/,29554,27428
90624,/,30146,27428
90625,/,33394,27428
90626,/,75582,27428
90627,/,83314,27428
90628,/,22524,22527
90629,/,22702,22715
90630,/,9020,22274
90631,/,9246,22274
90632,/,11705,22274
90633,/,33207,22274
90634,/,37033,22274
90635,/,74258,22274
90636,/,95234,22274
90637,/,103864,22274
90638,/,23594,23589
90639,/,25333,25334
90640,/,26189,26194
90641,/,26194,26189
90642,/,26478,26856
90643,/,28108,28112
90644,/,31513,31473
90645,/,38849,38851
90646,/,31302,31304
90647,/,31473,31513
90648,/,31936,31961
90649,/,44003,43858
90650,/,44159,44097
90651,/,44097,44159
90652,/,45332,45321
90653,/,45334,45321
90654,/,44295,44281
90655,/,25182,44292
90656,/,29582,44292
90657,/,35235,44292
90658,/,36612,44292
90659,/,37145,44292
90660,/,43423,44292
90661,/,49271,44292
90662,/,49338,44292
90663,/,51297,44292
90664,/,68580,44292
90665,/,77676,44292
90666,/,83680,44292
90667,/,109903,44292
90668,/,1014,46178
90669,/,3047,46178
90670,/,10459,46178
90671,/,1875,46178
90672,/,22252,46178
90673,/,23274,46178
90674,/,30220,46178
90675,/,31498,46178
90676,/,37328,46178
90677,/,56977,46178
90678,/,60626,46178
90679,/,45544,46618
90680,/,46123,46618
90681,/,46619,46595
90682,/,46721,46595
90683,/,46732,46595
90684,/,46732,46613
90685,/,46595,46619
90686,/,46721,46619
90687,/,89290,46619
90688,/,46921,47136
90689,/,47135,47136
90690,/,47140,47136
90691,/,47150,47136
90692,/,47153,47136
90693,/,47803,47804
90694,/,71068,50807
90695,/,6236,54731
90696,/,16797,54731
90697,/,23422,54731
90698,/,63451,54731
90699,/,74529,54731
90700,/,83193,54731
90701,/,93655,54731
90702,/,98491,54731
90703,/,55493,55502
90704,/,49989,49949
90705,/,28693,57168
90706,/,29641,57168
90707,/,30459,57168
90708,/,36486,57168
90709,/,83402,57168
90710,/,84069,57168
90711,/,85855,57168
90712,/,6320,56812
90713,/,28672,56812
90714,/,51640,56812
90715,/,93748,56812
90716,/,80644,57429
90717,/,57956,57955
90718,/,58294,58295
90719,/,50701,54460
90720,/,89041,59010
90721,/,59024,59034
90722,/,23600,59329
90723,/,30537,59329
90724,/,37893,59329
90725,/,42103,59329
90726,/,51748,59329
90727,/,77958,59329
90728,/,81265,59329
90729,/,83199,59329
90730,/,94042,59329
90731,/,60948,60960
90732,/,6458,61063
90733,/,8853,61063
90734,/,12418,61063
90735,/,23651,61063
90736,/,36030,61063
90737,/,37974,61063
90738,/,51822,61063
90739,/,77985,61063
90740,/,94078,61063
90741,/,102705,61063
90742,/,104344,61063
90743,/,61009,61016
90744,/,62408,62418
90745,/,62409,62418
90746,/,62411,62418
90747,/,62416,62418
90748,/,62417,62418
90749,/,65073,65087
90750,/,64246,64258
90751,/,64247,64258
90752,/,64380,64351
90753,/,65333,65334
90754,/,64351,64380
90755,/,65696,65728
90756,/,66578,66577
90757,/,67592,67543
90758,/,67574,67578
90759,/,67577,67578
90760,/,25558,68824
90761,/,29674,68824
90762,/,30105,68824
90763,/,34002,71188
90764,/,76094,71188
90765,/,84385,71188
90766,/,103373,71188
90767,/,105452,71188
90768,/,75510,75499
90769,/,75492,75499
90770,/,79091,79050
90771,/,80455,80474
90772,/,6714,79762
90773,/,23998,79762
90774,/,38388,79762
90775,/,52189,79762
90776,/,78222,79762
90777,/,32501,79956
90778,/,94575,79956
90779,/,80008,79999
90780,/,80488,80486
90781,/,80493,80486
90782,/,80496,80486
90783,/,80502,80486
90784,/,87436,87435
90785,/,30968,87452
90786,/,32648,87452
90787,/,71454,87452
90788,/,84605,87452
90789,/,87812,87967
90790,/,109357,93887
90791,/,89536,89525
90792,/,91250,91292
90793,/,91252,91292
90794,/,91254,91292
90795,/,91258,91292
90796,/,91266,91292
90797,/,91269,91292
90798,/,91272,91292
