id,lemma,synset,period,genre,notes
246,7,91749,,,
248,7,85078,,,
249,7,91294,,,
250,7,80952,,,
251,7,81460,,,
252,7,83508,,,
253,7,91688,,,
255,7,84513,,,
256,7,91168,,,
257,7,91287,,,
258,7,84502,,,
259,7,92689,,,
260,7,84496,,,
262,7,79873,,,
263,7,79874,,,
264,7,88580,,,
265,7,88579,,,
266,7,88578,,,
267,7,92673,,,
269,15,26878,,,
270,15,26877,,,
271,15,2075,,,
272,15,5146,,,
273,15,23701,,,
274,15,26869,,,
276,15,4402,,,
277,15,22607,,,
278,15,62022,,,
279,13,78965,,,
280,13,81340,,,
281,13,91994,,,
283,13,79164,,,
284,13,78380,,,
285,13,78379,,,
286,13,91082,,,
287,13,87016,,,
288,13,80390,,,
290,13,89477,,,
291,13,85155,,,
292,13,89954,,,
293,23,82042,,,
294,23,80630,,,
295,23,81393,,,
297,23,87406,,,
298,23,88805,,,
299,23,83165,,,
300,23,84950,,,
301,23,85975,,,
302,23,86742,,,
304,23,79054,,,
305,23,86728,,,
306,23,83391,,,
307,23,90674,,,
308,23,81060,,,
309,23,90403,,,
311,23,80411,,,
312,23,78235,,,
313,23,85015,,,
314,23,91793,,,
315,23,89363,,,
316,23,80912,,,
318,23,86544,,,
319,23,92687,,,
320,23,81152,,,
321,14,65179,,,
323,14,65338,,,
324,14,65813,,,
325,14,96397,,,
327,14,65381,,,
328,14,65348,,,
329,14,65244,,,
330,14,83938,,,
331,14,65601,,,
332,14,65600,,,
334,58,26869,,,
335,58,23703,,,
336,58,30390,,,
337,58,61907,,,
338,58,22648,,,
339,26,92031,,,
341,26,87292,,,
342,26,80379,,,
343,26,80378,,,
344,26,80249,,,
345,26,92015,,,
346,26,84586,,,
348,26,86379,,,
349,26,82154,,,
350,26,86377,,,
351,26,79077,,,
352,26,78694,,,
353,26,88421,,,
355,26,79072,,,
356,26,79071,,,
357,26,79068,,,
358,26,78685,,,
359,26,78684,,,
360,26,80600,,,
362,26,84695,,,
363,26,89683,,,
364,26,81103,,,
365,26,81102,,,
366,26,85325,,,
367,26,90316,,,
